"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.167,0.164,0.171,0.112,0.192,0.186,0.216,0.231,0.127,0.177,0.173,0.164,0.417,0.086,0.035,0.012,0.025,0
"Puede que lo vote",0.128,0.119,0.136,0.122,0.131,0.137,0.111,0.093,0.152,0.114,0.112,0.136,0.21,0.129,0.151,0.012,0.059,0
"Nunca lo votaría",0.588,0.61,0.566,0.667,0.539,0.593,0.523,0.524,0.607,0.632,0.61,0.576,0.284,0.645,0.674,0.946,0.729,0.698
"No sabe",0.117,0.107,0.127,0.099,0.138,0.084,0.15,0.152,0.114,0.077,0.105,0.124,0.089,0.14,0.14,0.03,0.187,0.302
