"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.097,0.124,0.068,0.048,0.115,0.124,0.134,0.135,0.069,0.111,0.125,0.081,0.203,0.053,0.041,0.045,0,0.079
"Puede que lo vote",0.131,0.123,0.14,0.079,0.153,0.178,0.125,0.135,0.12,0.153,0.136,0.128,0.233,0.148,0.078,0.04,0.12,0.055
"Nunca lo votaría",0.648,0.654,0.642,0.789,0.616,0.54,0.481,0.547,0.71,0.638,0.657,0.644,0.46,0.685,0.784,0.859,0.825,0.771
"No sabe",0.124,0.099,0.15,0.084,0.116,0.158,0.26,0.183,0.101,0.098,0.082,0.147,0.104,0.114,0.097,0.056,0.055,0.095
