"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.192,0.19,0.194,0.187,0.214,0.15,0.191,0.156,0.23,0.15,0.28,0.143,0.323,0.242,0.077,0.117,0.027,0.033
"Puede que lo vote",0.159,0.158,0.16,0.179,0.144,0.174,0.12,0.138,0.157,0.193,0.118,0.182,0.202,0.104,0.227,0.112,0.093,0.075
"Nunca lo votaría",0.534,0.54,0.527,0.553,0.516,0.537,0.539,0.532,0.523,0.561,0.54,0.529,0.408,0.521,0.615,0.74,0.695,0.697
"No sabe",0.115,0.112,0.119,0.081,0.126,0.139,0.15,0.174,0.09,0.096,0.062,0.146,0.067,0.133,0.081,0.031,0.185,0.195
