"var","categoria","Eduardo Costa por Cambia Santa Cruz","Javier Belloni por el Frente de Todos","Pablo Grasso por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P06","Del Frente de Todos y el peronismo",0.07,0.46,0.659,0.716,0.49,0.22,0.025,0.128
"P06","De Juntos por el cambio",0.619,0.02,0.077,0.041,0.091,0.126,0.301,0.098
"P06","De los Liberales libertarios",0.167,0.165,0.125,0.11,0.054,0.266,0.324,0.232
"P06","De la Izquierda",0.044,0.066,0.007,0.009,0.028,0.063,0.097,0.047
"P06","No sabe",0.1,0.289,0.132,0.124,0.337,0.325,0.253,0.495
"P07","A Alberto Fernández",0.407,0.311,0.273,0.353,0.427,0.227,0.425,0.197
"P07","A Sergio Massa",0.106,0.034,0.148,0.11,0.045,0.089,0,0.031
"P07","A algún candidato del peronismo",0.085,0.215,0.191,0.163,0.205,0.507,0.268,0.239
"P07","A algún candidato del kirchnerismo",0.402,0.44,0.388,0.374,0.323,0.177,0.307,0.533
"P08","A Alberto Fernández",0.323,0.138,0.081,0.023,0.592,0.191,0.425,0.185
"P08","A Sergio Massa",0.075,0.159,0.159,0.272,0.045,0.059,0,0.031
"P08","A algún candidato del peronismo",0.085,0.235,0.165,0.099,0.08,0.275,0.268,0.132
"P08","A Cristina Fernández de Kirchner",0.517,0.468,0.595,0.606,0.283,0.475,0.307,0.652
"P09","A Horacio Rodriguez Larreta",0.163,0.172,0.409,0,0.821,0.472,0.081,0.091
"P09","A Mauricio Macri",0.306,0,0.521,0.884,0,0.18,0.32,0.163
"P09","A Patricia Bullrich",0.313,0,0,0.059,0.179,0.348,0.408,0.376
"P09","A Facundo Manes",0.062,0.828,0.035,0.057,0,0,0.046,0.181
"P09","A Gerardo Morales",0.156,0,0.035,0,0,0,0.145,0.189
"P10","Eduardo Costa por Cambia Santa Cruz",0.719,0.025,0.009,0.006,0.021,0.023,0.063,0.04
"P10","Máximo Kirchner por el Frente de Todos",0.081,0.128,0.221,0.294,0.353,0.062,0.007,0.076
"P10","Pablo Grasso por el Frente de Todos",0.027,0.064,0.619,0.117,0,0.074,0.009,0.033
"P10","Javier Belloni por el Frente de Todos",0.034,0.669,0.027,0.216,0,0.018,0.044,0.035
"P10","Pablo González por el Frente de Todos",0.015,0.004,0.019,0.295,0.337,0,0.016,0.009
"P10","Fernando Cotillo por el Frente de Todos",0,0.033,0.026,0,0.248,0.014,0,0
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.008,0.018,0.062,0.054,0.041,0.754,0.498,0.099
"P10","Roxana Reyes por Cambia Santa Cruz",0.066,0.007,0.003,0,0,0.028,0.287,0.065
"P10","No sabe",0.05,0.052,0.014,0.018,0,0.027,0.076,0.643
"P11","Eduardo Costa por Cambia Santa Cruz",0.837,0.009,0.039,0.04,0,0.047,0.029,0.037
"P11","Pablo Grasso por el Frente de Todos",0.005,0.218,0.647,0.155,0.062,0.033,0,0.021
"P11","Javier Belloni por el Frente de Todos",0.016,0.574,0.051,0.125,0,0.017,0.016,0.036
"P11","Alicia Kirchner por el Frente de Todos",0.034,0.074,0.173,0.271,0.246,0.05,0,0.092
"P11","Pablo González por el Frente de Todos",0.016,0.04,0.016,0.304,0.403,0.002,0,0.003
"P11","Fernando Cotillo por el Frente de Todos",0,0.009,0,0.025,0.22,0.052,0,0.003
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.024,0.039,0.015,0.045,0.041,0.733,0.499,0.046
"P11","Roxana Reyes por Cambia Santa Cruz",0.059,0,0,0,0.028,0.041,0.364,0.114
"P11","No sabe",0.009,0.037,0.059,0.035,0,0.025,0.092,0.648
"P13","Lo votaría",0.18,0.264,0.227,0.397,0.485,0.091,0.053,0.086
"P13","Puede que lo vote",0.039,0.14,0.254,0.271,0.188,0.061,0.056,0.153
