"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.173,0.195,0.151,0.211,0.162,0.13,0.172,0.169,0.159,0.214,0.11,0.209,0.188,0.492,0.077,0.013,0.082,0.082
"Puede que lo vote",0.171,0.179,0.162,0.1,0.193,0.251,0.167,0.151,0.164,0.215,0.175,0.168,0.225,0.175,0.199,0.111,0.104,0.076
"Nunca lo votaría",0.535,0.517,0.553,0.62,0.508,0.469,0.471,0.51,0.57,0.482,0.606,0.494,0.486,0.238,0.568,0.841,0.701,0.648
"No sabe",0.121,0.109,0.134,0.069,0.137,0.15,0.19,0.17,0.107,0.089,0.109,0.129,0.101,0.095,0.156,0.035,0.113,0.194
