"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"A Alberto Fernández",0.316,0.329,0.302,0.34,0.355,0.181,0.302,0.49,0.294,0.135,0.39,0.275,0.316,0.41,0.122,0,1,0
"A Sergio Massa",0.101,0.107,0.095,0.134,0.046,0.142,0.171,0.091,0.087,0.151,0.162,0.068,0.105,0.032,0.123,0.5,0,0.491
"A algún candidato del peronismo",0.228,0.26,0.194,0.245,0.191,0.288,0.224,0.164,0.279,0.187,0.204,0.241,0.202,0.169,0.563,0,0,0.509
"A algún candidato del kirchnerismo",0.355,0.304,0.409,0.281,0.408,0.389,0.303,0.255,0.34,0.527,0.244,0.416,0.377,0.389,0.192,0.5,0,0
