"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P08","A Alberto Fernández",0.494,0.034,0.038,0.022
"P08","A Sergio Massa",0.087,0.731,0.096,0.03
"P08","A algún candidato del peronismo",0.16,0.07,0.476,0.002
"P08","A Cristina Fernández de Kirchner",0.259,0.165,0.39,0.946
"P10","Eduardo Costa por Cambia Santa Cruz",0.023,0.031,0.012,0.012
"P10","Máximo Kirchner por el Frente de Todos",0.346,0.289,0.205,0.296
"P10","Pablo Grasso por el Frente de Todos",0.252,0.332,0.31,0.252
"P10","Javier Belloni por el Frente de Todos",0.17,0.09,0.126,0.212
"P10","Pablo González por el Frente de Todos",0.032,0.054,0.071,0.071
"P10","Fernando Cotillo por el Frente de Todos",0.048,0.029,0.019,0.033
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.097,0.124,0.171,0.087
"P10","Roxana Reyes por Cambia Santa Cruz",0.014,0,0,0.002
"P10","No sabe",0.018,0.051,0.086,0.035
"P11","Eduardo Costa por Cambia Santa Cruz",0.02,0.033,0.012,0.008
"P11","Pablo Grasso por el Frente de Todos",0.367,0.528,0.187,0.302
"P11","Javier Belloni por el Frente de Todos",0.109,0.046,0.107,0.235
"P11","Alicia Kirchner por el Frente de Todos",0.428,0.097,0.201,0.23
"P11","Pablo González por el Frente de Todos",0.03,0.048,0.132,0.076
"P11","Fernando Cotillo por el Frente de Todos",0,0.028,0.02,0.03
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.031,0.166,0.277,0.042
"P11","Roxana Reyes por Cambia Santa Cruz",0.015,0,0,0.002
"P11","No sabe",0,0.054,0.064,0.075
"P12","Eduardo Costa por Cambia Santa Cruz",0.042,0.034,0.011,0.033
"P12","Javier Belloni por el Frente de Todos",0.23,0.079,0.2,0.25
"P12","Pablo Grasso por el Frente de Todos",0.342,0.581,0.302,0.375
"P12","Pablo González por el Frente de Todos",0.14,0.137,0.082,0.115
"P12","Fernando Cotillo por el Frente de Todos",0.084,0.028,0.051,0.049
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.092,0.114,0.258,0.055
"P12","Roxana Reyes por Cambia Santa Cruz",0.015,0,0.012,0.008
"P12","No sabe",0.055,0.027,0.084,0.115
"P13","Lo votaría",0.439,0.382,0.276,0.453
"P13","Puede que lo vote",0.237,0.172,0.329,0.314
"P13","Nunca lo votaría",0.23,0.221,0.277,0.134
"P13","No sabe",0.094,0.225,0.118,0.099
"P14","Lo votaría",0.555,0.375,0.303,0.43
"P14","Puede que lo vote",0.177,0.368,0.231,0.267
"P14","Nunca lo votaría",0.208,0.214,0.247,0.175
"P14","No sabe",0.06,0.043,0.219,0.128
"P15","Lo votaría",0.135,0.209,0.027,0.037
"P15","Puede que lo vote",0.081,0.078,0.044,0.06
"P15","Nunca lo votaría",0.69,0.498,0.738,0.847
"P15","No sabe",0.094,0.215,0.191,0.056
"P16","Lo votaría",0.181,0.121,0.308,0.059
"P16","Puede que lo vote",0.107,0.244,0.101,0.141
"P16","Nunca lo votaría",0.576,0.534,0.478,0.762
"P16","No sabe",0.136,0.101,0.113,0.038
"P17","Lo votaría",0.186,0.444,0.094,0.211
"P17","Puede que lo vote",0.212,0.29,0.149,0.306
"P17","Nunca lo votaría",0.442,0.186,0.672,0.354
"P17","No sabe",0.16,0.08,0.085,0.129
"P18","Lo votaría",0.298,0.387,0.181,0.264
"P18","Puede que lo vote",0.218,0.265,0.16,0.329
"P18","Nunca lo votaría",0.309,0.338,0.519,0.298
"P18","No sabe",0.175,0.01,0.14,0.109
"P19","Lo votaría",0.123,0,0.011,0.031
"P19","Puede que lo vote",0.04,0.032,0,0.082
"P19","Nunca lo votaría",0.734,0.921,0.925,0.857
"P19","No sabe",0.103,0.047,0.064,0.03
"P20","Lo votaría",0.339,0.48,0.327,0.436
"P20","Puede que lo vote",0.119,0.142,0.167,0.228
"P20","Nunca lo votaría",0.353,0.289,0.39,0.265
"P20","No sabe",0.189,0.089,0.116,0.071
"P21","Lo votaría",0.12,0.066,0.048,0.131
"P21","Puede que lo vote",0.086,0.335,0.062,0.169
"P21","Nunca lo votaría",0.549,0.383,0.665,0.609
"P21","No sabe",0.245,0.216,0.225,0.091
"P22","Muy buena",0.174,0.237,0.099,0.206
"P22","Buena",0.097,0.239,0.111,0.291
"P22","Ni buena ni mala",0.377,0.296,0.452,0.409
"P22","Mala",0.178,0.078,0.08,0.036
"P22","Muy mala",0.034,0.123,0.099,0.013
"P22","No sabe",0.14,0.027,0.159,0.045
"P23","Muy buena",0.475,0.313,0.135,0.405
"P23","Buena",0.153,0.183,0.13,0.248
"P23","Ni buena ni mala",0.224,0.262,0.331,0.228
"P23","Mala",0.067,0.132,0.189,0.105
"P23","Muy mala",0.039,0.11,0.116,0.014
"P23","No sabe",0.042,0,0.099,0
"P24","Muy buena",0.196,0.027,0,0.008
"P24","Buena",0.037,0,0,0
"P24","Ni buena ni mala",0.248,0.15,0.083,0.095
"P24","Mala",0.291,0.241,0.471,0.509
"P24","Muy mala",0.166,0.552,0.346,0.375
"P24","No sabe",0.062,0.03,0.1,0.013
"P25","Muy buena",0.402,0.269,0.274,0.364
"P25","Buena",0.193,0.165,0.164,0.251
"P25","Ni buena ni mala",0.123,0.161,0.15,0.271
"P25","Mala",0.107,0.298,0.21,0.092
"P25","Muy mala",0.113,0.107,0.117,0.017
"P25","No sabe",0.062,0,0.085,0.005
"P26","Muy buena",0.267,0.368,0.216,0.059
"P26","Buena",0.105,0.231,0.19,0.097
"P26","Ni buena ni mala",0.301,0.221,0.206,0.263
