"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.172,0.165,0.179,0.143,0.169,0.178,0.287,0.228,0.143,0.166,0.154,0.182,0.374,0.116,0.033,0.047,0.17,0.094
"Puede que lo vote",0.133,0.12,0.146,0.126,0.151,0.11,0.118,0.125,0.141,0.124,0.117,0.142,0.208,0.144,0.142,0.033,0.034,0.019
"Nunca lo votaría",0.588,0.612,0.563,0.668,0.536,0.62,0.473,0.516,0.597,0.667,0.627,0.566,0.296,0.624,0.752,0.885,0.719,0.807
"No sabe",0.107,0.103,0.112,0.063,0.144,0.092,0.122,0.131,0.119,0.043,0.102,0.11,0.122,0.116,0.073,0.035,0.077,0.08
