"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Javier Belloni","Muy buena",0.149,0.169,0.127,0.144,0.156,0.135,0.161,0.189,0.12,0.164,0.119,0.166,0.183,0.339,0.112,0.025,0.072,0.08
"Javier Belloni","Buena",0.17,0.173,0.166,0.177,0.174,0.164,0.129,0.093,0.184,0.242,0.136,0.189,0.206,0.313,0.175,0.033,0.044,0.074
"Javier Belloni","Ni buena ni mala",0.26,0.279,0.24,0.177,0.294,0.35,0.223,0.266,0.271,0.223,0.255,0.263,0.281,0.148,0.271,0.215,0.361,0.13
"Javier Belloni","Mala",0.155,0.165,0.145,0.176,0.13,0.169,0.169,0.145,0.166,0.14,0.185,0.137,0.107,0.116,0.214,0.274,0.12,0.161
"Javier Belloni","Muy mala",0.174,0.164,0.186,0.242,0.155,0.117,0.122,0.158,0.178,0.189,0.179,0.172,0.109,0.071,0.194,0.398,0.153,0.539
"Javier Belloni","No sabe",0.092,0.05,0.136,0.084,0.091,0.065,0.196,0.149,0.081,0.042,0.126,0.073,0.114,0.013,0.034,0.055,0.25,0.016
"Claudio Vidal","Muy buena",0.177,0.18,0.175,0.179,0.196,0.143,0.147,0.241,0.166,0.117,0.139,0.199,0.149,0.164,0.457,0.062,0.14,0.081
"Claudio Vidal","Buena",0.135,0.157,0.111,0.124,0.129,0.176,0.121,0.119,0.142,0.137,0.115,0.146,0.163,0.094,0.216,0.096,0.011,0.198
"Claudio Vidal","Ni buena ni mala",0.257,0.262,0.252,0.235,0.265,0.288,0.244,0.206,0.281,0.271,0.223,0.277,0.26,0.365,0.153,0.277,0.291,0.093
"Claudio Vidal","Mala",0.161,0.161,0.162,0.151,0.178,0.144,0.149,0.149,0.156,0.189,0.208,0.135,0.195,0.219,0.056,0.163,0.158,0.257
"Claudio Vidal","Muy mala",0.208,0.203,0.212,0.253,0.185,0.176,0.208,0.198,0.197,0.249,0.262,0.176,0.195,0.098,0.094,0.381,0.308,0.354
"Claudio Vidal","No sabe",0.062,0.037,0.088,0.058,0.047,0.073,0.131,0.087,0.058,0.037,0.053,0.067,0.038,0.06,0.024,0.021,0.092,0.017
"Pablo Grasso","Muy buena",0.167,0.169,0.164,0.173,0.184,0.133,0.118,0.145,0.196,0.124,0.247,0.121,0.301,0.192,0.102,0.04,0.018,0.051
"Pablo Grasso","Buena",0.125,0.111,0.14,0.139,0.123,0.079,0.18,0.098,0.123,0.17,0.109,0.134,0.209,0.1,0.139,0.052,0.051,0.079
"Pablo Grasso","Ni buena ni mala",0.224,0.217,0.232,0.171,0.249,0.283,0.19,0.271,0.195,0.233,0.173,0.254,0.202,0.277,0.337,0.134,0.171,0.167
"Pablo Grasso","Mala",0.147,0.13,0.165,0.138,0.126,0.214,0.154,0.129,0.158,0.145,0.119,0.163,0.11,0.189,0.139,0.206,0.33,0
"Pablo Grasso","Muy mala",0.245,0.269,0.219,0.279,0.235,0.228,0.191,0.248,0.23,0.274,0.309,0.208,0.11,0.21,0.222,0.538,0.305,0.687
"Pablo Grasso","No sabe",0.092,0.104,0.08,0.1,0.083,0.063,0.167,0.109,0.098,0.054,0.043,0.12,0.068,0.032,0.061,0.03,0.125,0.016
"Roxana Reyes","Muy buena",0.129,0.177,0.079,0.156,0.079,0.165,0.207,0.208,0.075,0.152,0.196,0.091,0.082,0.106,0.068,0.366,0.174,0.035
"Roxana Reyes","Buena",0.102,0.098,0.107,0.072,0.112,0.104,0.172,0.072,0.103,0.143,0.107,0.1,0.068,0.087,0.092,0.21,0.079,0.129
"Roxana Reyes","Ni buena ni mala",0.257,0.263,0.251,0.202,0.281,0.315,0.228,0.25,0.266,0.243,0.212,0.283,0.291,0.298,0.235,0.163,0.44,0.142
"Roxana Reyes","Mala",0.19,0.19,0.189,0.228,0.182,0.16,0.136,0.182,0.204,0.165,0.191,0.189,0.197,0.209,0.288,0.109,0.09,0.046
"Roxana Reyes","Muy mala",0.212,0.192,0.232,0.226,0.235,0.173,0.114,0.159,0.227,0.249,0.2,0.218,0.242,0.239,0.235,0.139,0.041,0.648
"Roxana Reyes","No sabe",0.11,0.08,0.142,0.116,0.111,0.083,0.143,0.129,0.125,0.048,0.094,0.119,0.12,0.061,0.082,0.013,0.176,0
"Pablo González","Muy buena",0.071,0.08,0.062,0.047,0.063,0.111,0.129,0.074,0.054,0.11,0.092,0.06,0.154,0.088,0.006,0.025,0,0
"Pablo González","Buena",0.081,0.076,0.085,0.066,0.092,0.099,0.04,0.064,0.079,0.108,0.069,0.087,0.172,0.1,0.015,0.026,0.01,0
"Pablo González","Ni buena ni mala",0.384,0.392,0.375,0.416,0.389,0.331,0.333,0.365,0.409,0.348,0.335,0.411,0.401,0.468,0.386,0.326,0.389,0.43
"Pablo González","Mala",0.185,0.184,0.187,0.211,0.156,0.221,0.161,0.232,0.158,0.187,0.237,0.156,0.124,0.14,0.28,0.282,0.317,0.067
"Pablo González","Muy mala",0.138,0.132,0.145,0.135,0.136,0.145,0.151,0.094,0.159,0.149,0.17,0.12,0.064,0.107,0.132,0.277,0.137,0.331
"Pablo González","No sabe",0.141,0.136,0.146,0.125,0.164,0.093,0.186,0.171,0.141,0.098,0.097,0.166,0.085,0.097,0.181,0.064,0.147,0.172
"Alicia Kirchner","Muy buena",0.146,0.134,0.159,0.138,0.142,0.163,0.171,0.203,0.113,0.15,0.178,0.129,0.343,0.112,0.011,0.017,0.02,0
"Alicia Kirchner","Buena",0.089,0.092,0.086,0.064,0.11,0.082,0.096,0.065,0.092,0.116,0.071,0.099,0.17,0.11,0.026,0.008,0,0.033
"Alicia Kirchner","Ni buena ni mala",0.19,0.214,0.165,0.17,0.19,0.199,0.252,0.225,0.184,0.155,0.158,0.208,0.22,0.253,0.191,0.156,0.155,0.165
"Alicia Kirchner","Mala",0.212,0.195,0.229,0.236,0.184,0.242,0.193,0.173,0.245,0.184,0.231,0.201,0.098,0.27,0.301,0.287,0.32,0.208
"Alicia Kirchner","Muy mala",0.32,0.334,0.304,0.348,0.32,0.293,0.258,0.282,0.321,0.368,0.323,0.318,0.148,0.233,0.42,0.517,0.395,0.495
"Alicia Kirchner","No sabe",0.043,0.031,0.057,0.044,0.054,0.021,0.03,0.052,0.045,0.027,0.039,0.045,0.021,0.022,0.051,0.015,0.11,0.099
"Máximo Kirchner","Muy buena",0.126,0.143,0.109,0.141,0.104,0.129,0.179,0.205,0.093,0.099,0.147,0.115,0.26,0.115,0.052,0.016,0,0.111
"Máximo Kirchner","Buena",0.114,0.126,0.102,0.092,0.131,0.101,0.147,0.104,0.122,0.11,0.066,0.142,0.206,0.054,0.141,0.032,0.011,0.018
