"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.049,0.043,0.055,0.03,0.041,0.078,0.108,0.065,0.025,0.083,0.05,0.048,0.088,0.045,0.029,0.017,0,0
"Puede que lo vote",0.077,0.081,0.073,0.062,0.083,0.089,0.086,0.069,0.072,0.103,0.047,0.094,0.127,0.067,0.076,0.034,0.018,0.14
"Nunca lo votaría",0.742,0.76,0.724,0.826,0.727,0.697,0.577,0.654,0.797,0.73,0.782,0.72,0.658,0.762,0.781,0.912,0.828,0.583
"No sabe",0.132,0.116,0.148,0.082,0.149,0.136,0.229,0.212,0.106,0.084,0.121,0.138,0.127,0.126,0.114,0.037,0.154,0.277
