"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.186,0.528,0.476,0.164,0.414,0.369,0.016
"P09","Diego Santilli",0.49,0.143,0,0.339,0.118,0.242,0.393
"P09","Facundo Manes",0.191,0.108,0.192,0.311,0,0.123,0.08
"P09","Florencio Randazzo",0,0.04,0.025,0,0.049,0,0
"P09","A la izquierda",0,0.005,0,0,0,0.118,0.01
"P09","Jose Luis Espert",0.109,0.004,0.169,0,0,0.045,0.042
"P09","Otros candidatos",0.012,0.076,0,0,0.014,0.088,0.035
"P09","Votaría en blanco o anularía",0.012,0.096,0.138,0.186,0.405,0.015,0.424
