"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.39,0.224,0.172,0,0.054,0.607
"P09","Diego Santilli",0.218,0.364,0.452,0.638,0.64,0.238
"P09","Facundo Manes",0.176,0.139,0.063,0.362,0.111,0.062
"P09","Florencio Randazzo",0.021,0.03,0,0,0,0
"P09","A la izquierda",0.031,0.002,0.014,0,0,0
"P09","Jose Luis Espert",0.054,0.093,0.038,0,0.005,0.066
"P09","Otros candidatos",0.04,0.026,0.09,0,0.152,0.027
"P09","Votaría en blanco o anularía",0.07,0.122,0.171,0,0.038,0
