"var","categoria","Mejor","Igual","Peor","No sabe"
"P09","Toloza Paz",0.691,0.351,0.125,0.386
"P09","Diego Santilli",0.038,0.185,0.49,0.192
"P09","Facundo Manes",0.02,0.243,0.167,0.088
"P09","Florencio Randazzo",0.042,0.054,0.035,0
"P09","A la izquierda",0.004,0.038,0.005,0.033
"P09","Jose Luis Espert",0.037,0.039,0.071,0
"P09","Otros candidatos",0.105,0.036,0.04,0.162
"P09","Votaría en blanco o anularía",0.063,0.054,0.067,0.139
