"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.913,0.784,0.69,0.663,0.856,0.925,0.669,0.491
"Puede ser",0.044,0.163,0.142,0.232,0.081,0.022,0.197,0.203
"No",0.043,0.053,0.168,0.105,0.063,0.053,0.134,0.306
