"","Si","Puede ser","No"
"Toloza Paz",0.346,0.085,0.154
"Diego Santilli",0.298,0.388,0.181
"Facundo Manes",0.136,0.207,0.223
"Florencio Randazzo",0.042,0.09,0.028
"A la izquierda",0.014,0.01,0.005
"Jose Luis Espert",0.061,0.014,0.076
"Otros candidatos",0.065,0.076,0.109
"Votaría en blanco o anularía",0.038,0.13,0.224
