"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.451,0.403,0.448,0.509,0.394
"P04","Realizo changas o trabajos de vez en cuando",0.189,0.162,0.231,0.183,0.158
"P04","No tengo trabajo",0.132,0.132,0.193,0.187,0.233
"P04","Soy jubilado o pensionado",0.228,0.303,0.128,0.121,0.215
"P05","1",0.194,0.362,0.332,0.207,0.206
"P05","2",0.061,0.065,0.121,0.009,0.032
"P05","3",0.026,0.097,0.083,0,0.035
"P05","4",0.034,0.096,0.073,0.011,0.054
"P05","5",0.166,0.224,0.24,0.094,0.222
"P05","6",0.094,0.039,0.005,0.112,0.066
"P05","7",0.113,0.029,0.022,0.159,0.127
"P05","8",0.079,0.013,0.029,0.064,0.043
"P05","9",0.233,0.075,0.095,0.344,0.215
"P06","1",0.443,0.163,0.083,0.366,0.384
"P06","2",0.073,0.036,0.031,0.062,0.081
"P06","3",0.063,0.025,0.009,0.118,0.038
"P06","4",0.056,0.041,0.055,0.02,0.024
"P06","5",0.175,0.208,0.225,0.193,0.151
"P06","6",0.033,0.034,0.028,0,0.023
"P06","7",0.028,0.119,0.082,0.057,0.066
"P06","8",0.032,0.079,0.074,0.01,0.029
"P06","9",0.097,0.295,0.413,0.174,0.204
"P07","1",0.595,0.222,0.227,0.743,0.445
"P07","2",0.037,0.031,0.022,0,0.021
"P07","3",0.041,0.035,0.003,0.01,0.034
"P07","4",0.028,0.021,0.016,0.008,0.032
"P07","5",0.09,0.133,0.119,0.035,0.092
"P07","6",0.002,0.039,0.047,0,0.012
"P07","7",0.02,0.063,0.066,0,0.031
"P07","8",0.006,0.057,0.052,0.006,0.038
"P07","9",0.181,0.399,0.448,0.198,0.295
"P09","Del Frente de Todos y el peronismo",0.865,0.069,0.039,0.363,0.362
"P09","De Juntos por el cambio",0.045,0.834,0.103,0.006,0.153
"P09","De los Liberales libertarios",0.018,0.055,0.714,0,0.101
"P09","De la Izquierda",0.007,0.005,0.038,0.553,0.039
"P09","No sabe",0.065,0.037,0.106,0.078,0.345
"P10","A Alberto Fernández",0.141,0.325,0.056,0.029,0.135
"P10","A Sergio Massa",0.293,0.009,0.495,0,0.061
"P10","A algún candidato del peronismo",0.094,0.639,0.427,0.103,0.087
"P10","A algún candidato del kirchnerismo",0.472,0.027,0.022,0.868,0.717
"P11","A Alberto Fernández",0.086,0.355,0,0.027,0.086
"P11","A Sergio Massa",0.198,0.121,0.18,0,0.056
"P11","A algún candidato del peronismo",0.082,0.433,0.317,0.094,0.061
"P11","A Cristina Fernández de Kirchner",0.634,0.091,0.503,0.879,0.797
"P12","A Horacio Rodriguez Larreta",0.387,0.145,0.258,0,0.574
"P12","A Mauricio Macri",0,0.4,0.102,0,0.077
"P12","A Patricia Bullrich",0.144,0.403,0.518,0,0.203
"P12","A Facundo Manes",0.434,0.026,0.122,1,0.055
"P12","A Gerardo Morales",0.035,0.026,0,0,0.091
"P13","Seguro lo votaria",0.052,0.082,0.365,0,0.006
"P13","Quizás lo votaría",0.109,0.403,0.387,0,0.311
"P13","Nunca lo votaría",0.839,0.515,0.248,1,0.683
"P14","Lo votaría",0.012,0.629,0.118,0,0.036
"P14","Puede que lo vote",0.042,0.261,0.348,0.063,0.133
"P14","Nunca lo votaría",0.894,0.076,0.418,0.861,0.647
"P14","No sabe",0.052,0.034,0.116,0.076,0.184
"P15","Lo votaría",0.392,0.11,0.031,0.016,0.043
"P15","Puede que lo vote",0.393,0.03,0.085,0.397,0.185
"P15","Nunca lo votaría",0.134,0.827,0.862,0.499,0.592
"P15","No sabe",0.081,0.033,0.022,0.088,0.18
"P16","Lo votaría",0.248,0.031,0.018,0.015,0.094
"P16","Puede que lo vote",0.498,0.011,0.035,0.39,0.178
"P16","Nunca lo votaría",0.142,0.942,0.927,0.473,0.604
"P16","No sabe",0.112,0.016,0.02,0.122,0.124
"P17","La votaría",0.762,0.025,0.036,0.53,0.398
"P17","Puede que la vote",0.11,0.01,0.012,0.17,0.042
"P17","Nunca la votaría",0.112,0.965,0.94,0.248,0.518
"P17","No sabe",0.016,0,0.012,0.052,0.042
"P18","Lo votaría",0.082,0.27,0.055,0.016,0.118
"P18","Puede que lo vote",0.05,0.478,0.286,0.021,0.138
"P18","Nunca lo votaría",0.838,0.214,0.6,0.928,0.598
"P18","No sabe",0.03,0.038,0.059,0.035,0.146
"P19","Lo votaría",0.035,0.153,0.038,0.068,0.129
"P19","Puede que lo vote",0.124,0.307,0.239,0.192,0.179
"P19","Nunca lo votaría",0.7,0.468,0.642,0.594,0.528
"P19","No sabe",0.141,0.072,0.081,0.146,0.164
"P20","La votaría",0.015,0.641,0.278,0.046,0.113
"P20","Puede que la vote",0.043,0.246,0.377,0.071,0.161
"P20","Nunca la votaría",0.925,0.093,0.302,0.873,0.617
"P20","No sabe",0.017,0.02,0.043,0.01,0.109
"P21","Lo votaría",0.019,0.124,0.692,0,0.058
"P21","Puede que lo vote",0.022,0.356,0.226,0.06,0.112
"P21","Nunca lo votaría",0.941,0.457,0.06,0.895,0.701
"P21","No sabe",0.018,0.063,0.022,0.045,0.129
"P22","La votaría",0.025,0.283,0.125,0,0.08
"P22","Puede que la vote",0.041,0.421,0.256,0.045,0.115
"P22","Nunca la votaría",0.894,0.211,0.563,0.904,0.658
"P22","No sabe",0.04,0.085,0.056,0.051,0.147
"P23","Mauricio Macri por Juntos por el Cambio",0.003,0.317,0.024,0,0.023
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.097,0.023,0.007,0.099
"P23","Patricia Bullrich por Juntos por el Cambio",0.011,0.444,0.182,0.021,0.121
"P23","María Eugenia Vidal por Juntos por el Cambio",0.008,0.063,0.029,0,0.027
"P23","Facundo Manes por Juntos por el Cambio",0.021,0.025,0.037,0.076,0.085
"P23","Alberto Fernández por el Frente de Todos",0.303,0.025,0.007,0.034,0.153
"P23","Sergio Massa por el Frente de Todos",0.545,0.011,0.027,0.072,0.06
"P23","Javier Milei por los liberales libertarios",0.007,0.004,0.656,0,0.042
"P23","Al candidato del Frente de Izquierda",0.017,0,0,0.717,0.031
"P23","No sabe",0.068,0.014,0.015,0.073,0.359
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.198,0.046,0.009,0.142
"P24","Mauricio Macri por Juntos por el Cambio",0.006,0.641,0.071,0.005,0.039
"P24","Alberto Fernández por el Frente de Todos",0.276,0.045,0.016,0.162,0.127
"P24","Sergio Massa por el Frente de Todos",0.568,0.017,0.025,0.019,0.065
"P24","Javier Milei por los liberales libertarios",0.009,0.018,0.812,0.041,0.058
"P24","Al candidato del Frente de Izquierda",0.027,0.03,0.012,0.692,0.034
"P24","No sabe",0.097,0.051,0.018,0.072,0.535
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.184,0.038,0.009,0.145
"P25","Patricia Bullrich por Juntos por el Cambio",0.012,0.713,0.167,0.066,0.084
"P25","Alberto Fernández por el Frente de Todos",0.289,0.013,0.018,0.141,0.145
"P25","Sergio Massa por el Frente de Todos",0.624,0.014,0.011,0.037,0.082
"P25","Javier Milei por los liberales libertarios",0,0.02,0.748,0,0.049
"P25","Al candidato del Frente de Izquierda",0.006,0.017,0.012,0.694,0.056
"P25","No sabe",0.053,0.039,0.006,0.053,0.439
"P27","Alberto Fernández por el Frente de Todos",0.817,0.025,0.032,0.154,0.182
"P27","Mauricio Macri por Juntos por el Cambio",0.022,0.946,0.041,0.001,0.056
"P27","Javier Milei por los liberales libertarios",0.019,0.007,0.911,0,0.021
"P27","Al candidato del Frente de Izquierda",0.031,0,0.002,0.824,0.013
"P27","No sabe",0.111,0.022,0.014,0.021,0.728
"P28","Alberto Fernández por el Frente de Todos",0.787,0.031,0.021,0.108,0.213
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.736,0.05,0.027,0.172
"P28","Javier Milei por los liberales libertarios",0.023,0.125,0.893,0.011,0.022
"P28","Al candidato del Frente de Izquierda",0.026,0.007,0,0.818,0.015
"P28","No sabe",0.124,0.101,0.036,0.036,0.578
"P29","Sergio Massa por el Frente de Todos",0.904,0.03,0.014,0.032,0.098
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.769,0.07,0.033,0.191
"P29","Javier Milei por los liberales libertarios",0.016,0.135,0.873,0.001,0.027
"P29","Al candidato del Frente de Izquierda",0.013,0.001,0.016,0.923,0.012
"P29","No sabe",0.044,0.065,0.027,0.011,0.672
"P30","Sergio Massa por el Frente de Todos",0.855,0.037,0.008,0.022,0.086
"P30","Patricia Bullrich por Juntos por el Cambio",0.08,0.891,0.201,0.033,0.17
"P30","Javier Milei por los liberales libertarios",0.012,0.026,0.765,0,0.051
"P30","Al candidato del Frente de Izquierda",0.004,0.003,0,0.91,0.014
"P30","No sabe",0.049,0.043,0.026,0.035,0.679
"P32","Alberto Fernández por el Frente de Todos",0.775,0.071,0.029,0.069,0.167
"P32","Patricia Bullrich por Juntos por el Cambio",0.079,0.832,0.187,0.03,0.187
"P32","Javier Milei por los liberales libertarios",0.023,0.037,0.752,0,0.051
"P32","Al candidato del Frente de Izquierda",0.038,0.002,0.001,0.893,0.039
"P32","No sabe",0.085,0.058,0.031,0.008,0.556
"P34","Sergio Massa por el Frente de Todos",0.973,0.012,0.064,0.598,0.205
"P34","Mauricio Macri por Juntos por el Cambio",0.012,0.979,0.519,0.039,0.168
"P34","No sabe",0.015,0.009,0.417,0.363,0.627
"P35","Sergio Massa",0.959,0.021,0.061,0.58,0.233
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.903,0.427,0.042,0.238
"P35","No sabe",0.016,0.076,0.512,0.378,0.529
"P36","Alberto Fernández por el Frente de Todos",0.862,0.019,0.067,0.69,0.324
"P36","Mauricio Macri por Juntos por el Cambio",0.035,0.951,0.648,0.009,0.17
"P36","No sabe",0.103,0.03,0.285,0.301,0.506
"P37","Alberto Fernández",0.852,0.031,0.051,0.706,0.318
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.878,0.492,0.078,0.236
"P37","No sabe",0.092,0.091,0.457,0.216,0.446
"P38","Sergio Massa por el Frente de Todos",0.947,0.019,0.055,0.68,0.256
"P38","Patricia Bullrich por Juntos por el Cambio",0.022,0.945,0.665,0.049,0.262
"P38","No sabe",0.031,0.036,0.28,0.271,0.482
"P39","Alberto Fernández por el Frente de Todos",0.889,0.023,0.039,0.699,0.329
"P39","Patricia Bullrich por Juntos por el Cambio",0.018,0.948,0.72,0.041,0.289
"P39","No sabe",0.093,0.029,0.241,0.26,0.382
"P40","Mauricio Macri por Juntos por el Cambio",0.1,0.825,0.101,0.097,0.191
"P40","Javier Milei por los liberales libertarios",0.063,0.151,0.778,0.093,0.104
"P40","No sabe",0.837,0.024,0.121,0.81,0.705
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.802,0.114,0.297,0.206
"P41","Javier Milei por los liberales libertarios",0.068,0.128,0.841,0.013,0.069
"P41","No sabe",0.834,0.07,0.045,0.69,0.725
"P42","Patricia Bullrich por Juntos por el Cambio",0.042,0.914,0.144,0.145,0.228
"P42","Javier Milei por los liberales libertarios",0.079,0.049,0.784,0.095,0.104
"P42","No sabe",0.879,0.037,0.072,0.76,0.668
"P43","Muy buena",0.115,0.104,0.023,0.123,0.074
"P43","Buena",0.384,0.017,0.096,0.175,0.14
"P43","Ni buena ni mala",0.387,0.007,0.014,0.402,0.265
"P43","Mala",0.078,0.054,0.078,0.191,0.143
"P43","Muy mala",0.036,0.814,0.788,0.109,0.371
"P43","No sabe",0,0.004,0.001,0,0.007
"P44","Muy buena",0.121,0.016,0.011,0,0.058
"P44","Buena",0.393,0.008,0.011,0.176,0.098
"P44","Ni buena ni mala",0.357,0.005,0.029,0.349,0.236
"P44","Mala",0.089,0.093,0.117,0.385,0.167
"P44","Muy mala",0.032,0.871,0.832,0.09,0.437
"P44","No sabe",0.008,0.007,0,0,0.004
"P45","Muy buena",0.638,0.009,0.032,0.488,0.337
"P45","Buena",0.173,0.004,0.006,0.138,0.071
"P45","Ni buena ni mala",0.09,0.006,0.025,0.157,0.045
"P45","Mala",0.04,0.027,0.033,0.097,0.075
"P45","Muy mala",0.055,0.939,0.904,0.12,0.444
"P45","No sabe",0.004,0.015,0,0,0.028
"P46","Muy buena",0.056,0.369,0.063,0.076,0.022
"P46","Buena",0.027,0.33,0.246,0.019,0.067
"P46","Ni buena ni mala",0.043,0.13,0.268,0.146,0.217
"P46","Mala",0.158,0.032,0.152,0.075,0.108
"P46","Muy mala",0.711,0.127,0.264,0.684,0.578
"P46","No sabe",0.005,0.012,0.007,0,0.008
"P47","Muy buena",0.024,0.26,0.051,0.057,0.059
"P47","Buena",0.031,0.409,0.225,0.041,0.181
"P47","Ni buena ni mala",0.102,0.263,0.26,0.108,0.19
"P47","Mala",0.24,0.034,0.165,0.327,0.113
"P47","Muy mala",0.592,0.028,0.293,0.467,0.441
"P47","No sabe",0.011,0.006,0.006,0,0.016
"P48","Muy buena",0.2,0.049,0.019,0.057,0.027
"P48","Buena",0.407,0.061,0.092,0.052,0.127
