"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.506,0.395,0.391
"P04","Realizo changas o trabajos de vez en cuando",0.16,0.186,0.215
"P04","No tengo trabajo",0.122,0.158,0.216
"P04","Soy jubilado o pensionado",0.212,0.261,0.178
"P05","1",0.176,0.328,0.245
"P05","2",0.057,0.081,0.015
"P05","3",0.02,0.089,0.06
"P05","4",0.025,0.098,0.046
"P05","5",0.165,0.24,0.266
"P05","6",0.103,0.039,0.043
"P05","7",0.138,0.026,0.101
"P05","8",0.098,0.01,0.033
"P05","9",0.218,0.089,0.191
"P06","1",0.432,0.126,0.28
"P06","2",0.084,0.037,0.043
"P06","3",0.082,0.02,0.02
"P06","4",0.047,0.039,0.047
"P06","5",0.166,0.21,0.194
"P06","6",0.026,0.036,0.026
"P06","7",0.04,0.11,0.088
"P06","8",0.026,0.084,0.051
"P06","9",0.097,0.338,0.251
"P07","1",0.665,0.198,0.379
"P07","2",0.028,0.031,0.013
"P07","3",0.043,0.023,0.032
"P07","4",0.017,0.026,0.02
"P07","5",0.077,0.129,0.144
"P07","6",0.001,0.052,0.009
"P07","7",0.013,0.061,0.065
"P07","8",0.007,0.057,0.042
"P07","9",0.149,0.423,0.296
"P09","Del Frente de Todos y el peronismo",0.811,0.039,0.234
"P09","De Juntos por el cambio",0.031,0.614,0.156
"P09","De los Liberales libertarios",0.018,0.277,0.231
"P09","De la Izquierda",0.048,0.005,0.073
"P09","No sabe",0.092,0.065,0.306
"P10","A Alberto Fernández",0.116,0.199,0.22
"P10","A Sergio Massa",0.251,0.126,0.004
"P10","A algún candidato del peronismo",0.092,0.6,0.164
"P10","A algún candidato del kirchnerismo",0.541,0.075,0.612
"P11","A Alberto Fernández",0.065,0.303,0.113
"P11","A Sergio Massa",0.177,0.29,0
"P11","A algún candidato del peronismo",0.084,0.332,0.104
"P11","A Cristina Fernández de Kirchner",0.674,0.075,0.783
"P12","A Horacio Rodriguez Larreta",0.296,0.182,0.505
"P12","A Mauricio Macri",0.294,0.329,0.133
"P12","A Patricia Bullrich",0.082,0.435,0.121
"P12","A Facundo Manes",0.3,0.027,0.205
"P12","A Gerardo Morales",0.028,0.027,0.036
"P13","Seguro lo votaria",0,0.088,0.089
"P13","Quizás lo votaría",0.472,0.391,0.221
"P13","Nunca lo votaría",0.528,0.521,0.69
"P14","Lo votaría",0.017,0.417,0.06
"P14","Puede que lo vote",0.045,0.32,0.107
"P14","Nunca lo votaría",0.876,0.198,0.628
"P14","No sabe",0.062,0.065,0.205
"P15","Lo votaría",0.325,0.067,0.002
"P15","Puede que lo vote",0.456,0.041,0.087
"P15","Nunca lo votaría",0.134,0.879,0.773
"P15","No sabe",0.085,0.013,0.138
"P16","Lo votaría",0.183,0.008,0.059
"P16","Puede que lo vote",0.524,0.007,0.124
"P16","Nunca lo votaría",0.146,0.976,0.732
"P16","No sabe",0.147,0.009,0.085
"P17","La votaría",0.766,0.007,0.254
"P17","Puede que la vote",0.112,0.003,0.041
"P17","Nunca la votaría",0.099,0.989,0.662
"P17","No sabe",0.023,0.001,0.043
"P18","Lo votaría",0.088,0.209,0.081
"P18","Puede que lo vote",0.038,0.433,0.112
"P18","Nunca lo votaría",0.849,0.317,0.717
"P18","No sabe",0.025,0.041,0.09
"P19","Lo votaría",0.034,0.122,0.085
"P19","Puede que lo vote",0.13,0.317,0.18
"P19","Nunca lo votaría",0.696,0.502,0.609
"P19","No sabe",0.14,0.059,0.126
"P20","La votaría",0.024,0.561,0.076
"P20","Puede que la vote",0.027,0.326,0.162
"P20","Nunca la votaría",0.939,0.089,0.696
