"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.435,0.403,0.443,0.47,0.361
"P04","Realizo changas o trabajos de vez en cuando",0.199,0.168,0.229,0.161,0.267
"P04","No tengo trabajo",0.177,0.141,0.212,0.294,0.196
"P04","Soy jubilado o pensionado",0.189,0.288,0.116,0.075,0.176
"P05","1",0.212,0.342,0.323,0.255,0.237
"P05","2",0.059,0.07,0.112,0.022,0.035
"P05","3",0.026,0.102,0.094,0.048,0.042
"P05","4",0.035,0.088,0.065,0.019,0.081
"P05","5",0.15,0.173,0.273,0.069,0.301
"P05","6",0.072,0.055,0.011,0.041,0.053
"P05","7",0.122,0.04,0.016,0.156,0.059
"P05","8",0.069,0.01,0.022,0.035,0.053
"P05","9",0.255,0.12,0.084,0.355,0.139
"P06","1",0.449,0.185,0.121,0.277,0.219
"P06","2",0.077,0.047,0.014,0.121,0.05
"P06","3",0.057,0.027,0.004,0.077,0.043
"P06","4",0.044,0.027,0.029,0.015,0.087
"P06","5",0.159,0.176,0.192,0.337,0.212
"P06","6",0.019,0.035,0.034,0,0.058
"P06","7",0.024,0.113,0.082,0.047,0.058
"P06","8",0.036,0.076,0.086,0.015,0.036
"P06","9",0.135,0.314,0.438,0.111,0.237
"P07","1",0.604,0.248,0.171,0.572,0.343
"P07","2",0.035,0.051,0.024,0.004,0.018
"P07","3",0.04,0.027,0.018,0,0.026
"P07","4",0.023,0.017,0.025,0,0.03
"P07","5",0.077,0.123,0.127,0.073,0.108
"P07","6",0.003,0.032,0.05,0,0.004
"P07","7",0.017,0.046,0.068,0,0.037
"P07","8",0.019,0.044,0.06,0.016,0.02
"P07","9",0.182,0.412,0.457,0.335,0.414
"P14","Lo votaría",0.048,0.531,0.122,0.096,0.067
"P14","Puede que lo vote",0.046,0.265,0.331,0.167,0.157
"P14","Nunca lo votaría",0.835,0.161,0.415,0.656,0.558
"P14","No sabe",0.071,0.043,0.132,0.081,0.218
"P15","Lo votaría",0.287,0.11,0.049,0.016,0.088
"P15","Puede que lo vote",0.379,0.062,0.066,0.316,0.16
"P15","Nunca lo votaría",0.219,0.797,0.864,0.572,0.524
