"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Facundo Manes","Muy buena",0.071,0.068,0.074,0,0.083,0.083,0.079,0.116,0.058,0.052,0.056,0.103,0.038,0.101,0.132
"Facundo Manes","Buena",0.14,0.149,0.132,0.121,0.127,0.146,0.169,0.116,0.145,0.155,0.136,0.15,0.085,0.209,0.173
"Facundo Manes","Ni buena ni mala",0.373,0.365,0.38,0.36,0.361,0.356,0.43,0.329,0.412,0.353,0.38,0.359,0.396,0.34,0.44
"Facundo Manes","Mala",0.162,0.168,0.158,0.138,0.16,0.201,0.129,0.195,0.141,0.165,0.168,0.15,0.159,0.189,0.062
"Facundo Manes","Muy mala",0.216,0.228,0.205,0.331,0.229,0.188,0.154,0.202,0.201,0.25,0.226,0.194,0.291,0.124,0.158
"Facundo Manes","No sabe",0.038,0.022,0.051,0.05,0.04,0.026,0.039,0.042,0.043,0.025,0.034,0.044,0.031,0.037,0.035
"Patricia Bullrich","Muy buena",0.245,0.246,0.245,0.172,0.201,0.292,0.313,0.281,0.221,0.25,0.268,0.196,0.068,0.475,0.217
"Patricia Bullrich","Buena",0.17,0.202,0.143,0.201,0.145,0.16,0.213,0.208,0.172,0.135,0.173,0.165,0.075,0.249,0.174
"Patricia Bullrich","Ni buena ni mala",0.124,0.14,0.111,0.088,0.182,0.078,0.101,0.132,0.134,0.103,0.125,0.123,0.067,0.127,0.32
"Patricia Bullrich","Mala",0.074,0.077,0.071,0.076,0.061,0.095,0.068,0.089,0.073,0.061,0.064,0.095,0.106,0.027,0.087
"Patricia Bullrich","Muy mala",0.372,0.321,0.415,0.413,0.407,0.364,0.287,0.254,0.392,0.444,0.362,0.392,0.682,0.107,0.143
"Patricia Bullrich","No sabe",0.015,0.014,0.015,0.05,0.004,0.011,0.018,0.036,0.008,0.007,0.008,0.029,0.002,0.015,0.059
"Horacio Rodriguez Larreta","Muy buena",0.11,0.087,0.129,0.071,0.094,0.129,0.14,0.155,0.097,0.09,0.096,0.139,0.021,0.217,0.129
"Horacio Rodriguez Larreta","Buena",0.206,0.204,0.208,0.113,0.191,0.226,0.269,0.201,0.226,0.182,0.218,0.182,0.061,0.387,0.354
"Horacio Rodriguez Larreta","Ni buena ni mala",0.201,0.206,0.197,0.151,0.194,0.216,0.228,0.216,0.21,0.176,0.207,0.189,0.158,0.21,0.252
"Horacio Rodriguez Larreta","Mala",0.146,0.168,0.128,0.208,0.144,0.127,0.136,0.149,0.124,0.176,0.147,0.144,0.205,0.069,0.115
"Horacio Rodriguez Larreta","Muy mala",0.328,0.329,0.327,0.457,0.368,0.293,0.214,0.274,0.333,0.367,0.325,0.333,0.55,0.115,0.128
"Horacio Rodriguez Larreta","No sabe",0.009,0.006,0.011,0,0.009,0.009,0.013,0.005,0.01,0.009,0.007,0.013,0.005,0.002,0.022
"Javier Milei","Muy buena",0.144,0.215,0.082,0.187,0.183,0.095,0.105,0.224,0.123,0.104,0.155,0.12,0.041,0.185,0.175
"Javier Milei","Buena",0.137,0.164,0.115,0.104,0.143,0.137,0.147,0.12,0.145,0.141,0.156,0.098,0.046,0.209,0.226
"Javier Milei","Ni buena ni mala",0.208,0.197,0.216,0.176,0.171,0.242,0.251,0.212,0.219,0.186,0.205,0.212,0.098,0.323,0.279
"Javier Milei","Mala",0.117,0.106,0.127,0.062,0.126,0.123,0.128,0.107,0.125,0.114,0.11,0.132,0.144,0.104,0.131
"Javier Milei","Muy mala",0.375,0.31,0.431,0.471,0.364,0.392,0.313,0.31,0.368,0.444,0.354,0.421,0.656,0.154,0.154
"Javier Milei","No sabe",0.019,0.008,0.029,0,0.013,0.011,0.056,0.027,0.02,0.011,0.02,0.017,0.015,0.025,0.035
"Maria Eugenia Vidal","Muy buena",0.125,0.121,0.129,0.096,0.098,0.128,0.196,0.154,0.111,0.123,0.109,0.16,0.015,0.268,0.045
"Maria Eugenia Vidal","Buena",0.194,0.187,0.199,0.121,0.169,0.249,0.213,0.209,0.199,0.174,0.213,0.154,0.063,0.334,0.32
"Maria Eugenia Vidal","Ni buena ni mala",0.166,0.16,0.171,0.113,0.168,0.163,0.198,0.172,0.173,0.148,0.167,0.163,0.073,0.221,0.286
"Maria Eugenia Vidal","Mala",0.108,0.131,0.089,0.12,0.123,0.089,0.097,0.11,0.116,0.093,0.123,0.076,0.131,0.081,0.066
"Maria Eugenia Vidal","Muy mala",0.398,0.39,0.405,0.525,0.437,0.367,0.283,0.34,0.395,0.454,0.379,0.439,0.706,0.096,0.265
"Maria Eugenia Vidal","No sabe",0.009,0.011,0.007,0.025,0.005,0.004,0.013,0.015,0.006,0.008,0.009,0.008,0.012,0,0.018
"Mauricio Macri","Muy buena",0.148,0.144,0.151,0.025,0.134,0.166,0.229,0.19,0.123,0.147,0.146,0.152,0.067,0.29,0.037
"Mauricio Macri","Buena",0.165,0.184,0.149,0.172,0.122,0.202,0.196,0.154,0.161,0.182,0.175,0.145,0.057,0.315,0.098
"Mauricio Macri","Ni buena ni mala",0.15,0.164,0.138,0.211,0.157,0.137,0.113,0.177,0.151,0.124,0.145,0.158,0.062,0.166,0.373
"Mauricio Macri","Mala",0.11,0.132,0.091,0.096,0.107,0.111,0.124,0.133,0.105,0.098,0.121,0.088,0.14,0.047,0.146
