"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.458,0.391,0.473,0.488,0.349
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.151,0.21,0.25,0.188
"P04","No tengo trabajo",0.137,0.17,0.18,0.149,0.227
"P04","Soy jubilado o pensionado",0.231,0.288,0.137,0.113,0.236
"P05","1",0.153,0.322,0.381,0.197,0.218
"P05","2",0.064,0.056,0.118,0.009,0.022
"P05","3",0.028,0.107,0.077,0.009,0.038
"P05","4",0.036,0.098,0.057,0.012,0.05
"P05","5",0.18,0.232,0.215,0.115,0.272
"P05","6",0.1,0.058,0.006,0.116,0.051
"P05","7",0.125,0.034,0.021,0.176,0.118
"P05","8",0.091,0.01,0.03,0.058,0.035
"P05","9",0.223,0.083,0.095,0.308,0.196
"P06","1",0.434,0.169,0.096,0.403,0.351
"P06","2",0.076,0.046,0.023,0.067,0.066
"P06","3",0.075,0.034,0.003,0.077,0.04
"P06","4",0.052,0.036,0.03,0.01,0.049
"P06","5",0.179,0.23,0.178,0.22,0.188
"P06","6",0.032,0.039,0.022,0,0.027
"P06","7",0.029,0.121,0.104,0.061,0.039
"P06","8",0.029,0.078,0.08,0.01,0.032
"P06","9",0.094,0.247,0.464,0.152,0.208
"P07","1",0.626,0.241,0.184,0.774,0.391
"P07","2",0.034,0.045,0.023,0.005,0.011
"P07","3",0.053,0.042,0.002,0.014,0.019
"P07","4",0.02,0.027,0.016,0.004,0.021
"P07","5",0.087,0.121,0.124,0.026,0.138
"P07","6",0.002,0.034,0.045,0.058,0.009
"P07","7",0.014,0.056,0.09,0,0.034
"P07","8",0.007,0.055,0.069,0,0.032
"P07","9",0.157,0.379,0.447,0.119,0.345
"P09","Del Frente de Todos y el peronismo",0.872,0.05,0.036,0.411,0.332
"P09","De Juntos por el cambio",0.038,0.84,0.187,0.006,0.143
"P09","De los Liberales libertarios",0.022,0.048,0.686,0.058,0.09
"P09","De la Izquierda",0.003,0.004,0.016,0.479,0.052
"P09","No sabe",0.065,0.058,0.075,0.046,0.383
"P10","A Alberto Fernández",0.128,0.209,0.121,0.145,0.141
"P10","A Sergio Massa",0.28,0.081,0.331,0,0.044
"P10","A algún candidato del peronismo",0.095,0.71,0.548,0.107,0.155
"P10","A algún candidato del kirchnerismo",0.497,0,0,0.748,0.66
"P11","A Alberto Fernández",0.074,0.209,0.282,0,0.078
"P11","A Sergio Massa",0.19,0.284,0.109,0,0.044
"P11","A algún candidato del peronismo",0.078,0.507,0.25,0.107,0.101
"P11","A Cristina Fernández de Kirchner",0.658,0,0.359,0.893,0.777
"P12","A Horacio Rodriguez Larreta",0.173,0.248,0.066,0,0.155
"P12","A Mauricio Macri",0.033,0.321,0.307,1,0.419
"P12","A Patricia Bullrich",0.238,0.364,0.583,0,0.307
"P12","A Facundo Manes",0.473,0.035,0.044,0,0.105
"P12","A Gerardo Morales",0.083,0.032,0,0,0.014
"P13","Seguro lo votaria",0,0.073,0.241,0,0.032
"P13","Quizás lo votaría",0.338,0.348,0.533,1,0.335
"P13","Nunca lo votaría",0.662,0.579,0.226,0,0.633
"P14","Lo votaría",0.023,0.511,0.21,0.006,0.116
"P14","Puede que lo vote",0.038,0.269,0.355,0.058,0.095
"P14","Nunca lo votaría",0.882,0.155,0.336,0.856,0.597
"P14","No sabe",0.057,0.065,0.099,0.08,0.192
"P15","Lo votaría",0.365,0.09,0.065,0.006,0.041
"P15","Puede que lo vote",0.436,0.051,0.046,0.347,0.195
"P15","Nunca lo votaría",0.112,0.838,0.875,0.509,0.582
"P15","No sabe",0.087,0.021,0.014,0.138,0.182
"P16","Lo votaría",0.243,0.014,0.019,0.058,0.066
"P16","Puede que lo vote",0.517,0.02,0.029,0.32,0.18
"P16","Nunca lo votaría",0.113,0.958,0.94,0.515,0.619
"P16","No sabe",0.127,0.008,0.012,0.107,0.135
"P17","La votaría",0.803,0.001,0.033,0.528,0.357
"P17","Puede que la vote",0.095,0.017,0.005,0.131,0.057
"P17","Nunca la votaría",0.087,0.98,0.95,0.283,0.526
"P17","No sabe",0.015,0.002,0.012,0.058,0.06
"P18","Lo votaría",0.08,0.356,0.046,0.014,0.047
"P18","Puede que lo vote",0.042,0.453,0.332,0.085,0.109
"P18","Nunca lo votaría",0.849,0.148,0.591,0.862,0.671
"P18","No sabe",0.029,0.043,0.031,0.039,0.173
"P19","Lo votaría",0.04,0.204,0.04,0.066,0.05
"P19","Puede que lo vote",0.116,0.334,0.265,0.189,0.158
"P19","Nunca lo votaría",0.688,0.385,0.651,0.644,0.611
"P19","No sabe",0.156,0.077,0.044,0.101,0.181
"P20","La votaría",0.025,0.593,0.349,0.049,0.129
"P20","Puede que la vote",0.041,0.265,0.374,0.104,0.12
"P20","Nunca la votaría",0.907,0.113,0.262,0.847,0.641
"P20","No sabe",0.027,0.029,0.015,0,0.11
"P21","Lo votaría",0.016,0.105,0.669,0.058,0.033
"P21","Puede que lo vote",0.031,0.319,0.273,0.064,0.114
"P21","Nunca lo votaría",0.925,0.52,0.042,0.834,0.714
"P21","No sabe",0.028,0.056,0.016,0.044,0.139
"P22","La votaría",0.023,0.291,0.151,0,0.073
"P22","Puede que la vote",0.035,0.382,0.349,0.042,0.097
"P22","Nunca la votaría",0.89,0.229,0.465,0.909,0.676
"P22","No sabe",0.052,0.098,0.035,0.049,0.154
"P23","Mauricio Macri por Juntos por el Cambio",0.006,0.252,0.076,0,0.073
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.179,0.006,0,0.024
"P23","Patricia Bullrich por Juntos por el Cambio",0.019,0.393,0.27,0,0.123
"P23","María Eugenia Vidal por Juntos por el Cambio",0.005,0.079,0.006,0,0.057
"P23","Facundo Manes por Juntos por el Cambio",0.022,0.041,0.03,0.082,0.084
"P23","Alberto Fernández por el Frente de Todos",0.31,0.02,0.005,0.082,0.16
"P23","Sergio Massa por el Frente de Todos",0.529,0.005,0.027,0.058,0.051
"P23","Javier Milei por los liberales libertarios",0.003,0.012,0.577,0.058,0.015
"P23","Al candidato del Frente de Izquierda",0.019,0,0,0.695,0.016
"P23","No sabe",0.084,0.019,0.003,0.025,0.397
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.31,0.018,0,0.041
"P24","Mauricio Macri por Juntos por el Cambio",0.01,0.529,0.189,0,0.1
"P24","Alberto Fernández por el Frente de Todos",0.269,0.038,0.022,0.183,0.148
"P24","Sergio Massa por el Frente de Todos",0.552,0.008,0.031,0.01,0.076
"P24","Javier Milei por los liberales libertarios",0.011,0.026,0.707,0.104,0.038
"P24","Al candidato del Frente de Izquierda",0.034,0.021,0.025,0.651,0.024
"P24","No sabe",0.118,0.068,0.008,0.052,0.573
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.296,0.019,0,0.043
"P25","Patricia Bullrich por Juntos por el Cambio",0.024,0.626,0.275,0.046,0.152
"P25","Alberto Fernández por el Frente de Todos",0.293,0.008,0.005,0.196,0.151
"P25","Sergio Massa por el Frente de Todos",0.609,0.008,0.025,0.023,0.079
"P25","Javier Milei por los liberales libertarios",0,0.009,0.666,0.058,0.042
"P25","Al candidato del Frente de Izquierda",0.01,0.018,0.008,0.656,0.048
"P25","No sabe",0.061,0.035,0.002,0.021,0.485
"P26","Sergio Massa por el Frente de Todos",0.891,0.022,0.019,0.069,0.077
"P26","Mauricio Macri por Juntos por el Cambio",0.032,0.801,0.176,0.006,0.121
"P26","Javier Milei por los liberales libertarios",0.01,0.05,0.783,0.061,0.035
"P26","Al candidato del Frente de Izquierda",0.005,0.006,0,0.823,0.003
"P26","No sabe",0.062,0.121,0.022,0.041,0.764
"P27","Alberto Fernández por el Frente de Todos",0.808,0.032,0.014,0.202,0.186
"P27","Mauricio Macri por Juntos por el Cambio",0.023,0.818,0.21,0.006,0.139
"P27","Javier Milei por los liberales libertarios",0.002,0.053,0.758,0.057,0.006
"P27","Al candidato del Frente de Izquierda",0.04,0.009,0.002,0.69,0.003
"P27","No sabe",0.127,0.088,0.016,0.045,0.666
"P28","Alberto Fernández por el Frente de Todos",0.842,0.014,0.006,0.141,0.163
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.904,0.024,0.006,0.045
"P28","Javier Milei por los liberales libertarios",0.002,0.036,0.947,0.009,0.011
"P28","Al candidato del Frente de Izquierda",0.028,0.005,0.004,0.778,0.002
"P28","No sabe",0.106,0.041,0.019,0.066,0.779
"P30","Sergio Massa por el Frente de Todos",0.852,0.048,0.001,0.017,0.06
"P30","Patricia Bullrich por Juntos por el Cambio",0.089,0.817,0.305,0,0.19
"P30","Javier Milei por los liberales libertarios",0.015,0.04,0.69,0.058,0
"P30","Al candidato del Frente de Izquierda",0.007,0.005,0.001,0.81,0.009
"P30","No sabe",0.037,0.09,0.003,0.115,0.741
"P32","Alberto Fernández por el Frente de Todos",0.773,0.063,0.04,0.119,0.157
"P32","Patricia Bullrich por Juntos por el Cambio",0.073,0.797,0.278,0,0.183
"P32","Javier Milei por los liberales libertarios",0.012,0.06,0.681,0.06,0.002
"P32","Al candidato del Frente de Izquierda",0.04,0.005,0,0.821,0.023
"P32","No sabe",0.102,0.075,0.001,0,0.635
"P34","Sergio Massa por el Frente de Todos",0.95,0.024,0.064,0.504,0.207
"P34","Mauricio Macri por Juntos por el Cambio",0.027,0.896,0.617,0.032,0.159
"P34","No sabe",0.023,0.08,0.319,0.464,0.634
"P35","Sergio Massa",0.967,0.015,0.056,0.518,0.215
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.94,0.474,0.093,0.148
"P35","No sabe",0.015,0.045,0.47,0.389,0.637
"P36","Alberto Fernández por el Frente de Todos",0.89,0.017,0.047,0.652,0.281
