"var","categoria","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.401,0.423,0.465
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.222,0.167
"P04","No tengo trabajo",0.133,0.22,0.137
"P04","Soy jubilado o pensionado",0.285,0.135,0.231
"P05","1",0.322,0.314,0.163
"P05","2",0.056,0.099,0.047
"P05","3",0.092,0.073,0.028
"P05","4",0.086,0.094,0.028
"P05","5",0.231,0.276,0.186
"P05","6",0.062,0.002,0.099
"P05","7",0.039,0.025,0.139
"P05","8",0.018,0.018,0.078
"P05","9",0.094,0.099,0.232
"P06","1",0.167,0.151,0.391
"P06","2",0.04,0.03,0.072
"P06","3",0.02,0.013,0.071
"P06","4",0.038,0.042,0.05
"P06","5",0.194,0.192,0.194
"P06","6",0.042,0.02,0.03
"P06","7",0.14,0.078,0.039
"P06","8",0.08,0.076,0.032
"P06","9",0.279,0.398,0.121
"P07","1",0.273,0.2,0.604
"P07","2",0.045,0.011,0.022
"P07","3",0.035,0.012,0.036
"P07","4",0.026,0.035,0.012
"P07","5",0.122,0.128,0.1
"P07","6",0.039,0.047,0.006
"P07","7",0.055,0.038,0.039
"P07","8",0.046,0.063,0.017
"P07","9",0.359,0.466,0.164
"P09","Del Frente de Todos y el peronismo",0.122,0.09,0.675
"P09","De Juntos por el cambio",0.748,0.212,0.068
"P09","De los Liberales libertarios",0.061,0.574,0.044
"P09","De la Izquierda",0.015,0.02,0.051
"P09","No sabe",0.054,0.104,0.162
"P10","A Alberto Fernández",0.177,0.037,0.136
"P10","A Sergio Massa",0.208,0.257,0.213
"P10","A algún candidato del peronismo",0.164,0.46,0.09
"P10","A algún candidato del kirchnerismo",0.451,0.246,0.561
"P11","A Alberto Fernández",0.117,0.105,0.078
"P11","A Sergio Massa",0.155,0.368,0.149
"P11","A algún candidato del peronismo",0.16,0.197,0.077
"P11","A Cristina Fernández de Kirchner",0.568,0.33,0.696
"P12","A Horacio Rodriguez Larreta",0.178,0.238,0.487
"P12","A Mauricio Macri",0.342,0.312,0.052
"P12","A Patricia Bullrich",0.418,0.399,0.185
"P12","A Facundo Manes",0.027,0.051,0.266
"P12","A Gerardo Morales",0.035,0,0.01
"P13","Seguro lo votaria",0.063,0.25,0
"P13","Quizás lo votaría",0.382,0.387,0.234
"P13","Nunca lo votaría",0.555,0.363,0.766
"P14","Lo votaría",0.502,0.158,0.018
"P14","Puede que lo vote",0.26,0.287,0.07
"P14","Nunca lo votaría",0.173,0.46,0.807
"P14","No sabe",0.065,0.095,0.105
"P15","Lo votaría",0.089,0.104,0.22
"P15","Puede que lo vote",0.069,0.078,0.366
"P15","Nunca lo votaría",0.812,0.799,0.307
"P15","No sabe",0.03,0.019,0.107
"P16","Lo votaría",0.026,0.026,0.148
"P16","Puede que lo vote",0.072,0.057,0.405
"P16","Nunca lo votaría",0.868,0.894,0.319
"P16","No sabe",0.034,0.023,0.128
"P17","La votaría",0.079,0.062,0.647
"P17","Puede que la vote",0.024,0.01,0.089
"P17","Nunca la votaría",0.884,0.922,0.239
"P17","No sabe",0.013,0.006,0.025
"P18","Lo votaría",0.267,0.092,0.077
"P18","Puede que lo vote",0.43,0.282,0.06
"P18","Nunca lo votaría",0.26,0.596,0.811
"P18","No sabe",0.043,0.03,0.052
"P19","Lo votaría",0.15,0.063,0.051
"P19","Puede que lo vote",0.291,0.318,0.131
"P19","Nunca lo votaría",0.493,0.586,0.669
"P19","No sabe",0.066,0.033,0.149
"P20","La votaría",0.58,0.306,0.046
"P20","Puede que la vote",0.226,0.365,0.072
"P20","Nunca la votaría",0.178,0.31,0.844
"P20","No sabe",0.016,0.019,0.038
"P21","Lo votaría",0.104,0.56,0.039
"P21","Puede que lo vote",0.307,0.256,0.035
"P21","Nunca lo votaría",0.54,0.145,0.882
"P21","No sabe",0.049,0.039,0.044
"P22","La votaría",0.256,0.135,0.037
"P22","Puede que la vote",0.386,0.28,0.041
"P22","Nunca la votaría",0.281,0.518,0.861
"P22","No sabe",0.077,0.067,0.061
"P23","Mauricio Macri por Juntos por el Cambio",0.264,0.055,0.005
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.04,0.031
"P23","Patricia Bullrich por Juntos por el Cambio",0.397,0.225,0.043
"P23","María Eugenia Vidal por Juntos por el Cambio",0.062,0.022,0.012
"P23","Facundo Manes por Juntos por el Cambio",0.031,0.047,0.046
"P23","Alberto Fernández por el Frente de Todos",0.032,0.029,0.248
"P23","Sergio Massa por el Frente de Todos",0.055,0.078,0.328
"P23","Javier Milei por los liberales libertarios",0.003,0.484,0.029
"P23","Al candidato del Frente de Izquierda",0.008,0.005,0.095
"P23","No sabe",0.045,0.015,0.163
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.203,0.07,0.032
"P24","Mauricio Macri por Juntos por el Cambio",0.547,0.159,0.012
"P24","Alberto Fernández por el Frente de Todos",0.043,0.059,0.225
"P24","Sergio Massa por el Frente de Todos",0.055,0.077,0.355
"P24","Javier Milei por los liberales libertarios",0.041,0.57,0.05
"P24","Al candidato del Frente de Izquierda",0.023,0.025,0.09
"P24","No sabe",0.088,0.04,0.236
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.196,0.058,0.034
"P25","Patricia Bullrich por Juntos por el Cambio",0.635,0.248,0.034
"P25","Alberto Fernández por el Frente de Todos",0.025,0.035,0.229
"P25","Sergio Massa por el Frente de Todos",0.055,0.071,0.402
"P25","Javier Milei por los liberales libertarios",0.017,0.546,0.037
"P25","Al candidato del Frente de Izquierda",0.017,0.009,0.088
"P25","No sabe",0.055,0.033,0.176
"P26","Sergio Massa por el Frente de Todos",0.086,0.077,0.57
"P26","Mauricio Macri por Juntos por el Cambio",0.752,0.198,0.018
"P26","Javier Milei por los liberales libertarios",0.057,0.636,0.055
"P26","Al candidato del Frente de Izquierda",0.014,0.018,0.089
"P26","No sabe",0.091,0.071,0.268
"P27","Alberto Fernández por el Frente de Todos",0.104,0.092,0.536
"P27","Mauricio Macri por Juntos por el Cambio",0.787,0.195,0.022
"P27","Javier Milei por los liberales libertarios",0.038,0.644,0.053
"P27","Al candidato del Frente de Izquierda",0.012,0.003,0.113
"P27","No sabe",0.059,0.066,0.276
"P28","Alberto Fernández por el Frente de Todos",0.096,0.057,0.53
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.655,0.171,0.062
"P28","Javier Milei por los liberales libertarios",0.138,0.677,0.047
"P28","Al candidato del Frente de Izquierda",0.021,0.008,0.099
"P28","No sabe",0.09,0.087,0.262
"P29","Sergio Massa por el Frente de Todos",0.094,0.052,0.564
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.682,0.179,0.051
"P29","Javier Milei por los liberales libertarios",0.127,0.667,0.046
"P29","Al candidato del Frente de Izquierda",0.013,0.033,0.092
"P29","No sabe",0.084,0.069,0.247
"P30","Sergio Massa por el Frente de Todos",0.115,0.061,0.513
"P30","Patricia Bullrich por Juntos por el Cambio",0.776,0.282,0.09
"P30","Javier Milei por los liberales libertarios",0.03,0.576,0.047
"P30","Al candidato del Frente de Izquierda",0.013,0.019,0.087
"P30","No sabe",0.066,0.062,0.263
"P32","Alberto Fernández por el Frente de Todos",0.112,0.095,0.51
"P32","Patricia Bullrich por Juntos por el Cambio",0.782,0.244,0.083
"P32","Javier Milei por los liberales libertarios",0.031,0.597,0.042
"P32","Al candidato del Frente de Izquierda",0.013,0.022,0.117
"P32","No sabe",0.062,0.042,0.248
"P34","Sergio Massa por el Frente de Todos",0.106,0.12,0.677
"P34","Mauricio Macri por Juntos por el Cambio",0.86,0.54,0.052
"P34","No sabe",0.034,0.34,0.271
"P35","Sergio Massa",0.111,0.109,0.677
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.799,0.471,0.078
"P35","No sabe",0.09,0.42,0.245
"P36","Alberto Fernández por el Frente de Todos",0.12,0.087,0.664
"P36","Mauricio Macri por Juntos por el Cambio",0.841,0.647,0.052
"P36","No sabe",0.039,0.266,0.284
"P37","Alberto Fernández",0.118,0.097,0.658
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.802,0.531,0.088
"P37","No sabe",0.08,0.372,0.254
"P38","Sergio Massa por el Frente de Todos",0.117,0.11,0.677
"P38","Patricia Bullrich por Juntos por el Cambio",0.838,0.686,0.076
"P38","No sabe",0.045,0.204,0.247
"P39","Alberto Fernández por el Frente de Todos",0.123,0.096,0.674
"P39","Patricia Bullrich por Juntos por el Cambio",0.844,0.713,0.077
"P39","No sabe",0.033,0.191,0.249
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.202,0.087
"P41","Javier Milei por los liberales libertarios",0.103,0.764,0.042
"P41","No sabe",0.124,0.034,0.871
"P42","Patricia Bullrich por Juntos por el Cambio",0.839,0.215,0.072
"P42","Javier Milei por los liberales libertarios",0.048,0.728,0.044
