"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.193,0.081,0,0.099
"P24","Mauricio Macri por Juntos por el Cambio",0.044,0.54,0.054,0,0.062
"P24","Alberto Fernández por el Frente de Todos",0.337,0.049,0.009,0.092,0.059
"P24","Sergio Massa por el Frente de Todos",0.437,0.051,0.05,0.128,0.16
"P24","Javier Milei por los liberales libertarios",0.019,0.073,0.782,0.058,0.036
"P24","Al candidato del Frente de Izquierda",0.053,0.01,0.014,0.593,0.003
"P24","No sabe",0.092,0.084,0.01,0.129,0.581
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.153,0.089,0,0.127
"P25","Patricia Bullrich por Juntos por el Cambio",0.046,0.726,0.059,0.036,0.041
"P25","Alberto Fernández por el Frente de Todos",0.36,0.016,0,0.096,0.057
"P25","Sergio Massa por el Frente de Todos",0.49,0.043,0.051,0.162,0.185
"P25","Javier Milei por los liberales libertarios",0.016,0.027,0.79,0.004,0.029
"P25","Al candidato del Frente de Izquierda",0.016,0.002,0.011,0.665,0.018
"P25","No sabe",0.052,0.033,0,0.037,0.543
"P26","Sergio Massa por el Frente de Todos",0.784,0.064,0.037,0.181,0.164
"P26","Mauricio Macri por Juntos por el Cambio",0.078,0.73,0.065,0.009,0.121
"P26","Javier Milei por los liberales libertarios",0.021,0.107,0.847,0.005,0.042
"P26","Al candidato del Frente de Izquierda",0.011,0.004,0,0.688,0.002
"P26","No sabe",0.106,0.095,0.051,0.117,0.671
"P27","Alberto Fernández por el Frente de Todos",0.852,0.069,0.003,0.122,0.101
"P27","Mauricio Macri por Juntos por el Cambio",0.079,0.765,0.075,0.018,0.098
"P27","Javier Milei por los liberales libertarios",0.006,0.093,0.867,0,0.018
"P27","Al candidato del Frente de Izquierda",0.002,0.012,0,0.746,0.011
"P27","No sabe",0.061,0.061,0.055,0.114,0.772
"P28","Alberto Fernández por el Frente de Todos",0.837,0.061,0.003,0.111,0.117
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.636,0.085,0.026,0.145
"P28","Javier Milei por los liberales libertarios",0.028,0.187,0.859,0,0.009
"P28","Al candidato del Frente de Izquierda",0.005,0.008,0,0.778,0.003
"P28","No sabe",0.059,0.108,0.053,0.085,0.726
"P29","Sergio Massa por el Frente de Todos",0.787,0.061,0.019,0.197,0.182
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.064,0.666,0.097,0.025,0.135
"P29","Javier Milei por los liberales libertarios",0.031,0.181,0.865,0,0.002
"P29","Al candidato del Frente de Izquierda",0.022,0,0.017,0.712,0
"P29","No sabe",0.096,0.092,0.002,0.066,0.681
"P30","Sergio Massa por el Frente de Todos",0.737,0.08,0.019,0.149,0.143
"P30","Patricia Bullrich por Juntos por el Cambio",0.134,0.886,0.061,0.027,0.063
"P30","Javier Milei por los liberales libertarios",0.01,0.02,0.904,0,0.019
"P30","Al candidato del Frente de Izquierda",0.011,0.001,0.001,0.733,0
"P30","No sabe",0.108,0.013,0.015,0.091,0.775
"P34","Sergio Massa por el Frente de Todos",0.828,0.066,0.1,0.623,0.318
"P34","Mauricio Macri por Juntos por el Cambio",0.073,0.867,0.463,0.017,0.17
"P34","No sabe",0.099,0.067,0.437,0.36,0.512
"P35","Sergio Massa",0.834,0.071,0.089,0.645,0.321
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.83,0.367,0.043,0.203
"P35","No sabe",0.089,0.099,0.544,0.312,0.476
"P36","Alberto Fernández por el Frente de Todos",0.906,0.058,0.059,0.63,0.215
"P36","Mauricio Macri por Juntos por el Cambio",0.068,0.863,0.594,0.022,0.194
"P36","No sabe",0.026,0.079,0.347,0.348,0.591
"P37","Alberto Fernández",0.905,0.061,0.03,0.654,0.222
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.072,0.827,0.468,0.081,0.188
"P37","No sabe",0.023,0.112,0.502,0.265,0.59
"P38","Sergio Massa por el Frente de Todos",0.849,0.06,0.068,0.67,0.365
"P38","Patricia Bullrich por Juntos por el Cambio",0.077,0.913,0.615,0.022,0.143
"P38","No sabe",0.074,0.027,0.317,0.308,0.492
"P39","Alberto Fernández por el Frente de Todos",0.904,0.061,0.051,0.639,0.253
"P39","Patricia Bullrich por Juntos por el Cambio",0.076,0.929,0.669,0,0.148
"P39","No sabe",0.02,0.01,0.28,0.361,0.599
"P40","Mauricio Macri por Juntos por el Cambio",0.132,0.735,0.062,0.074,0.149
"P40","Javier Milei por los liberales libertarios",0.08,0.163,0.832,0.087,0.072
"P40","No sabe",0.788,0.102,0.106,0.839,0.779
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.716,0.111,0.213,0.181
"P41","Javier Milei por los liberales libertarios",0.076,0.147,0.86,0.024,0.09
"P41","No sabe",0.811,0.137,0.029,0.763,0.729
"P42","Patricia Bullrich por Juntos por el Cambio",0.07,0.868,0.042,0.112,0.141
"P42","Javier Milei por los liberales libertarios",0.074,0.052,0.886,0.09,0.09
"P42","No sabe",0.856,0.08,0.072,0.798,0.769
"P43","Muy buena",0.145,0.089,0.01,0.1,0.048
"P43","Buena",0.417,0.012,0.093,0.167,0.127
"P43","Ni buena ni mala",0.32,0.038,0.028,0.436,0.349
"P43","Mala",0.057,0.065,0.101,0.229,0.122
"P43","Muy mala",0.06,0.791,0.766,0.068,0.325
"P43","No sabe",0.001,0.005,0.002,0,0.029
"P44","Muy buena",0.142,0.012,0.008,0.005,0.035
"P44","Buena",0.417,0.013,0.002,0.144,0.079
"P44","Ni buena ni mala",0.291,0.037,0.035,0.352,0.338
"P44","Mala",0.067,0.096,0.148,0.383,0.169
"P44","Muy mala",0.083,0.831,0.807,0.116,0.372
"P44","No sabe",0,0.011,0,0,0.007
"P45","Muy buena",0.627,0.031,0.029,0.494,0.37
"P45","Buena",0.168,0.018,0.008,0.075,0.075
"P45","Ni buena ni mala",0.054,0.014,0.018,0.19,0.092
"P45","Mala",0.035,0.034,0.039,0.107,0.052
"P45","Muy mala",0.097,0.898,0.906,0.134,0.368
"P45","No sabe",0.019,0.005,0,0,0.043
"P46","Muy buena",0.04,0.322,0.055,0.092,0.055
"P46","Buena",0.041,0.307,0.205,0.013,0.067
"P46","Ni buena ni mala",0.037,0.162,0.301,0.133,0.164
"P46","Mala",0.155,0.047,0.158,0.087,0.131
"P46","Muy mala",0.724,0.156,0.274,0.675,0.562
"P46","No sabe",0.003,0.006,0.007,0,0.021
"P47","Muy buena",0.02,0.226,0.067,0.046,0.074
"P47","Buena",0.034,0.376,0.269,0.021,0.114
"P47","Ni buena ni mala",0.107,0.267,0.213,0.106,0.248
"P47","Mala",0.229,0.059,0.162,0.317,0.11
"P47","Muy mala",0.605,0.069,0.283,0.477,0.431
"P47","No sabe",0.005,0.003,0.006,0.033,0.023
"P48","Muy buena",0.161,0.048,0.045,0.072,0.063
"P48","Buena",0.346,0.08,0.069,0.12,0.22
"P48","Ni buena ni mala",0.304,0.075,0.054,0.309,0.268
"P48","Mala",0.036,0.143,0.167,0.261,0.133
"P48","Muy mala",0.138,0.649,0.628,0.227,0.295
"P48","No sabe",0.015,0.005,0.037,0.011,0.021
"P49","Muy buena",0.044,0.55,0.192,0.013,0.021
"P49","Buena",0.068,0.274,0.24,0,0.088
"P49","Ni buena ni mala",0.065,0.071,0.315,0.044,0.177
"P49","Mala",0.087,0.015,0.079,0.206,0.138
"P49","Muy mala",0.732,0.082,0.155,0.713,0.529
"P49","No sabe",0.004,0.008,0.019,0.024,0.047
"P50","Muy buena",0.045,0.115,0.52,0.005,0
"P50","Buena",0.03,0.186,0.328,0.024,0.031
"P50","Ni buena ni mala",0.068,0.405,0.092,0,0.207
"P50","Mala",0.113,0.144,0.019,0.146,0.17
"P50","Muy mala",0.719,0.13,0.041,0.825,0.554
"P50","No sabe",0.025,0.02,0,0,0.038
"P51","Muy buena",0.029,0.266,0.083,0,0.062
"P51","Buena",0.044,0.34,0.232,0.062,0.122
"P51","Ni buena ni mala",0.037,0.217,0.276,0.066,0.193
"P51","Mala",0.126,0.084,0.126,0.137,0.1
"P51","Muy mala",0.76,0.08,0.281,0.726,0.504
"P51","No sabe",0.004,0.013,0.002,0.009,0.019
"P52","Muy buena",0.022,0.092,0.072,0.066,0.117
"P52","Buena",0.116,0.185,0.154,0.078,0.081
"P52","Ni buena ni mala",0.403,0.348,0.337,0.342,0.435
"P52","Mala",0.128,0.195,0.184,0.185,0.111
"P52","Muy mala",0.3,0.143,0.223,0.329,0.178
"P52","No sabe",0.031,0.037,0.03,0,0.078
"P53","Siempre",0.399,0.312,0.251,0.174,0.247
"P53","Casi siempre",0.38,0.449,0.449,0.61,0.472
"P53","Casi nunca",0.184,0.161,0.208,0.206,0.193
"P53","Nunca, pero esta es una excepción",0.037,0.078,0.092,0.01,0.088
"P54","Si",0.563,0.575,0.622,0.406,0.545
"P54","No",0.437,0.425,0.378,0.594,0.455
