"var","categoria","1","2","3","4","5","6","7","8","9"
"P20","La votaría",0.357,0.255,0.453,0.334,0.254,0.129,0.11,0.056,0.138
"P20","Puede que la vote",0.205,0.336,0.151,0.188,0.226,0.163,0.068,0.116,0.112
"P20","Nunca la votaría",0.367,0.361,0.385,0.409,0.459,0.67,0.754,0.808,0.685
"P20","No sabe",0.071,0.048,0.011,0.069,0.061,0.038,0.068,0.02,0.065
"P21","Lo votaría",0.242,0.394,0.182,0.234,0.203,0.023,0.046,0.109,0.103
"P21","Puede que lo vote",0.225,0.15,0.364,0.216,0.189,0.069,0.056,0.12,0.091
"P21","Nunca lo votaría",0.455,0.427,0.434,0.442,0.52,0.85,0.836,0.764,0.748
"P21","No sabe",0.078,0.029,0.02,0.108,0.088,0.058,0.062,0.007,0.058
"P22","La votaría",0.157,0.127,0.142,0.148,0.127,0.094,0.043,0.034,0.087
"P22","Puede que la vote",0.239,0.219,0.317,0.307,0.213,0.138,0.096,0.086,0.105
"P22","Nunca la votaría",0.497,0.62,0.519,0.426,0.54,0.655,0.837,0.864,0.72
"P22","No sabe",0.107,0.034,0.022,0.119,0.12,0.113,0.024,0.016,0.088
"P23","Mauricio Macri por Juntos por el Cambio",0.143,0.13,0.125,0.098,0.078,0.106,0.029,0.029,0.074
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.028,0.121,0.093,0.071,0.029,0.039,0.037,0.064
"P23","Patricia Bullrich por Juntos por el Cambio",0.235,0.13,0.33,0.226,0.208,0.085,0.081,0.048,0.107
"P23","María Eugenia Vidal por Juntos por el Cambio",0.022,0.028,0.044,0.089,0.023,0.06,0.031,0.011,0.015
"P23","Facundo Manes por Juntos por el Cambio",0.034,0.017,0.007,0.087,0.049,0.083,0.076,0.043,0.013
"P23","Alberto Fernández por el Frente de Todos",0.128,0.133,0.021,0.061,0.092,0.065,0.224,0.209,0.175
"P23","Sergio Massa por el Frente de Todos",0.11,0.126,0.073,0.101,0.163,0.403,0.263,0.231,0.199
"P23","Javier Milei por los liberales libertarios",0.17,0.345,0.214,0.162,0.159,0.001,0.028,0.101,0.068
"P23","Al candidato del Frente de Izquierda",0.011,0.006,0.018,0.012,0.014,0.083,0.086,0.089,0.137
"P23","No sabe",0.098,0.057,0.047,0.071,0.143,0.085,0.143,0.202,0.148
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.106,0.059,0.164,0.177,0.103,0.15,0.061,0.033,0.082
"P24","Mauricio Macri por Juntos por el Cambio",0.269,0.24,0.321,0.307,0.188,0.142,0.091,0.062,0.111
"P24","Alberto Fernández por el Frente de Todos",0.138,0.124,0.046,0.102,0.088,0.054,0.209,0.255,0.174
"P24","Sergio Massa por el Frente de Todos",0.117,0.136,0.076,0.11,0.168,0.38,0.316,0.201,0.195
"P24","Javier Milei por los liberales libertarios",0.209,0.359,0.233,0.173,0.208,0.04,0.033,0.177,0.097
"P24","Al candidato del Frente de Izquierda",0.044,0.013,0.083,0.019,0.018,0.076,0.132,0.07,0.149
"P24","No sabe",0.117,0.069,0.077,0.112,0.227,0.158,0.158,0.202,0.192
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.106,0.03,0.127,0.159,0.119,0.108,0.059,0.039,0.066
"P25","Patricia Bullrich por Juntos por el Cambio",0.34,0.282,0.425,0.373,0.255,0.226,0.101,0.055,0.129
"P25","Alberto Fernández por el Frente de Todos",0.12,0.137,0.021,0.083,0.084,0.07,0.206,0.247,0.217
"P25","Sergio Massa por el Frente de Todos",0.124,0.139,0.105,0.14,0.187,0.397,0.312,0.255,0.221
"P25","Javier Milei por los liberales libertarios",0.197,0.357,0.266,0.144,0.182,0.011,0.032,0.164,0.08
"P25","Al candidato del Frente de Izquierda",0.031,0.003,0.01,0.008,0.019,0.055,0.128,0.075,0.151
"P25","No sabe",0.082,0.052,0.046,0.093,0.154,0.133,0.162,0.165,0.136
"P26","Sergio Massa por el Frente de Todos",0.193,0.252,0.12,0.147,0.221,0.463,0.414,0.507,0.396
"P26","Mauricio Macri por Juntos por el Cambio",0.386,0.285,0.483,0.449,0.319,0.204,0.114,0.093,0.136
"P26","Javier Milei por los liberales libertarios",0.248,0.371,0.289,0.24,0.241,0.019,0.06,0.143,0.121
"P26","Al candidato del Frente de Izquierda",0.037,0.006,0,0.009,0.022,0.099,0.104,0.074,0.105
"P26","No sabe",0.136,0.086,0.108,0.155,0.197,0.215,0.308,0.183,0.242
"P27","Alberto Fernández por el Frente de Todos",0.197,0.221,0.126,0.161,0.218,0.402,0.476,0.527,0.444
"P27","Mauricio Macri por Juntos por el Cambio",0.411,0.286,0.516,0.49,0.299,0.197,0.118,0.115,0.152
"P27","Javier Milei por los liberales libertarios",0.237,0.346,0.246,0.2,0.242,0.024,0.051,0.108,0.096
"P27","Al candidato del Frente de Izquierda",0.038,0.052,0.007,0.009,0.021,0.11,0.061,0.085,0.118
"P27","No sabe",0.117,0.095,0.105,0.14,0.22,0.267,0.294,0.165,0.19
"P28","Alberto Fernández por el Frente de Todos",0.179,0.241,0.096,0.15,0.229,0.403,0.439,0.56,0.407
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.325,0.241,0.459,0.445,0.278,0.266,0.117,0.065,0.153
"P28","Javier Milei por los liberales libertarios",0.308,0.381,0.293,0.221,0.238,0.024,0.074,0.148,0.135
"P28","Al candidato del Frente de Izquierda",0.029,0.014,0.013,0.011,0.022,0.107,0.105,0.094,0.115
"P28","No sabe",0.159,0.123,0.139,0.173,0.233,0.2,0.265,0.133,0.19
"P29","Sergio Massa por el Frente de Todos",0.162,0.281,0.128,0.17,0.233,0.466,0.446,0.577,0.399
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.339,0.243,0.483,0.461,0.3,0.267,0.12,0.066,0.148
"P29","Javier Milei por los liberales libertarios",0.319,0.408,0.275,0.213,0.221,0.023,0.06,0.151,0.135
"P29","Al candidato del Frente de Izquierda",0.038,0.007,0.007,0.011,0.028,0.099,0.115,0.068,0.101
"P29","No sabe",0.142,0.061,0.107,0.145,0.218,0.145,0.259,0.138,0.217
"P30","Sergio Massa por el Frente de Todos",0.141,0.252,0.123,0.126,0.238,0.425,0.434,0.518,0.384
"P30","Patricia Bullrich por Juntos por el Cambio",0.454,0.325,0.535,0.635,0.384,0.23,0.131,0.126,0.196
"P30","Javier Milei por los liberales libertarios",0.231,0.387,0.211,0.123,0.158,0.014,0.075,0.148,0.108
"P30","Al candidato del Frente de Izquierda",0.032,0.007,0.007,0.011,0.014,0.099,0.112,0.07,0.102
"P30","No sabe",0.142,0.029,0.124,0.105,0.206,0.232,0.248,0.138,0.21
"P32","Alberto Fernández por el Frente de Todos",0.169,0.225,0.127,0.21,0.215,0.403,0.506,0.563,0.402
"P32","Patricia Bullrich por Juntos por el Cambio",0.453,0.352,0.575,0.534,0.332,0.224,0.125,0.088,0.19
"P32","Javier Milei por los liberales libertarios",0.239,0.365,0.194,0.118,0.189,0.017,0.039,0.148,0.106
"P32","Al candidato del Frente de Izquierda",0.04,0.015,0.014,0.03,0.022,0.103,0.103,0.096,0.133
"P32","No sabe",0.099,0.043,0.09,0.108,0.242,0.253,0.227,0.105,0.169
"P34","Sergio Massa por el Frente de Todos",0.214,0.396,0.126,0.16,0.267,0.601,0.625,0.774,0.496
"P34","Mauricio Macri por Juntos por el Cambio",0.56,0.493,0.637,0.646,0.46,0.275,0.143,0.159,0.232
"P34","No sabe",0.226,0.111,0.237,0.194,0.273,0.124,0.232,0.067,0.272
"P35","Sergio Massa",0.234,0.355,0.128,0.149,0.268,0.593,0.612,0.732,0.517
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.514,0.403,0.584,0.662,0.469,0.272,0.173,0.092,0.229
"P35","No sabe",0.252,0.242,0.288,0.189,0.263,0.135,0.215,0.176,0.254
"P36","Alberto Fernández por el Frente de Todos",0.224,0.283,0.106,0.15,0.247,0.527,0.683,0.726,0.55
"P36","Mauricio Macri por Juntos por el Cambio",0.591,0.592,0.659,0.665,0.472,0.268,0.147,0.166,0.275
"P36","No sabe",0.185,0.125,0.235,0.185,0.281,0.205,0.17,0.108,0.175
"P37","Alberto Fernández",0.23,0.274,0.101,0.147,0.237,0.56,0.648,0.735,0.55
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.546,0.425,0.619,0.668,0.481,0.284,0.186,0.093,0.228
