"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.309,0.254,0.243,0.26
"P05","2",0.046,0.127,0.06,0.06
"P05","3",0.051,0.041,0.141,0.042
"P05","4",0.037,0.064,0.016,0.136
"P05","5",0.199,0.222,0.193,0.16
"P05","6",0.063,0.039,0.019,0.058
"P05","7",0.093,0.037,0.055,0.057
"P05","8",0.039,0.03,0.052,0.035
"P05","9",0.163,0.186,0.221,0.192
"P06","1",0.229,0.305,0.276,0.314
"P06","2",0.047,0.086,0.052,0.053
"P06","3",0.048,0.025,0.021,0.039
"P06","4",0.044,0.046,0.027,0.039
"P06","5",0.199,0.166,0.234,0.143
"P06","6",0.037,0.017,0.02,0.046
"P06","7",0.086,0.048,0.036,0.061
"P06","8",0.045,0.064,0.055,0.074
"P06","9",0.265,0.243,0.279,0.231
"P07","1",0.397,0.343,0.391,0.381
"P07","2",0.047,0.028,0.021,0.019
"P07","3",0.032,0.019,0.03,0.027
"P07","4",0.02,0.041,0.003,0.022
"P07","5",0.13,0.086,0.106,0.093
"P07","6",0.017,0.029,0.008,0.025
"P07","7",0.05,0.028,0.025,0.027
"P07","8",0.032,0.024,0.043,0.041
"P07","9",0.275,0.402,0.373,0.365
"P09","Del Frente de Todos y el peronismo",0.353,0.329,0.331,0.322
"P09","De Juntos por el cambio",0.281,0.239,0.227,0.423
"P09","De los Liberales libertarios",0.186,0.197,0.207,0.102
"P09","De la Izquierda",0.047,0.033,0.068,0.016
"P09","No sabe",0.133,0.202,0.167,0.137
"P10","A Alberto Fernández",0.082,0.266,0.373,0.144
"P10","A Sergio Massa",0.241,0.185,0.206,0.209
"P10","A algún candidato del peronismo",0.164,0.084,0.16,0.114
"P10","A algún candidato del kirchnerismo",0.513,0.465,0.261,0.533
"P11","A Alberto Fernández",0.07,0.121,0.252,0.076
"P11","A Sergio Massa",0.179,0.136,0.114,0.137
"P11","A algún candidato del peronismo",0.128,0.102,0.097,0.109
"P11","A Cristina Fernández de Kirchner",0.623,0.641,0.537,0.678
"P12","A Horacio Rodriguez Larreta",0.239,0.288,0.206,0.145
"P12","A Mauricio Macri",0.406,0.105,0.258,0.361
"P12","A Patricia Bullrich",0.25,0.457,0.463,0.392
"P12","A Facundo Manes",0.063,0.12,0.065,0.081
"P12","A Gerardo Morales",0.042,0.03,0.008,0.021
"P13","Seguro lo votaria",0.109,0.156,0.058,0.094
"P13","Quizás lo votaría",0.375,0.414,0.25,0.345
"P13","Nunca lo votaría",0.516,0.43,0.692,0.561
"P14","Lo votaría",0.197,0.16,0.151,0.318
"P14","Puede que lo vote",0.192,0.219,0.168,0.144
"P14","Nunca lo votaría",0.536,0.535,0.534,0.43
"P14","No sabe",0.075,0.086,0.147,0.108
"P15","Lo votaría",0.162,0.138,0.144,0.148
"P15","Puede que lo vote",0.213,0.2,0.197,0.152
"P15","Nunca lo votaría",0.563,0.545,0.55,0.597
"P15","No sabe",0.062,0.117,0.109,0.103
"P16","Lo votaría",0.076,0.105,0.164,0.105
