"var","categoria","Sergio Massa","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.491,0.385,0.41
"P04","Realizo changas o trabajos de vez en cuando",0.161,0.191,0.209
"P04","No tengo trabajo",0.131,0.158,0.198
"P04","Soy jubilado o pensionado",0.217,0.266,0.183
"P05","1",0.169,0.328,0.273
"P05","2",0.061,0.061,0.062
"P05","3",0.022,0.088,0.074
"P05","4",0.026,0.1,0.048
"P05","5",0.163,0.251,0.238
"P05","6",0.105,0.042,0.036
"P05","7",0.141,0.035,0.074
"P05","8",0.094,0.01,0.034
"P05","9",0.219,0.085,0.161
"P06","1",0.433,0.139,0.225
"P06","2",0.084,0.041,0.037
"P06","3",0.081,0.024,0.016
"P06","4",0.051,0.041,0.033
"P06","5",0.17,0.229,0.173
"P06","6",0.028,0.034,0.026
"P06","7",0.032,0.122,0.082
"P06","8",0.028,0.077,0.069
"P06","9",0.093,0.293,0.339
"P07","1",0.653,0.231,0.276
"P07","2",0.03,0.038,0.008
"P07","3",0.053,0.027,0.004
"P07","4",0.017,0.028,0.017
"P07","5",0.082,0.117,0.145
"P07","6",0.002,0.047,0.025
"P07","7",0.016,0.056,0.074
"P07","8",0.008,0.057,0.04
"P07","9",0.139,0.399,0.411
"P09","Del Frente de Todos y el peronismo",0.82,0.038,0.174
"P09","De Juntos por el cambio",0.036,0.705,0.106
"P09","De los Liberales libertarios",0.02,0.199,0.379
"P09","De la Izquierda",0.038,0.006,0.079
"P09","No sabe",0.086,0.052,0.262
"P10","A Alberto Fernández",0.118,0.228,0.206
"P10","A Sergio Massa",0.252,0.067,0.007
"P10","A algún candidato del peronismo",0.103,0.693,0.139
"P10","A algún candidato del kirchnerismo",0.527,0.012,0.648
"P11","A Alberto Fernández",0.068,0.347,0.105
"P11","A Sergio Massa",0.18,0.257,0.007
"P11","A algún candidato del peronismo",0.08,0.384,0.104
"P11","A Cristina Fernández de Kirchner",0.672,0.012,0.784
"P12","A Horacio Rodriguez Larreta",0.172,0.23,0.115
"P12","A Mauricio Macri",0.085,0.312,0.373
"P12","A Patricia Bullrich",0.274,0.4,0.402
"P12","A Facundo Manes",0.446,0.03,0.073
"P12","A Gerardo Morales",0.023,0.028,0.037
"P13","Seguro lo votaria",0.053,0.081,0.127
"P13","Quizás lo votaría",0.258,0.39,0.275
"P13","Nunca lo votaría",0.689,0.529,0.598
"P14","Lo votaría",0.014,0.451,0.114
"P14","Puede que lo vote",0.052,0.3,0.175
"P14","Nunca lo votaría",0.873,0.178,0.552
"P14","No sabe",0.061,0.071,0.159
"P15","Lo votaría",0.324,0.076,0.002
"P15","Puede que lo vote",0.441,0.058,0.085
"P15","Nunca lo votaría",0.149,0.844,0.812
"P15","No sabe",0.086,0.022,0.101
"P16","Lo votaría",0.184,0.017,0.044
"P16","Puede que lo vote",0.5,0.02,0.112
"P16","Nunca lo votaría",0.169,0.957,0.782
"P16","No sabe",0.147,0.006,0.062
"P17","La votaría",0.761,0.011,0.2
"P17","Puede que la vote",0.106,0.016,0.027
"P17","Nunca la votaría",0.116,0.972,0.734
"P17","No sabe",0.017,0.001,0.039
"P18","Lo votaría",0.09,0.268,0.018
"P18","Puede que lo vote",0.036,0.484,0.115
"P18","Nunca lo votaría",0.858,0.206,0.771
"P18","No sabe",0.016,0.042,0.096
"P19","Lo votaría",0.032,0.158,0.058
"P19","Puede que lo vote",0.13,0.334,0.185
"P19","Nunca lo votaría",0.7,0.439,0.673
"P19","No sabe",0.138,0.069,0.084
"P20","La votaría",0.018,0.583,0.175
"P20","Puede que la vote",0.04,0.272,0.276
"P20","Nunca la votaría",0.927,0.122,0.498
"P20","No sabe",0.015,0.023,0.051
"P21","Lo votaría",0.035,0.231,0.334
"P21","Puede que lo vote",0.033,0.329,0.146
"P21","Nunca lo votaría",0.918,0.388,0.439
"P21","No sabe",0.014,0.052,0.081
"P22","La votaría",0.039,0.255,0.077
"P22","Puede que la vote",0.031,0.418,0.125
"P22","Nunca la votaría",0.898,0.245,0.69
"P22","No sabe",0.032,0.082,0.108
"P23","Mauricio Macri por Juntos por el Cambio",0.009,0.217,0.051
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.124,0.017
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.413,0.145
"P23","María Eugenia Vidal por Juntos por el Cambio",0.005,0.066,0.027
"P23","Facundo Manes por Juntos por el Cambio",0.029,0.043,0.048
"P23","Alberto Fernández por el Frente de Todos",0.264,0.011,0.1
"P23","Sergio Massa por el Frente de Todos",0.486,0.001,0.005
"P23","Javier Milei por los liberales libertarios",0.019,0.101,0.341
"P23","Al candidato del Frente de Izquierda",0.07,0,0.075
"P23","No sabe",0.103,0.024,0.191
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.233,0.018
"P24","Mauricio Macri por Juntos por el Cambio",0.012,0.479,0.101
"P24","Alberto Fernández por el Frente de Todos",0.25,0.035,0.088
"P24","Sergio Massa por el Frente de Todos",0.501,0.007,0.019
"P24","Javier Milei por los liberales libertarios",0.026,0.162,0.421
"P24","Al candidato del Frente de Izquierda",0.082,0.019,0.053
"P24","No sabe",0.125,0.065,0.3
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.219,0.015
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.603,0.149
"P25","Alberto Fernández por el Frente de Todos",0.259,0.005,0.087
"P25","Sergio Massa por el Frente de Todos",0.556,0.006,0.018
"P25","Javier Milei por los liberales libertarios",0.018,0.125,0.403
"P25","Al candidato del Frente de Izquierda",0.063,0.013,0.066
"P25","No sabe",0.086,0.029,0.262
"P26","Sergio Massa por el Frente de Todos",0.77,0.018,0.019
"P26","Mauricio Macri por Juntos por el Cambio",0.018,0.675,0.1
"P26","Javier Milei por los liberales libertarios",0.034,0.208,0.44
"P26","Al candidato del Frente de Izquierda",0.073,0.005,0.073
"P26","No sabe",0.105,0.094,0.368
"P27","Alberto Fernández por el Frente de Todos",0.694,0.02,0.117
"P27","Mauricio Macri por Juntos por el Cambio",0.022,0.701,0.098
"P27","Javier Milei por los liberales libertarios",0.036,0.192,0.416
"P27","Al candidato del Frente de Izquierda",0.088,0.007,0.067
"P27","No sabe",0.16,0.08,0.302
"P28","Alberto Fernández por el Frente de Todos",0.695,0.021,0.09
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.639,0.045
"P28","Javier Milei por los liberales libertarios",0.037,0.268,0.429
"P28","Al candidato del Frente de Izquierda",0.085,0.005,0.071
"P28","No sabe",0.159,0.067,0.365
"P29","Sergio Massa por el Frente de Todos",0.788,0.013,0.018
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.662,0.054
"P29","Javier Milei por los liberales libertarios",0.034,0.257,0.432
"P29","Al candidato del Frente de Izquierda",0.072,0.011,0.08
"P29","No sabe",0.094,0.057,0.416
"P30","Sergio Massa por el Frente de Todos",0.729,0.03,0.008
"P30","Patricia Bullrich por Juntos por el Cambio",0.064,0.742,0.164
"P30","Javier Milei por los liberales libertarios",0.044,0.157,0.365
"P30","Al candidato del Frente de Izquierda",0.076,0.007,0.063
"P30","No sabe",0.087,0.064,0.4
"P32","Alberto Fernández por el Frente de Todos",0.652,0.053,0.104
"P32","Patricia Bullrich por Juntos por el Cambio",0.07,0.715,0.144
"P32","Javier Milei por los liberales libertarios",0.042,0.153,0.385
"P32","Al candidato del Frente de Izquierda",0.105,0.006,0.076
"P32","No sabe",0.131,0.073,0.291
"P34","Sergio Massa por el Frente de Todos",0.957,0.025,0.024
"P34","Mauricio Macri por Juntos por el Cambio",0.017,0.894,0.251
"P34","No sabe",0.026,0.081,0.725
"P36","Alberto Fernández por el Frente de Todos",0.859,0.015,0.154
"P36","Mauricio Macri por Juntos por el Cambio",0.026,0.913,0.301
"P36","No sabe",0.115,0.072,0.545
"P37","Alberto Fernández",0.845,0.023,0.155
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.945,0.088
"P37","No sabe",0.11,0.032,0.757
"P38","Sergio Massa por el Frente de Todos",0.953,0.022,0.047
"P38","Patricia Bullrich por Juntos por el Cambio",0.023,0.923,0.362
"P38","No sabe",0.024,0.055,0.591
"P39","Alberto Fernández por el Frente de Todos",0.879,0.017,0.162
