"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.45,0.395,0.475,0.567,0.362
"P04","Realizo changas o trabajos de vez en cuando",0.163,0.173,0.213,0.148,0.208
"P04","No tengo trabajo",0.148,0.124,0.216,0.163,0.259
"P04","Soy jubilado o pensionado",0.239,0.308,0.096,0.122,0.171
"P05","1",0.139,0.334,0.354,0.178,0.217
"P05","2",0.061,0.059,0.146,0.01,0.011
"P05","3",0.029,0.094,0.078,0.009,0.045
"P05","4",0.029,0.106,0.043,0.014,0.037
"P05","5",0.196,0.235,0.201,0.063,0.263
"P05","6",0.097,0.039,0.005,0.128,0.082
"P05","7",0.132,0.029,0.035,0.191,0.116
"P05","8",0.086,0.016,0.038,0.064,0.035
"P05","9",0.231,0.088,0.1,0.343,0.194
"P06","1",0.449,0.158,0.112,0.408,0.356
"P06","2",0.073,0.035,0.034,0.069,0.082
"P06","3",0.077,0.027,0.004,0.086,0.044
"P06","4",0.05,0.039,0.027,0.028,0.045
"P06","5",0.173,0.205,0.216,0.184,0.186
"P06","6",0.033,0.032,0.025,0,0.028
"P06","7",0.036,0.121,0.076,0.068,0.043
"P06","8",0.024,0.09,0.067,0.011,0.025
"P06","9",0.085,0.293,0.439,0.146,0.191
"P07","1",0.622,0.228,0.195,0.806,0.452
"P07","2",0.037,0.037,0.006,0,0.012
"P07","3",0.053,0.034,0.002,0.021,0.023
"P07","4",0.022,0.024,0.016,0.004,0.02
"P07","5",0.078,0.141,0.121,0.029,0.11
"P07","6",0.003,0.034,0.057,0,0.012
"P07","7",0.017,0.07,0.071,0.004,0.027
"P07","8",0.005,0.057,0.065,0,0.033
"P07","9",0.163,0.375,0.467,0.136,0.311
"P09","Del Frente de Todos y el peronismo",0.848,0.088,0.054,0.406,0.352
"P09","De Juntos por el cambio",0.059,0.714,0.1,0.031,0.157
"P09","De los Liberales libertarios",0.013,0.122,0.757,0,0.079
"P09","De la Izquierda",0.005,0.005,0.018,0.516,0.053
"P09","No sabe",0.075,0.071,0.071,0.047,0.359
"P10","A Alberto Fernández",0.142,0.064,0.051,0.002,0.205
"P10","A Sergio Massa",0.261,0.305,0.268,0,0.021
"P10","A algún candidato del peronismo",0.092,0.4,0.359,0.147,0.158
"P10","A algún candidato del kirchnerismo",0.505,0.231,0.322,0.851,0.616
"P11","A Alberto Fernández",0.076,0.158,0,0,0.095
"P11","A Sergio Massa",0.199,0.243,0.083,0,0.021
"P11","A algún candidato del peronismo",0.074,0.295,0.288,0.124,0.081
"P11","A Cristina Fernández de Kirchner",0.651,0.304,0.629,0.876,0.803
"P12","A Horacio Rodriguez Larreta",0.435,0.142,0.493,0.776,0.494
"P12","A Mauricio Macri",0.12,0.368,0.112,0.224,0.118
"P12","A Patricia Bullrich",0.103,0.453,0.287,0,0.043
"P12","A Facundo Manes",0.31,0.031,0.108,0,0.108
"P12","A Gerardo Morales",0.032,0.006,0,0,0.237
"P13","Seguro lo votaria",0.094,0.058,0.508,0,0.04
"P13","Quizás lo votaría",0.157,0.408,0.255,0.224,0.268
"P13","Nunca lo votaría",0.749,0.534,0.237,0.776,0.692
"P14","Lo votaría",0.026,0.512,0.096,0.007,0.077
"P14","Puede que lo vote",0.028,0.292,0.343,0.068,0.069
"P14","Nunca lo votaría",0.887,0.141,0.455,0.837,0.659
"P14","No sabe",0.059,0.055,0.106,0.088,0.195
"P15","Lo votaría",0.363,0.108,0.045,0.011,0.038
"P15","Puede que lo vote",0.437,0.048,0.08,0.401,0.197
"P15","Nunca lo votaría",0.128,0.816,0.863,0.471,0.566
"P15","No sabe",0.072,0.028,0.012,0.117,0.199
"P16","Lo votaría",0.209,0.027,0.039,0,0.101
"P16","Puede que lo vote",0.529,0.025,0.047,0.357,0.187
