"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Mauricio Macri por Juntos por el Cambio",0.099,0.097,0.1,0.065,0.071,0.111,0.167,0.08,0.101,0.113,0.105,0.085,0.016,0.242,0.042
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.052,0.067,0.048,0.062,0.054,0.074,0.089,0.047,0.05,0.057,0.065,0.024,0.106,0.073
"Patricia Bullrich por Juntos por el Cambio",0.18,0.189,0.172,0.144,0.123,0.242,0.246,0.2,0.164,0.184,0.195,0.149,0.061,0.33,0.237
"María Eugenia Vidal por Juntos por el Cambio",0.029,0.024,0.034,0.016,0.03,0.036,0.031,0.023,0.04,0.019,0.025,0.039,0.012,0.047,0.053
"Facundo Manes por Juntos por el Cambio",0.04,0.035,0.045,0.031,0.047,0.046,0.026,0.018,0.053,0.043,0.029,0.063,0.03,0.03,0.11
"Alberto Fernández por el Frente de Todos",0.125,0.106,0.141,0.164,0.128,0.104,0.113,0.199,0.085,0.109,0.124,0.126,0.257,0.026,0.013
"Sergio Massa por el Frente de Todos",0.165,0.154,0.175,0.106,0.174,0.184,0.173,0.133,0.177,0.181,0.161,0.174,0.318,0.042,0.07
"Javier Milei por los liberales libertarios",0.142,0.207,0.085,0.267,0.19,0.056,0.051,0.13,0.162,0.124,0.146,0.135,0.047,0.139,0.171
"Al candidato del Frente de Izquierda",0.045,0.053,0.038,0.083,0.054,0.028,0.017,0.037,0.037,0.066,0.043,0.05,0.066,0.006,0.031
"No sabe",0.115,0.083,0.143,0.076,0.121,0.139,0.102,0.091,0.134,0.111,0.115,0.114,0.169,0.032,0.2
