"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.483,0.406,0.396
"P04","Realizo changas o trabajos de vez en cuando",0.173,0.19,0.187
"P04","No tengo trabajo",0.134,0.142,0.228
"P04","Soy jubilado o pensionado",0.21,0.262,0.189
"P05","1",0.164,0.336,0.237
"P05","2",0.051,0.082,0.039
"P05","3",0.019,0.09,0.072
"P05","4",0.027,0.091,0.057
"P05","5",0.154,0.228,0.305
"P05","6",0.095,0.037,0.065
"P05","7",0.157,0.026,0.068
"P05","8",0.094,0.017,0.024
"P05","9",0.239,0.093,0.133
"P06","1",0.441,0.132,0.244
"P06","2",0.083,0.033,0.058
"P06","3",0.083,0.016,0.03
"P06","4",0.048,0.038,0.045
"P06","5",0.16,0.199,0.24
"P06","6",0.021,0.039,0.029
"P06","7",0.039,0.133,0.04
"P06","8",0.024,0.082,0.059
"P06","9",0.101,0.328,0.255
"P07","1",0.692,0.203,0.308
"P07","2",0.021,0.034,0.027
"P07","3",0.043,0.021,0.034
"P07","4",0.017,0.026,0.017
"P07","5",0.082,0.124,0.133
"P07","6",0.002,0.039,0.039
"P07","7",0.008,0.066,0.058
"P07","8",0.006,0.059,0.039
"P07","9",0.129,0.428,0.345
"P09","Del Frente de Todos y el peronismo",0.85,0.031,0.194
"P09","De Juntos por el cambio",0.018,0.645,0.129
"P09","De los Liberales libertarios",0.01,0.266,0.273
"P09","De la Izquierda",0.053,0.008,0.064
"P09","No sabe",0.069,0.05,0.34
"P10","A Alberto Fernández",0.15,0.042,0.049
"P10","A Sergio Massa",0.234,0.071,0.117
"P10","A algún candidato del peronismo",0.075,0.866,0.266
"P10","A algún candidato del kirchnerismo",0.541,0.021,0.568
"P11","A Alberto Fernández",0.093,0.171,0
"P11","A Sergio Massa",0.154,0.273,0.184
"P11","A algún candidato del peronismo",0.073,0.535,0.124
"P11","A Cristina Fernández de Kirchner",0.68,0.021,0.692
"P12","A Horacio Rodriguez Larreta",0.308,0.182,0.519
"P12","A Mauricio Macri",0.038,0.345,0.026
"P12","A Patricia Bullrich",0.188,0.42,0.174
"P12","A Facundo Manes",0.466,0.025,0.246
"P12","A Gerardo Morales",0,0.028,0.035
"P13","Seguro lo votaria",0,0.085,0.105
"P13","Quizás lo votaría",0.184,0.391,0.269
"P13","Nunca lo votaría",0.816,0.524,0.626
"P14","Lo votaría",0.008,0.467,0.014
"P14","Puede que lo vote",0.037,0.338,0.088
"P14","Nunca lo votaría",0.87,0.157,0.697
"P14","No sabe",0.085,0.038,0.201
"P15","Lo votaría",0.275,0.08,0.074
"P15","Puede que lo vote",0.426,0.049,0.146
"P15","Nunca lo votaría",0.211,0.852,0.662
"P15","No sabe",0.088,0.019,0.118
"P16","Lo votaría",0.221,0.01,0.005
"P16","Puede que lo vote",0.545,0.018,0.06
"P16","Nunca lo votaría",0.113,0.964,0.812
"P16","No sabe",0.121,0.008,0.123
"P17","La votaría",0.817,0.011,0.167
"P17","Puede que la vote",0.093,0.004,0.073
"P17","Nunca la votaría",0.076,0.984,0.707
"P17","No sabe",0.014,0.001,0.053
"P18","Lo votaría",0.075,0.225,0.079
"P18","Puede que lo vote",0.032,0.435,0.141
"P18","Nunca lo votaría",0.862,0.307,0.677
"P18","No sabe",0.031,0.033,0.103
"P19","Lo votaría",0.029,0.123,0.096
"P19","Puede que lo vote",0.11,0.334,0.19
"P19","Nunca lo votaría",0.723,0.495,0.572
"P19","No sabe",0.138,0.048,0.142
"P20","La votaría",0.017,0.585,0.077
"P20","Puede que la vote",0.041,0.28,0.24
"P20","Nunca la votaría",0.93,0.117,0.617
"P20","No sabe",0.012,0.018,0.066
"P21","Lo votaría",0.025,0.296,0.219
"P21","Puede que lo vote",0.03,0.304,0.156
"P21","Nunca lo votaría",0.923,0.366,0.511
"P21","No sabe",0.022,0.034,0.114
"P22","La votaría",0.027,0.24,0.082
"P22","Puede que la vote",0.019,0.405,0.108
"P22","Nunca la votaría",0.909,0.3,0.658
"P22","No sabe",0.045,0.055,0.152
"P23","Mauricio Macri por Juntos por el Cambio",0,0.223,0.017
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.078,0.091
"P23","Patricia Bullrich por Juntos por el Cambio",0.007,0.411,0.085
"P23","María Eugenia Vidal por Juntos por el Cambio",0.003,0.062,0.032
"P23","Facundo Manes por Juntos por el Cambio",0.021,0.032,0.089
"P23","Alberto Fernández por el Frente de Todos",0.324,0.006,0.031
"P23","Sergio Massa por el Frente de Todos",0.427,0.01,0.108
"P23","Javier Milei por los liberales libertarios",0.019,0.167,0.234
"P23","Al candidato del Frente de Izquierda",0.079,0,0.076
"P23","No sabe",0.117,0.011,0.237
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.166,0.098
"P24","Mauricio Macri por Juntos por el Cambio",0.001,0.485,0.029
"P24","Alberto Fernández por el Frente de Todos",0.305,0.024,0.027
"P24","Sergio Massa por el Frente de Todos",0.431,0.017,0.146
"P24","Javier Milei por los liberales libertarios",0.028,0.24,0.288
"P24","Al candidato del Frente de Izquierda",0.095,0.015,0.052
"P24","No sabe",0.137,0.053,0.36
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.001,0.156,0.097
"P25","Patricia Bullrich por Juntos por el Cambio",0.014,0.582,0.103
"P25","Alberto Fernández por el Frente de Todos",0.312,0.004,0.019
"P25","Sergio Massa por el Frente de Todos",0.476,0.015,0.161
"P25","Javier Milei por los liberales libertarios",0.019,0.208,0.264
"P25","Al candidato del Frente de Izquierda",0.075,0.007,0.071
"P25","No sabe",0.103,0.028,0.285
"P26","Sergio Massa por el Frente de Todos",0.705,0.022,0.154
"P26","Mauricio Macri por Juntos por el Cambio",0.017,0.637,0.048
"P26","Javier Milei por los liberales libertarios",0.039,0.281,0.299
"P26","Al candidato del Frente de Izquierda",0.09,0.001,0.072
"P26","No sabe",0.149,0.059,0.427
"P27","Alberto Fernández por el Frente de Todos",0.771,0.008,0.062
"P27","Mauricio Macri por Juntos por el Cambio",0.011,0.671,0.04
"P27","Javier Milei por los liberales libertarios",0.027,0.261,0.307
"P27","Al candidato del Frente de Izquierda",0.081,0.003,0.106
"P27","No sabe",0.11,0.057,0.485
"P28","Alberto Fernández por el Frente de Todos",0.767,0.009,0.026
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.546,0.15
"P28","Javier Milei por los liberales libertarios",0.027,0.359,0.267
"P28","Al candidato del Frente de Izquierda",0.087,0.006,0.084
"P28","No sabe",0.111,0.08,0.473
"P29","Sergio Massa por el Frente de Todos",0.739,0.014,0.128
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.566,0.131
"P29","Javier Milei por los liberales libertarios",0.03,0.354,0.25
"P29","Al candidato del Frente de Izquierda",0.093,0.001,0.085
"P29","No sabe",0.124,0.065,0.406
"P30","Sergio Massa por el Frente de Todos",0.675,0.022,0.128
"P30","Patricia Bullrich por Juntos por el Cambio",0.059,0.703,0.131
"P30","Javier Milei por los liberales libertarios",0.039,0.218,0.274
"P30","Al candidato del Frente de Izquierda",0.092,0.004,0.058
"P30","No sabe",0.135,0.053,0.409
"P32","Alberto Fernández por el Frente de Todos",0.718,0.042,0.035
"P32","Patricia Bullrich por Juntos por el Cambio",0.058,0.669,0.138
"P32","Javier Milei por los liberales libertarios",0.028,0.223,0.293
"P32","Al candidato del Frente de Izquierda",0.106,0.003,0.102
"P32","No sabe",0.09,0.063,0.432
"P34","Sergio Massa por el Frente de Todos",0.868,0.028,0.194
"P34","Mauricio Macri por Juntos por el Cambio",0.016,0.919,0.061
"P34","No sabe",0.116,0.053,0.745
"P35","Sergio Massa",0.877,0.02,0.205
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.82,0.145
"P35","No sabe",0.105,0.16,0.65
"P37","Alberto Fernández",0.957,0.016,0.03
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.837,0.18
"P37","No sabe",0.019,0.147,0.79
"P38","Sergio Massa por el Frente de Todos",0.893,0.026,0.179
"P38","Patricia Bullrich por Juntos por el Cambio",0.025,0.916,0.239
"P38","No sabe",0.082,0.058,0.582
"P39","Alberto Fernández por el Frente de Todos",0.962,0.016,0.066
"P39","Patricia Bullrich por Juntos por el Cambio",0.012,0.936,0.267
"P39","No sabe",0.026,0.048,0.667
"P40","Mauricio Macri por Juntos por el Cambio",0.114,0.615,0.065
"P40","Javier Milei por los liberales libertarios",0.059,0.335,0.316
"P40","No sabe",0.827,0.05,0.619
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.106,0.609,0.14
"P41","Javier Milei por los liberales libertarios",0.05,0.327,0.342
"P41","No sabe",0.844,0.064,0.518
"P42","Patricia Bullrich por Juntos por el Cambio",0.042,0.709,0.113
"P42","Javier Milei por los liberales libertarios",0.071,0.252,0.348
"P42","No sabe",0.887,0.039,0.539
"P43","Muy buena",0.124,0.082,0.029
"P43","Buena",0.389,0.026,0.083
"P43","Ni buena ni mala",0.374,0.01,0.236
"P43","Mala",0.081,0.051,0.178
"P43","Muy mala",0.03,0.831,0.447
"P43","No sabe",0.002,0,0.027
"P44","Muy buena",0.127,0.013,0
"P44","Buena",0.38,0.002,0.035
"P44","Ni buena ni mala",0.331,0.01,0.243
"P44","Mala",0.138,0.076,0.212
"P44","Muy mala",0.019,0.897,0.499
"P44","No sabe",0.005,0.002,0.011
"P45","Muy buena",0.675,0.002,0.182
"P45","Buena",0.166,0.003,0.052
"P45","Ni buena ni mala",0.069,0.01,0.093
"P45","Mala",0.034,0.027,0.089
"P45","Muy mala",0.045,0.944,0.57
"P45","No sabe",0.011,0.014,0.014
"P46","Muy buena",0.058,0.268,0.028
"P46","Buena",0.019,0.333,0.032
"P46","Ni buena ni mala",0.049,0.205,0.199
"P46","Mala",0.144,0.05,0.19
"P46","Muy mala",0.727,0.139,0.531
"P46","No sabe",0.003,0.005,0.02
"P47","Muy buena",0.017,0.2,0.065
"P47","Buena",0.021,0.37,0.151
"P47","Ni buena ni mala",0.103,0.262,0.234
"P47","Mala",0.245,0.069,0.15
"P47","Muy mala",0.608,0.092,0.383
"P47","No sabe",0.006,0.007,0.017
"P48","Muy buena",0.168,0.04,0.028
"P48","Buena",0.32,0.06,0.179
"P48","Ni buena ni mala",0.313,0.062,0.197
"P48","Mala",0.067,0.143,0.177
"P48","Muy mala",0.117,0.686,0.388
"P48","No sabe",0.015,0.009,0.031
"P49","Muy buena",0.01,0.495,0.074
"P49","Buena",0.047,0.267,0.16
"P49","Ni buena ni mala",0.066,0.115,0.249
"P49","Mala",0.104,0.039,0.1
"P49","Muy mala",0.764,0.074,0.381
"P49","No sabe",0.009,0.01,0.036
"P50","Muy buena",0.007,0.241,0.155
"P50","Buena",0.011,0.207,0.193
"P50","Ni buena ni mala",0.06,0.328,0.184
"P50","Mala",0.136,0.109,0.104
"P50","Muy mala",0.766,0.097,0.342
"P50","No sabe",0.02,0.018,0.022
"P51","Muy buena",0.006,0.231,0.088
"P51","Buena",0.017,0.359,0.119
"P51","Ni buena ni mala",0.04,0.256,0.173
"P51","Mala",0.13,0.083,0.129
"P51","Muy mala",0.793,0.07,0.472
"P51","No sabe",0.014,0.001,0.019
"P52","Muy buena",0.021,0.095,0.103
"P52","Buena",0.087,0.204,0.085
"P52","Ni buena ni mala",0.405,0.337,0.402
"P52","Mala",0.151,0.2,0.095
"P52","Muy mala",0.299,0.14,0.247
"P52","No sabe",0.037,0.024,0.068
"P53","Siempre",0.37,0.296,0.229
"P53","Casi siempre",0.407,0.45,0.487
"P53","Casi nunca",0.18,0.192,0.166
"P53","Nunca, pero esta es una excepción",0.043,0.062,0.118
"P54","Si",0.561,0.6,0.496
"P54","No",0.439,0.4,0.504
