"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Mauricio Macri por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.471,0.391,0.339,0.493,0.439,0.525,0.392
"P04","Realizo changas o trabajos de vez en cuando",0.135,0.161,0.213,0.167,0.236,0.122,0.197
"P04","No tengo trabajo",0.141,0.136,0.259,0.105,0.213,0.269,0.191
"P04","Soy jubilado o pensionado",0.253,0.312,0.189,0.235,0.112,0.084,0.22
"P05","1",0.278,0.358,0.283,0.183,0.317,0.185,0.201
"P05","2",0.038,0.078,0.062,0.052,0.134,0.013,0.029
"P05","3",0.099,0.098,0.022,0.027,0.081,0.08,0.03
"P05","4",0.11,0.097,0.05,0.041,0.063,0.019,0.046
"P05","5",0.209,0.195,0.14,0.204,0.246,0.058,0.305
"P05","6",0.079,0.038,0.022,0.12,0.012,0.064,0.055
"P05","7",0.044,0.034,0.119,0.138,0.014,0.155,0.076
"P05","8",0.014,0.014,0.088,0.053,0.045,0.05,0.059
"P05","9",0.129,0.088,0.214,0.182,0.088,0.376,0.199
"P06","1",0.163,0.152,0.499,0.389,0.082,0.284,0.316
"P06","2",0.018,0.049,0.051,0.077,0.026,0.114,0.063
"P06","3",0.012,0.031,0.045,0.085,0.005,0.086,0.034
"P06","4",0.043,0.026,0.036,0.078,0.05,0.017,0.052
"P06","5",0.237,0.187,0.142,0.187,0.235,0.106,0.234
"P06","6",0.058,0.027,0.017,0.044,0.039,0.004,0.037
"P06","7",0.114,0.134,0.035,0.033,0.07,0.059,0.034
"P06","8",0.041,0.092,0.024,0.026,0.077,0.049,0.026
"P06","9",0.314,0.302,0.151,0.081,0.416,0.281,0.204
"P07","1",0.302,0.166,0.556,0.583,0.205,0.729,0.426
"P07","2",0.104,0.021,0.025,0.029,0.025,0.003,0.019
"P07","3",0.05,0.027,0.029,0.052,0.004,0.006,0.023
"P07","4",0.027,0.023,0.006,0.036,0.013,0.003,0.028
"P07","5",0.076,0.148,0.078,0.084,0.134,0.04,0.12
"P07","6",0.036,0.037,0.02,0.009,0.038,0,0.007
"P07","7",0.053,0.068,0.008,0.018,0.062,0.006,0.038
"P07","8",0.026,0.062,0.01,0.012,0.062,0.01,0.026
"P07","9",0.326,0.448,0.268,0.177,0.457,0.203,0.313
"P09","Del Frente de Todos y el peronismo",0.056,0.031,0.786,0.835,0.022,0.361,0.384
"P09","De Juntos por el cambio",0.802,0.828,0.077,0.028,0.077,0.171,0.082
"P09","De los Liberales libertarios",0.086,0.091,0.05,0.04,0.733,0.078,0.065
"P09","De la Izquierda",0.006,0.003,0.05,0.006,0.052,0.364,0.026
"P09","No sabe",0.05,0.047,0.037,0.091,0.116,0.026,0.443
"P10","A Alberto Fernández",0.154,0.064,0.336,0.074,0,0.015,0.108
"P10","A Sergio Massa",0.094,0.006,0.14,0.386,0.178,0.011,0.054
"P10","A algún candidato del peronismo",0.705,0.909,0.107,0.098,0.712,0.122,0.094
"P10","A algún candidato del kirchnerismo",0.047,0.021,0.417,0.442,0.11,0.852,0.744
"P11","A Alberto Fernández",0.154,0.279,0.268,0.03,0,0.013,0
"P11","A Sergio Massa",0.03,0.288,0.071,0.259,0.062,0,0.068
"P11","A algún candidato del peronismo",0.769,0.412,0.074,0.088,0.531,0.123,0.068
"P11","A Cristina Fernández de Kirchner",0.047,0.021,0.587,0.623,0.407,0.864,0.864
"P12","A Horacio Rodriguez Larreta",0.473,0.087,0.269,0.139,0.084,0.154,0.307
"P12","A Mauricio Macri",0.134,0.449,0.05,0.048,0.111,0.791,0.126
"P12","A Patricia Bullrich",0.256,0.437,0.458,0.223,0.585,0.035,0.301
"P12","A Facundo Manes",0.086,0.011,0.076,0.539,0.21,0.02,0.2
"P12","A Gerardo Morales",0.051,0.016,0.147,0.051,0.01,0,0.066
"P13","Seguro lo votaria",0.107,0.084,0.245,0.048,0.23,0.125,0.133
"P13","Quizás lo votaría",0.294,0.406,0.186,0.037,0.283,0.755,0.47
"P13","Nunca lo votaría",0.599,0.51,0.569,0.915,0.487,0.12,0.397
"P14","Lo votaría",0.29,0.668,0.038,0.012,0.088,0.153,0.072
"P14","Puede que lo vote",0.357,0.232,0.09,0.043,0.354,0.094,0.092
"P14","Nunca lo votaría",0.2,0.082,0.817,0.872,0.436,0.678,0.652
"P14","No sabe",0.153,0.018,0.055,0.073,0.122,0.075,0.184
"P15","Lo votaría",0.048,0.074,0.232,0.471,0.02,0.125,0.075
"P15","Puede que lo vote",0.075,0.037,0.312,0.387,0.073,0.338,0.211
