"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.481,0.413,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.182,0.179,0.201
"P04","No tengo trabajo",0.135,0.149,0.205
"P04","Soy jubilado o pensionado",0.202,0.259,0.183
"P05","1",0.183,0.321,0.22
"P05","2",0.055,0.081,0.02
"P05","3",0.014,0.091,0.064
"P05","4",0.027,0.097,0.045
"P05","5",0.156,0.237,0.309
"P05","6",0.094,0.039,0.07
"P05","7",0.151,0.026,0.079
"P05","8",0.088,0.016,0.028
"P05","9",0.232,0.092,0.165
"P06","1",0.447,0.13,0.235
"P06","2",0.084,0.035,0.048
"P06","3",0.082,0.015,0.024
"P06","4",0.049,0.039,0.047
"P06","5",0.157,0.203,0.249
"P06","6",0.02,0.038,0.037
"P06","7",0.039,0.117,0.07
"P06","8",0.023,0.085,0.054
"P06","9",0.099,0.338,0.236
"P07","1",0.683,0.19,0.397
"P07","2",0.025,0.032,0.02
"P07","3",0.042,0.021,0.032
"P07","4",0.018,0.026,0.021
"P07","5",0.081,0.127,0.145
"P07","6",0.001,0.051,0.01
"P07","7",0.009,0.069,0.046
"P07","8",0.007,0.056,0.046
"P07","9",0.134,0.428,0.283
"P09","Del Frente de Todos y el peronismo",0.853,0.028,0.211
"P09","De Juntos por el cambio",0.017,0.623,0.133
"P09","De los Liberales libertarios",0.015,0.285,0.193
"P09","De la Izquierda",0.053,0.003,0.074
"P09","No sabe",0.062,0.061,0.389
"P10","A Alberto Fernández",0.151,0.057,0.008
"P10","A Sergio Massa",0.222,0.057,0.22
"P10","A algún candidato del peronismo",0.092,0.8,0.16
"P10","A algún candidato del kirchnerismo",0.535,0.086,0.612
"P11","A Alberto Fernández",0.088,0.192,0
"P11","A Sergio Massa",0.16,0.273,0.144
"P11","A algún candidato del peronismo",0.085,0.449,0.084
"P11","A Cristina Fernández de Kirchner",0.667,0.086,0.772
"P12","A Horacio Rodriguez Larreta",0.329,0.182,0.607
