"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P13_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.875,0.038,0.126,0.58
"P13_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.048,0.066,0.265,0.13
"P13_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.048,0.063,0.169,0.118
"P13_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.015,0.822,0.127,0.13
"P13_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.006,0,0.025
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.003,0.29,0
"P13_imputada","En blanco",0.002,0.002,0.023,0.017
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.88,0.048,0.295,0.58
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.102,0.265,0.187
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.015,0.837,0.127,0.13
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.006,0,0.086
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.003,0.29,0
"PRESIDENTE_imputada","En blanco",0.037,0.004,0.023,0.017
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.855,0.063,0.305,0.581
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.04,0.127,0.176,0.101
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.063,0.18,0.228,0.118
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.025,0.54,0.268,0.158
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.011,0.027,0,0.025
"DIPUTADOS_imputada","En blanco",0.006,0.063,0.023,0.017
