"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.417,0.403,0.43,0.456,0.344,0.418,0.554,0.401,0.39,0.492,0.625,0.177,0.44,0.323,0.264,0.77,0.298,0.433,0.353,0.586,0.566,0.418,0.719,0.761,0.092,0.183,0.088
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.072,0.089,0.054,0.043,0.065,0.082,0.138,0.04,0.09,0.087,0.037,0.135,0.082,0.04,0.186,0.026,0,0.098,0.075,0.083,0.041,0.013,0.02,0.062,0.297,0.204,0.074
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.184,0.143,0.224,0.193,0.208,0.16,0.127,0.163,0.197,0.19,0.166,0.241,0.193,0.337,0.114,0.123,0.026,0.142,0.209,0.064,0.171,0.259,0.149,0.064,0.256,0.398,0.186
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.201,0.226,0.176,0.196,0.225,0.209,0.122,0.249,0.188,0.15,0.089,0.303,0.112,0.185,0.249,0.037,0.622,0.182,0.211,0.191,0.161,0.242,0.075,0.076,0.227,0.184,0.391
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.015,0.009,0.022,0.025,0.008,0.019,0.015,0.029,0.007,0.01,0.007,0.026,0.004,0.024,0.012,0.006,0.026,0.039,0.011,0,0.008,0,0.003,0.019,0.018,0,0.031
"En blanco",0.029,0.028,0.031,0.045,0.037,0.004,0.013,0.025,0.033,0.029,0.027,0.017,0.113,0.009,0.072,0.002,0,0.023,0.046,0,0.013,0,0.005,0.009,0,0.005,0.055
"No sabe",0.082,0.102,0.063,0.042,0.113,0.108,0.031,0.093,0.095,0.042,0.049,0.101,0.056,0.082,0.103,0.036,0.028,0.083,0.095,0.076,0.04,0.068,0.029,0.009,0.11,0.026,0.175
