"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.33,0.297,0.363,0.349,0.322,0.303,0.367,0.292,0.328,0.386,0.629,0.106,0.282,0.34,0.157,0.76,0.26,0.305,0.298,0.384,0.48,0.353,0.778,0.674,0.027,0.084,0.065
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.209,0.199,0.219,0.113,0.164,0.304,0.364,0.139,0.21,0.301,0.068,0.456,0.214,0.174,0.466,0.069,0.05,0.213,0.206,0.178,0.243,0.197,0.041,0.161,0.795,0.48,0.066
"Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.303,0.35,0.257,0.34,0.357,0.254,0.157,0.355,0.32,0.204,0.164,0.38,0.324,0.344,0.327,0.078,0.634,0.288,0.344,0.289,0.198,0.265,0.12,0.076,0.139,0.265,0.774
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.035,0.018,0.032,0.029,0.018,0.022,0.034,0.022,0.024,0.022,0.015,0.008,0.015,0.002,0.033,0.043,0.061,0.022,0.004,0,0.005,0.008,0.062,0.005,0,0.003
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.021,0.007,0.034,0.019,0.028,0.019,0.003,0.026,0.013,0.027,0.005,0.007,0.058,0.007,0.011,0,0.01,0.016,0.022,0.026,0.002,0.046,0.006,0.006,0.004,0,0.018
"En blanco",0.034,0.018,0.049,0.045,0.022,0.026,0.06,0.041,0.036,0.022,0.052,0.016,0.018,0.064,0.009,0.033,0,0.035,0.038,0,0.033,0.032,0.035,0,0.005,0.072,0.017
"No sabe",0.077,0.094,0.06,0.102,0.078,0.076,0.027,0.113,0.071,0.036,0.06,0.02,0.096,0.056,0.028,0.027,0.003,0.082,0.07,0.119,0.044,0.102,0.012,0.021,0.025,0.099,0.057
