"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sí",0.489,0.55,0.429,0.458,0.553,0.466,0.397,0.522,0.505,0.409,0.266,0.707,0.453,0.496,0.69,0.166,0.55,0.5,0.512,0.361,0.362,0.572,0.212,0.141,0.766,0.667,0.886
"No",0.511,0.45,0.571,0.542,0.447,0.534,0.603,0.478,0.495,0.591,0.734,0.293,0.547,0.504,0.31,0.834,0.45,0.5,0.488,0.639,0.638,0.428,0.788,0.859,0.234,0.333,0.114
