"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P07","Mucho",0.515,0.195,0.11
"P07","Bastante",0.256,0.198,0.05
"P07","Poco",0.135,0.196,0.19
"P07","Nada",0.078,0.283,0.527
"P07","No sabe",0.016,0.128,0.123
"P08","Siempre",0.199,0.123,0.107
"P08","Casi siempre",0.336,0.321,0.052
"P08","Casi nunca",0.297,0.299,0.274
"P08","Nunca, pero esta es una excepción",0.168,0.257,0.567
"P12","Unión por la Patria",0.27,0.129,0.322
"P12","Juntos por el Cambio",0.232,0.151,0.115
"P12","Juntos Somos Río Negro",0.113,0.118,0.037
"P12","Liberales",0.156,0.149,0.096
"P12","Izquierda",0.054,0.054,0.114
"P12","Otro",0.043,0.074,0.058
"P12","No sabe",0.132,0.325,0.258
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.312,0.331,0.258
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.199,0.092,0.167
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.078,0.125,0.044
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.302,0.22,0.255
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.028,0,0.017
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.071,0.008
"P13","En blanco",0.007,0.004,0.045
"P13","No sabe",0.058,0.157,0.206
"P17","Totalmente seguro",0.685,0.364,0.517
"P17","Bastante seguro",0.121,0.181,0.015
"P17","Algo seguro",0.101,0.115,0.192
"P17","Para nada seguro",0.093,0.34,0.276
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.278,0.231,0
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.174,0.266,0
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.095,0.414,0
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.024,0,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.015,0,0
"P18","En blanco",0.365,0.089,0.483
"P18","No sabe",0.049,0,0.517
"P21","Sí",0.492,0.456,0.478
"P21","No",0.508,0.544,0.522
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.108,0.202,0.52
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.138,0.155,0
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.124,0.168,0
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.379,0.316,0.103
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.033,0,0
"P22","En blanco",0.043,0.058,0.334
"P22","No sabe",0.175,0.101,0.043
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.491,0.45,0.509
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.203,0
"P26","En blanco",0.124,0.123,0.216
"P26","No sabe",0.145,0.224,0.275
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.168,0.152,0
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.414,0.394,0.468
"P27","En blanco",0.289,0.375,0
"P27","No sabe",0.129,0.079,0.532
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.48,0.37,0.343
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.445,0.483,0.482
"P28","En blanco",0.041,0.135,0
"P28","No sabe",0.034,0.012,0.175
"P29","Lo votaría",0.487,0.429,0.349
"P29","Puede que lo vote",0.083,0.073,0.175
"P29","Nunca lo votaría",0.387,0.47,0.14
"P29","No sabe",0.043,0.028,0.336
"P30","Lo votaría",0.136,0.238,0
"P30","Puede que lo vote",0.18,0.116,0
"P30","Nunca lo votaría",0.578,0.547,0.828
"P30","No sabe",0.106,0.099,0.172
"P31","Lo votaría",0.078,0.02,0.218
"P31","Puede que lo vote",0.175,0.335,0
"P31","Nunca lo votaría",0.56,0.442,0.594
"P31","No sabe",0.187,0.203,0.188
"P32","Lo votaría",0.396,0.415,0.471
"P32","Puede que lo vote",0.08,0.245,0
"P32","Nunca lo votaría",0.479,0.216,0.341
"P32","No sabe",0.045,0.124,0.188
"P33","Lo votaría",0.071,0.043,0.188
"P33","Puede que lo vote",0.158,0.196,0.235
"P33","Nunca lo votaría",0.674,0.474,0.406
"P33","No sabe",0.097,0.287,0.171
"P34","Si",0.408,0.165,0.17
"P34","No",0.592,0.835,0.83
