"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.325,0.292,0.358,0.347,0.311,0.31,0.356,0.298,0.323,0.368,0.619,0.096,0.307,0.309,0.149,0.781,0.234,0.316,0.296,0.367,0.46,0.323,0.737,0.691,0.027,0.108,0.05,0.123,0.276
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.206,0.215,0.197,0.15,0.136,0.292,0.375,0.156,0.205,0.274,0.064,0.424,0.155,0.142,0.448,0.051,0.053,0.241,0.175,0.28,0.252,0.166,0.029,0.142,0.752,0.464,0.076,0.172,0.065
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.089,0.068,0.11,0.098,0.099,0.074,0.065,0.086,0.091,0.089,0.103,0.081,0.087,0.168,0.038,0.059,0.026,0.052,0.117,0.025,0.071,0.103,0.095,0.035,0.06,0.114,0.102,0.038,0.159
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.316,0.367,0.266,0.329,0.385,0.271,0.162,0.392,0.326,0.197,0.175,0.371,0.331,0.352,0.346,0.075,0.634,0.284,0.361,0.297,0.198,0.319,0.118,0.076,0.145,0.283,0.748,0.479,0.219
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.027,0.036,0.018,0.032,0.032,0.016,0.017,0.032,0.023,0.025,0.023,0.015,0.008,0.015,0.001,0.033,0.043,0.06,0.023,0.004,0,0.005,0.011,0.05,0.005,0.004,0.003,0.03,0.14
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.022,0.007,0.036,0.019,0.033,0.017,0.003,0.026,0.015,0.029,0.005,0.006,0.069,0.006,0.01,0.001,0.01,0.018,0.023,0.027,0.002,0.046,0.006,0.006,0.008,0.01,0.018,0.025,0.115
"En blanco",0.015,0.015,0.015,0.025,0.004,0.02,0.022,0.01,0.017,0.018,0.011,0.007,0.043,0.008,0.008,0,0,0.029,0.005,0,0.017,0.038,0.004,0,0.003,0.017,0.003,0.133,0.026
