"var","categoria","Sí","No"
"P06","Tiene Decidido que va a ir a votar",0.888,0.876
"P06","Tiene dudas sobre si va a ir a  votar",0.07,0.08
"P06","Tiene Decidido que no va a ir a votar",0.042,0.044
"P07","Mucho",0.522,0.525
"P07","Bastante",0.261,0.262
"P07","Poco",0.14,0.105
"P07","Nada",0.07,0.085
"P07","No sabe",0.007,0.023
"P08","Siempre",0.329,0.172
"P08","Casi siempre",0.25,0.361
"P08","Casi nunca",0.252,0.293
"P08","Nunca, pero esta es una excepción",0.169,0.174
"P12","Unión por la Patria",0.118,0.7
"P12","Juntos por el Cambio",0.096,0.088
"P12","Juntos Somos Río Negro",0.124,0.037
"P12","Liberales",0.436,0.032
"P12","Izquierda",0.037,0.014
"P12","Otro",0.052,0.033
"P12","No sabe",0.137,0.096
"P17","Totalmente seguro",0.761,0.676
"P17","Bastante seguro",0.094,0.151
"P17","Algo seguro",0.097,0.096
"P17","Para nada seguro",0.048,0.077
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.119,0.81
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.078
"P26","En blanco",0.236,0.046
"P26","No sabe",0.246,0.066
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.101,0.161
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.706,0.174
"P27","En blanco",0.087,0.478
"P27","No sabe",0.106,0.187
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.107,0.811
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.802,0.124
"P28","En blanco",0.058,0.028
"P28","No sabe",0.033,0.037
"P29","Lo votaría",0.11,0.838
"P29","Puede que lo vote",0.078,0.077
"P29","Nunca lo votaría",0.731,0.06
"P29","No sabe",0.081,0.025
"P30","Lo votaría",0.151,0.092
"P30","Puede que lo vote",0.29,0.043
"P30","Nunca lo votaría",0.404,0.792
"P30","No sabe",0.155,0.073
"P31","Lo votaría",0.066,0.063
"P31","Puede que lo vote",0.193,0.154
"P31","Nunca lo votaría",0.484,0.655
"P31","No sabe",0.257,0.128
"P32","Lo votaría",0.745,0.1
"P32","Puede que lo vote",0.074,0.061
"P32","Nunca lo votaría",0.122,0.779
"P32","No sabe",0.059,0.06
"P33","Lo votaría",0.079,0.076
"P33","Puede que lo vote",0.061,0.251
"P33","Nunca lo votaría",0.734,0.579
"P33","No sabe",0.126,0.094
"P34","Si",0.35,0.403
"P34","No",0.65,0.597
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.093,0.807
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.112,0.043
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.75,0.107
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.009
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.035,0.004
"PRESIDENTE","En blanco",0,0.006
"PRESIDENTE","No sabe",0.004,0.024
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.121,0.808
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.124,0.043
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.126,0
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.369,0.106
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.028,0.008
"DIPUTADOS","En blanco",0.059,0.011
"DIPUTADOS","No sabe",0.173,0.024
