"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.568,0.005,0.196,0.008,0.05,0,0.03
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.519,0.048,0.044,0,0.022,0.09
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.251,0.439,0.756,0.906,0.872,0.978,0.871
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0.037,0,0,0.078,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.122,0,0,0.042,0,0,0.009
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,0,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0.053
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0.197
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,1,0,0,0,0.043
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,1,0,0,0.653
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0.009
"DIPUTADOS_imputada","En blanco",0,0,0,0,0,1,0.045
