"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P13_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.822,0.106,0.138,0.007,0.146,0.111,0.273
"P13_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.015,0.729,0.159,0.079,0.143,0.121,0.13
"P13_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.048,0.064,0.345,0.023,0.148,0.083,0.05
"P13_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.091,0.082,0.333,0.887,0.223,0.439,0.42
"P13_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.006,0.019,0.001,0.3,0.018,0.019
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.007,0.001,0.003,0.04,0.196,0.034
"P13_imputada","En blanco",0.003,0.006,0.005,0,0,0.032,0.074
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.835,0.108,0.237,0.012,0.193,0.109,0.284
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.771,0.261,0.09,0.161,0.119,0.131
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.092,0.082,0.381,0.894,0.246,0.526,0.429
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.007,0.019,0.001,0.343,0.018,0.019
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.013,0.009,0.003,0.003,0.043,0.196,0.035
"PRESIDENTE_imputada","En blanco",0.031,0.023,0.099,0,0.014,0.032,0.102
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.805,0.317,0.129,0.042,0.173,0.235,0.361
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.016,0.387,0.069,0.107,0.217,0.02,0.034
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.083,0.197,0.622,0.127,0.436,0.168,0.136
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.078,0.081,0.121,0.639,0.133,0.37,0.427
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.018,0.059,0.016,0.015,0.015,0.006
"DIPUTADOS_imputada","En blanco",0.014,0,0,0.069,0.026,0.192,0.036
