"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.869,0.918,0.837,0.895,0.972,0.662,0.739,0.686
"P06","Tiene dudas sobre si va a ir a  votar",0.097,0.045,0.14,0.069,0,0.321,0.041,0.197
"P06","Tiene Decidido que no va a ir a votar",0.034,0.037,0.023,0.036,0.028,0.017,0.22,0.117
"P07","Mucho",0.515,0.464,0.498,0.499,0.718,0.42,0.337,0.312
"P07","Bastante",0.303,0.34,0.247,0.238,0.106,0.153,0.267,0.177
"P07","Poco",0.08,0.128,0.126,0.184,0.054,0.121,0.097,0.144
"P07","Nada",0.078,0.055,0.055,0.07,0.098,0.306,0.299,0.246
"P07","No sabe",0.024,0.013,0.074,0.009,0.024,0,0,0.121
"P08","Siempre",0.192,0.224,0.19,0.242,0.461,0.484,0.2,0.078
"P08","Casi siempre",0.332,0.44,0.309,0.239,0.124,0.22,0.255,0.303
"P08","Casi nunca",0.313,0.252,0.345,0.314,0.262,0.255,0.388,0.24
"P08","Nunca, pero esta es una excepción",0.163,0.084,0.156,0.205,0.153,0.041,0.157,0.379
"P12","Unión por la Patria",0.752,0.023,0.168,0.088,0.104,0.172,0.116,0.008
"P12","Juntos por el Cambio",0.063,0.719,0.149,0.049,0.042,0.071,0.13,0.054
"P12","Juntos Somos Río Negro",0.044,0.098,0.482,0.127,0.063,0.007,0.074,0.07
"P12","Liberales",0.004,0.062,0.046,0.484,0.008,0.021,0,0.015
"P12","Izquierda",0.026,0.024,0.04,0.043,0.658,0.11,0,0.121
"P12","Otro",0.014,0.015,0.048,0.067,0.033,0.423,0.18,0.075
"P12","No sabe",0.097,0.059,0.067,0.142,0.092,0.196,0.5,0.657
"P17","Totalmente seguro",0.686,0.698,0.603,0.718,0.512,0.473,0.377,0.252
"P17","Bastante seguro",0.119,0.159,0.163,0.093,0.198,0.161,0.152,0.071
"P17","Algo seguro",0.071,0.064,0.053,0.164,0.078,0.116,0.134,0.2
"P17","Para nada seguro",0.124,0.079,0.181,0.025,0.212,0.25,0.337,0.477
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.902,0.063,0.5,0.095,0.832,0.055,0.178,0.358
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.828,0.203,0.35,0,0.395,0,0
"P26","En blanco",0.014,0.065,0.028,0.266,0.145,0.459,0.822,0.128
"P26","No sabe",0.044,0.044,0.269,0.289,0.023,0.091,0,0.514
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.163,0.646,0.568,0.026,0,0,0,0.183
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.229,0.268,0.878,0.333,0.07,0,0.365
"P27","En blanco",0.543,0.081,0.125,0.017,0,0.825,1,0.324
"P27","No sabe",0.217,0.044,0.039,0.079,0.667,0.105,0,0.128
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.911,0.31,0.355,0.018,0.624,0.067,0.247,0.255
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.038,0.432,0.448,0.957,0.355,0.091,0.288,0.118
"P28","En blanco",0.01,0.186,0.127,0.012,0,0.842,0.295,0.252
"P28","No sabe",0.041,0.072,0.07,0.013,0.021,0,0.17,0.375
