"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.26,0.221,0.3,0.266,0.255,0.23,0.318,0.249,0.251,0.292,0.489,0.097,0.326,0.291,0.097,0.698,0.217,0.268,0.219,0.445,0.326,0.248,0.677,0.488,0.036,0.066,0.049
"Juntos por el Cambio",0.22,0.242,0.196,0.13,0.155,0.37,0.324,0.176,0.183,0.339,0.087,0.443,0.189,0.144,0.492,0.07,0.112,0.189,0.243,0.128,0.269,0.185,0.05,0.299,0.684,0.396,0.075
"Juntos Somos Río Negro",0.11,0.106,0.114,0.099,0.128,0.102,0.09,0.086,0.137,0.095,0.104,0.124,0.112,0.224,0.069,0.064,0.067,0.11,0.099,0.055,0.114,0.204,0.107,0.054,0.135,0.127,0.114
"Liberales",0.153,0.199,0.105,0.176,0.168,0.134,0.096,0.163,0.165,0.117,0.086,0.184,0.165,0.15,0.192,0.04,0.396,0.127,0.175,0.148,0.14,0.119,0.027,0.035,0.079,0.306,0.434
"Izquierda",0.057,0.059,0.055,0.09,0.053,0.022,0.065,0.07,0.052,0.048,0.042,0.04,0.037,0.015,0.029,0.044,0.139,0.071,0.05,0.082,0.045,0.048,0.025,0.036,0,0.011,0.097
"Otro",0.046,0.036,0.057,0.042,0.069,0.03,0.015,0.052,0.047,0.04,0.035,0.037,0.015,0.026,0.026,0.022,0.042,0.064,0.047,0.022,0.02,0.046,0.005,0.023,0.008,0.028,0.084
"No sabe",0.154,0.137,0.173,0.197,0.172,0.112,0.092,0.204,0.165,0.069,0.157,0.075,0.156,0.15,0.095,0.062,0.027,0.171,0.167,0.12,0.086,0.15,0.109,0.065,0.058,0.066,0.147
