"var","categoria","Si","Puede ser","No"
"P11","Al Frente de todos",0.467,0.337,0.103
"P11","A Juntos",0.325,0.182,0.1
"P11","Al Frente de Izquierda",0.05,0.035,0.1
"P11","Al Partido Avanza libertad",0.072,0.08,0.092
"P11","A “Vamos con vos""",0.027,0.004,0
"P11","Votaría en blanco o anularía",0.059,0.362,0.605
