"var","categoria","Al Frente de todos","A Juntos","Al Frente de Izquierda","Al Partido Avanza libertad","A “Vamos con vos""","Votaría en blanco o anularía"
"P08","Si",0.897,0.909,0.794,0.799,0.978,0.377
"P08","Puede ser",0.087,0.068,0.075,0.118,0.022,0.309
"P08","No",0.016,0.023,0.131,0.083,0,0.314
"P34","Gran excedente habitual",0,0,0,0,0,0
"P34","Gran excedente excepcional",0.021,0.002,0,0,0.044,0
"P34","Pequeño excedente habitual",0.01,0.027,0,0.005,0,0.005
"P34","Pequeño excedente excepcional",0.037,0.025,0.013,0.048,0,0.01
"P34","Alcanza gastos familia",0.111,0.105,0.104,0.03,0,0.02
"P34","No alcanza gastos familia",0.266,0.165,0.455,0.064,0.15,0.211
"P34","Solo NBFamiliares",0.268,0.277,0.172,0.277,0.49,0.169
"P34","No alcanza NBFamiliares",0.282,0.389,0.243,0.45,0.276,0.508
"P34","No sabe",0.005,0.01,0.013,0.126,0.04,0.077
"P35","Muy buena",0.041,0.012,0.013,0,0.044,0.006
"P35","Buena",0.163,0.148,0.055,0.173,0,0.027
"P35","Ni buena ni mala",0.455,0.281,0.181,0.24,0.018,0.416
"P35","Mala",0.258,0.331,0.382,0.481,0.503,0.406
"P35","Muy mala",0.068,0.21,0.357,0.106,0.395,0.12
"P35","No sabe",0.015,0.018,0.012,0,0.04,0.025
"P36","Mejor",0.202,0.051,0.06,0.014,0.044,0.065
"P36","Igual",0.428,0.2,0.139,0.062,0.044,0.335
"P36","Peor",0.333,0.733,0.696,0.728,0.872,0.594
"P36","No sabe",0.037,0.016,0.105,0.196,0.04,0.006
"P37","Mejor",0.353,0.038,0.062,0.016,0,0.027
"P37","Igual",0.293,0.285,0.206,0.213,0,0.272
"P37","Peor",0.206,0.58,0.684,0.705,0.917,0.425
"P37","No sabe",0.148,0.097,0.048,0.066,0.083,0.276
"P46","Muy buena",0.342,0.068,0.058,0.009,0,0.033
"P46","Buena",0.389,0.047,0.057,0,0,0.204
"P46","Ni buena ni mala",0.18,0.209,0.653,0.056,0.054,0.413
"P46","Mala",0.034,0.152,0.03,0.091,0.301,0.188
"P46","Muy mala",0.042,0.492,0.202,0.844,0.542,0.149
"P46","No sabe",0.013,0.032,0,0,0.103,0.013
"P47","Muy buena",0.641,0.044,0,0,0,0.013
"P47","Buena",0.142,0.035,0.027,0,0.262,0.06
"P47","Ni buena ni mala",0.106,0.044,0.173,0,0,0.43
"P47","Mala",0.034,0.055,0.203,0.041,0.052,0.068
"P47","Muy mala",0.065,0.811,0.565,0.959,0.637,0.226
"P47","No sabe",0.012,0.011,0.032,0,0.049,0.203
"P48","Muy buena",0.003,0.255,0.035,0.019,0,0.008
"P48","Buena",0.009,0.16,0.018,0.337,0,0.078
"P48","Ni buena ni mala",0.086,0.211,0.144,0.207,0,0.205
"P48","Mala",0.137,0.192,0.025,0.203,0,0.27
"P48","Muy mala",0.743,0.155,0.778,0.234,0.948,0.42
"P48","No sabe",0.022,0.027,0,0,0.052,0.019
"P49","Muy buena",0.038,0.387,0.069,0.184,0,0.065
"P49","Buena",0.082,0.243,0.049,0.121,0.055,0.164
"P49","Ni buena ni mala",0.166,0.192,0.527,0.522,0.791,0.467
"P49","Mala",0.365,0.046,0.22,0.07,0,0.106
"P49","Muy mala",0.341,0.083,0.102,0.103,0.051,0.18
"P49","No sabe",0.008,0.049,0.033,0,0.103,0.018
"P50","Muy buena",0.088,0.081,0.037,0.008,0,0
"P50","Buena",0.357,0.016,0.068,0.011,0.061,0.076
"P50","Ni buena ni mala",0.383,0.127,0.588,0.423,0,0.246
"P50","Mala",0.07,0.19,0.032,0.113,0.282,0.222
"P50","Muy mala",0.058,0.57,0.275,0.445,0.603,0.302
"P50","No sabe",0.044,0.016,0,0,0.054,0.154
"P59","Muy buena",0.057,0.255,0.014,0.026,0.05,0.026
"P59","Buena",0.06,0.274,0,0.156,0.055,0.066
"P59","Ni buena ni mala",0.279,0.247,0.501,0.515,0.052,0.39
"P59","Mala",0.208,0.037,0.283,0.226,0.501,0.242
"P59","Muy mala",0.293,0.086,0.202,0.048,0,0.081
"P59","No sabe",0.103,0.101,0,0.029,0.342,0.195
"P61","Muy buena",0.053,0.071,0,0.048,0,0
"P61","Buena",0.018,0.175,0,0.048,0,0.012
"P61","Ni buena ni mala",0.236,0.381,0.283,0.533,0.455,0.389
"P61","Mala",0.22,0.028,0.221,0.038,0.037,0.134
"P61","Muy mala",0.25,0.083,0.205,0.076,0.058,0.098
"P61","No sabe",0.223,0.262,0.291,0.257,0.45,0.367
