"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.415,0.448,0.388,0.373,0.346,0.452,0.526,0.489,0.393,0.385,0.441,0.361,0.143,0.724,0.391
"Patricia Bullrich","Neutra",0.124,0.14,0.111,0.088,0.182,0.078,0.101,0.132,0.134,0.103,0.125,0.123,0.067,0.127,0.32
"Patricia Bullrich","Negativa",0.446,0.398,0.486,0.489,0.468,0.459,0.355,0.343,0.465,0.505,0.426,0.487,0.788,0.134,0.23
"Patricia Bullrich","No sabe",0.015,0.014,0.015,0.05,0.004,0.011,0.018,0.036,0.008,0.007,0.008,0.029,0.002,0.015,0.059
"CFK","Positiva",0.339,0.301,0.371,0.334,0.331,0.35,0.343,0.278,0.35,0.377,0.325,0.368,0.712,0.057,0.043
"CFK","Neutra",0.047,0.054,0.041,0.025,0.069,0.033,0.038,0.05,0.053,0.035,0.048,0.045,0.063,0.006,0.18
"CFK","Negativa",0.601,0.643,0.566,0.641,0.598,0.601,0.581,0.639,0.591,0.583,0.612,0.579,0.216,0.92,0.755
"CFK","No sabe",0.013,0.002,0.022,0,0.002,0.016,0.038,0.033,0.006,0.005,0.015,0.008,0.009,0.017,0.022
"Maria Eugenia Vidal","Positiva",0.319,0.308,0.328,0.217,0.267,0.377,0.409,0.363,0.31,0.297,0.322,0.314,0.078,0.602,0.365
"Maria Eugenia Vidal","Neutra",0.166,0.16,0.171,0.113,0.168,0.163,0.198,0.172,0.173,0.148,0.167,0.163,0.073,0.221,0.286
"Maria Eugenia Vidal","Negativa",0.506,0.521,0.494,0.645,0.56,0.456,0.38,0.45,0.511,0.547,0.502,0.515,0.837,0.177,0.331
"Maria Eugenia Vidal","No sabe",0.009,0.011,0.007,0.025,0.005,0.004,0.013,0.015,0.006,0.008,0.009,0.008,0.012,0,0.018
"Horacio Rodriguez Larreta","Positiva",0.316,0.291,0.337,0.184,0.285,0.355,0.409,0.356,0.323,0.272,0.314,0.321,0.082,0.604,0.483
"Horacio Rodriguez Larreta","Neutra",0.201,0.206,0.197,0.151,0.194,0.216,0.228,0.216,0.21,0.176,0.207,0.189,0.158,0.21,0.252
"Horacio Rodriguez Larreta","Negativa",0.474,0.497,0.455,0.665,0.512,0.42,0.35,0.423,0.457,0.543,0.472,0.477,0.755,0.184,0.243
"Horacio Rodriguez Larreta","No sabe",0.009,0.006,0.011,0,0.009,0.009,0.013,0.005,0.01,0.009,0.007,0.013,0.005,0.002,0.022
"Mauricio Macri","Positiva",0.313,0.328,0.3,0.197,0.256,0.368,0.425,0.344,0.284,0.329,0.321,0.297,0.124,0.605,0.135
"Mauricio Macri","Neutra",0.15,0.164,0.138,0.211,0.157,0.137,0.113,0.177,0.151,0.124,0.145,0.158,0.062,0.166,0.373
"Mauricio Macri","Negativa",0.53,0.505,0.551,0.592,0.584,0.491,0.437,0.467,0.56,0.54,0.526,0.539,0.812,0.224,0.476
"Mauricio Macri","No sabe",0.007,0.003,0.011,0,0.003,0.004,0.025,0.012,0.005,0.007,0.008,0.006,0.002,0.005,0.016
"Javier Milei","Positiva",0.281,0.379,0.197,0.291,0.326,0.232,0.252,0.344,0.268,0.245,0.311,0.218,0.087,0.394,0.401
"Javier Milei","Neutra",0.208,0.197,0.216,0.176,0.171,0.242,0.251,0.212,0.219,0.186,0.205,0.212,0.098,0.323,0.279
"Javier Milei","Negativa",0.492,0.416,0.558,0.533,0.49,0.515,0.441,0.417,0.493,0.558,0.464,0.553,0.8,0.258,0.285
"Javier Milei","No sabe",0.019,0.008,0.029,0,0.013,0.011,0.056,0.027,0.02,0.011,0.02,0.017,0.015,0.025,0.035
"Sergio Massa","Positiva",0.255,0.222,0.283,0.18,0.248,0.263,0.309,0.259,0.258,0.247,0.244,0.279,0.428,0.129,0.245
"Sergio Massa","Neutra",0.175,0.148,0.199,0.151,0.197,0.167,0.16,0.145,0.197,0.17,0.17,0.187,0.279,0.073,0.141
"Sergio Massa","Negativa",0.554,0.629,0.49,0.644,0.536,0.564,0.517,0.566,0.534,0.574,0.572,0.516,0.281,0.788,0.583
"Sergio Massa","No sabe",0.016,0.001,0.028,0.025,0.019,0.006,0.014,0.03,0.011,0.009,0.014,0.018,0.012,0.01,0.031
"Facundo Manes","Positiva",0.211,0.217,0.206,0.121,0.21,0.229,0.248,0.232,0.203,0.207,0.192,0.253,0.123,0.31,0.305
"Facundo Manes","Neutra",0.373,0.365,0.38,0.36,0.361,0.356,0.43,0.329,0.412,0.353,0.38,0.359,0.396,0.34,0.44
"Facundo Manes","Negativa",0.378,0.396,0.363,0.469,0.389,0.389,0.283,0.397,0.342,0.415,0.394,0.344,0.45,0.313,0.22
"Facundo Manes","No sabe",0.038,0.022,0.051,0.05,0.04,0.026,0.039,0.042,0.043,0.025,0.034,0.044,0.031,0.037,0.035
"Alberto Fernandez","Positiva",0.189,0.164,0.211,0.158,0.149,0.208,0.265,0.186,0.185,0.197,0.189,0.187,0.387,0.041,0.039
"Alberto Fernandez","Neutra",0.167,0.136,0.193,0.109,0.229,0.144,0.113,0.143,0.179,0.171,0.149,0.204,0.305,0.03,0.197
"Alberto Fernandez","Negativa",0.639,0.7,0.587,0.733,0.62,0.646,0.605,0.662,0.633,0.628,0.657,0.603,0.305,0.926,0.748
"Alberto Fernandez","No sabe",0.005,0,0.009,0,0.002,0.002,0.017,0.009,0.003,0.004,0.005,0.006,0.003,0.003,0.016
