"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.418,0.449,0.449
"P04","Realizo changas o trabajos de vez en cuando",0.162,0.235,0.164
"P04","No tengo trabajo",0.158,0.188,0.136
"P04","Soy jubilado o pensionado",0.262,0.128,0.251
"P05","1",0.319,0.339,0.149
"P05","2",0.049,0.098,0.055
"P05","3",0.082,0.079,0.031
"P05","4",0.094,0.076,0.032
"P05","5",0.234,0.271,0.18
"P05","6",0.06,0.005,0.097
"P05","7",0.05,0.028,0.129
"P05","8",0.013,0.027,0.079
"P05","9",0.099,0.077,0.248
"P06","1",0.167,0.109,0.423
"P06","2",0.049,0.028,0.068
"P06","3",0.021,0.01,0.075
"P06","4",0.048,0.036,0.044
"P06","5",0.215,0.185,0.181
"P06","6",0.044,0.023,0.027
"P06","7",0.125,0.103,0.036
"P06","8",0.071,0.079,0.034
"P06","9",0.26,0.427,0.112
"P07","1",0.303,0.146,0.623
"P07","2",0.046,0.008,0.023
"P07","3",0.026,0.007,0.036
"P07","4",0.022,0.037,0.014
"P07","5",0.122,0.13,0.098
"P07","6",0.031,0.058,0.007
"P07","7",0.056,0.076,0.018
"P07","8",0.047,0.056,0.021
"P07","9",0.347,0.482,0.16
"P09","Del Frente de Todos y el peronismo",0.092,0.071,0.714
"P09","De Juntos por el cambio",0.755,0.161,0.072
"P09","De los Liberales libertarios",0.053,0.64,0.021
"P09","De la Izquierda",0.037,0.017,0.038
"P09","No sabe",0.063,0.111,0.155
"P10","A Alberto Fernández",0.2,0.15,0.119
"P10","A Sergio Massa",0.228,0.293,0.213
"P10","A algún candidato del peronismo",0.393,0.243,0.091
"P10","A algún candidato del kirchnerismo",0.179,0.314,0.577
"P11","A Alberto Fernández",0.235,0.015,0.066
"P11","A Sergio Massa",0.242,0.245,0.149
"P11","A algún candidato del peronismo",0.215,0.301,0.071
"P11","A Cristina Fernández de Kirchner",0.308,0.439,0.714
"P12","A Horacio Rodriguez Larreta",0.241,0.128,0.094
"P12","A Mauricio Macri",0.325,0.273,0.301
"P12","A Patricia Bullrich",0.367,0.553,0.425
"P12","A Facundo Manes",0.032,0.046,0.161
"P12","A Gerardo Morales",0.035,0,0.019
"P13","Seguro lo votaria",0.067,0.28,0.026
"P13","Quizás lo votaría",0.36,0.514,0.225
"P13","Nunca lo votaría",0.573,0.206,0.749
"P14","Lo votaría",0.44,0.194,0.041
"P14","Puede que lo vote",0.276,0.272,0.062
"P14","Nunca lo votaría",0.208,0.437,0.799
"P14","No sabe",0.076,0.097,0.098
"P15","Lo votaría",0.119,0.089,0.208
"P15","Puede que lo vote",0.086,0.06,0.359
"P15","Nunca lo votaría",0.768,0.838,0.316
"P15","No sabe",0.027,0.013,0.117
"P16","Lo votaría",0.025,0.026,0.151
"P16","Puede que lo vote",0.064,0.056,0.412
"P16","Nunca lo votaría",0.875,0.898,0.305
"P16","No sabe",0.036,0.02,0.132
"P17","La votaría",0.052,0.055,0.681
"P17","Puede que la vote",0.032,0.013,0.081
"P17","Nunca la votaría",0.903,0.924,0.214
"P17","No sabe",0.013,0.008,0.024
"P18","Lo votaría",0.303,0.045,0.068
"P18","Puede que lo vote",0.431,0.291,0.05
"P18","Nunca lo votaría",0.214,0.638,0.834
"P18","No sabe",0.052,0.026,0.048
"P19","Lo votaría",0.171,0.04,0.043
"P19","Puede que lo vote",0.324,0.275,0.126
"P19","Nunca lo votaría",0.424,0.651,0.69
"P19","No sabe",0.081,0.034,0.141
"P20","La votaría",0.542,0.312,0.066
"P20","Puede que la vote",0.24,0.361,0.064
"P20","Nunca la votaría",0.194,0.315,0.835
"P20","No sabe",0.024,0.012,0.035
"P21","Lo votaría",0.113,0.593,0.02
"P21","Puede que lo vote",0.283,0.278,0.033
"P21","Nunca lo votaría",0.553,0.092,0.903
"P21","No sabe",0.051,0.037,0.044
"P22","La votaría",0.253,0.135,0.037
"P22","Puede que la vote",0.368,0.28,0.049
"P22","Nunca la votaría",0.289,0.533,0.854
"P22","No sabe",0.09,0.052,0.06
"P23","Mauricio Macri por Juntos por el Cambio",0.23,0.073,0.02
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.136,0.01,0.016
"P23","Patricia Bullrich por Juntos por el Cambio",0.38,0.221,0.055
"P23","María Eugenia Vidal por Juntos por el Cambio",0.069,0.005,0.015
"P23","Facundo Manes por Juntos por el Cambio",0.045,0.039,0.036
"P23","Alberto Fernández por el Frente de Todos",0.033,0.033,0.244
"P23","Sergio Massa por el Frente de Todos",0.051,0.066,0.341
"P23","Javier Milei por los liberales libertarios",0.009,0.528,0.006
"P23","Al candidato del Frente de Izquierda",0.016,0.002,0.093
"P23","No sabe",0.031,0.023,0.174
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.258,0.018,0.012
"P24","Mauricio Macri por Juntos por el Cambio",0.489,0.174,0.04
"P24","Alberto Fernández por el Frente de Todos",0.06,0.025,0.227
"P24","Sergio Massa por el Frente de Todos",0.044,0.085,0.362
"P24","Javier Milei por los liberales libertarios",0.045,0.633,0.02
"P24","Al candidato del Frente de Izquierda",0.034,0.02,0.088
"P24","No sabe",0.07,0.045,0.251
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.241,0.016,0.015
"P25","Patricia Bullrich por Juntos por el Cambio",0.598,0.224,0.07
"P25","Alberto Fernández por el Frente de Todos",0.038,0.022,0.224
"P25","Sergio Massa por el Frente de Todos",0.05,0.078,0.404
"P25","Javier Milei por los liberales libertarios",0.011,0.624,0.006
"P25","Al candidato del Frente de Izquierda",0.03,0.004,0.083
"P25","No sabe",0.032,0.032,0.198
"P26","Sergio Massa por el Frente de Todos",0.079,0.081,0.566
"P26","Mauricio Macri por Juntos por el Cambio",0.72,0.168,0.052
"P26","Javier Milei por los liberales libertarios",0.064,0.701,0.021
"P26","Al candidato del Frente de Izquierda",0.041,0.003,0.079
"P26","No sabe",0.096,0.047,0.282
"P27","Alberto Fernández por el Frente de Todos",0.074,0.08,0.562
"P27","Mauricio Macri por Juntos por el Cambio",0.76,0.176,0.054
"P27","Javier Milei por los liberales libertarios",0.056,0.688,0.021
"P27","Al candidato del Frente de Izquierda",0.032,0,0.096
"P27","No sabe",0.078,0.056,0.267
"P28","Alberto Fernández por el Frente de Todos",0.068,0.043,0.568
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.751,0.052,0.037
"P28","Javier Milei por los liberales libertarios",0.088,0.806,0.023
"P28","Al candidato del Frente de Izquierda",0.03,0.006,0.092
"P28","No sabe",0.063,0.093,0.28
"P29","Sergio Massa por el Frente de Todos",0.073,0.062,0.572
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.781,0.034,0.038
"P29","Javier Milei por los liberales libertarios",0.06,0.818,0.023
"P29","Al candidato del Frente de Izquierda",0.035,0.016,0.087
"P29","No sabe",0.051,0.07,0.28
"P30","Sergio Massa por el Frente de Todos",0.097,0.066,0.52
"P30","Patricia Bullrich por Juntos por el Cambio",0.749,0.248,0.119
"P30","Javier Milei por los liberales libertarios",0.036,0.626,0.023
"P30","Al candidato del Frente de Izquierda",0.04,0.003,0.078
"P30","No sabe",0.078,0.057,0.26
"P32","Alberto Fernández por el Frente de Todos",0.09,0.088,0.527
"P32","Patricia Bullrich por Juntos por el Cambio",0.745,0.224,0.116
"P32","Javier Milei por los liberales libertarios",0.056,0.629,0.012
"P32","Al candidato del Frente de Izquierda",0.037,0.006,0.107
"P32","No sabe",0.072,0.053,0.238
"P34","Sergio Massa por el Frente de Todos",0.11,0.109,0.681
"P34","Mauricio Macri por Juntos por el Cambio",0.816,0.54,0.079
"P34","No sabe",0.074,0.351,0.24
"P35","Sergio Massa",0.107,0.099,0.687
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.85,0.412,0.058
"P35","No sabe",0.043,0.489,0.255
"P36","Alberto Fernández por el Frente de Todos",0.106,0.074,0.687
"P36","Mauricio Macri por Juntos por el Cambio",0.814,0.639,0.071
"P36","No sabe",0.08,0.287,0.242
"P37","Alberto Fernández",0.093,0.081,0.691
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.879,0.465,0.05
"P37","No sabe",0.028,0.454,0.259
"P38","Sergio Massa por el Frente de Todos",0.108,0.106,0.691
"P38","Patricia Bullrich por Juntos por el Cambio",0.846,0.64,0.088
"P38","No sabe",0.046,0.254,0.221
"P39","Alberto Fernández por el Frente de Todos",0.105,0.091,0.695
"P39","Patricia Bullrich por Juntos por el Cambio",0.831,0.678,0.101
"P39","No sabe",0.064,0.231,0.204
"P40","Mauricio Macri por Juntos por el Cambio",0.751,0.146,0.099
"P40","Javier Milei por los liberales libertarios",0.14,0.777,0.019
"P40","No sabe",0.109,0.077,0.882
"P42","Patricia Bullrich por Juntos por el Cambio",0.825,0.192,0.08
"P42","Javier Milei por los liberales libertarios",0.073,0.752,0.017
"P42","No sabe",0.102,0.056,0.903
"P43","Muy buena",0.111,0.019,0.103
"P43","Buena",0.055,0.092,0.288
"P43","Ni buena ni mala",0.052,0.039,0.362
"P43","Mala",0.063,0.07,0.115
"P43","Muy mala",0.71,0.776,0.126
"P43","No sabe",0.009,0.004,0.006
"P44","Muy buena",0.028,0.002,0.094
"P44","Buena",0.038,0.027,0.283
"P44","Ni buena ni mala",0.045,0.054,0.327
"P44","Mala",0.102,0.099,0.157
"P44","Muy mala",0.781,0.815,0.133
"P44","No sabe",0.006,0.003,0.006
"P45","Muy buena",0.046,0.054,0.571
"P45","Buena",0.022,0.011,0.139
"P45","Ni buena ni mala",0.025,0.039,0.07
"P45","Mala",0.03,0.029,0.058
"P45","Muy mala",0.861,0.862,0.147
"P45","No sabe",0.016,0.005,0.015
"P46","Muy buena",0.285,0.095,0.067
"P46","Buena",0.275,0.243,0.035
"P46","Ni buena ni mala",0.191,0.228,0.074
"P46","Mala",0.057,0.13,0.141
"P46","Muy mala",0.182,0.293,0.679
"P46","No sabe",0.01,0.011,0.004
"P47","Muy buena",0.274,0.045,0.014
"P47","Buena",0.403,0.217,0.042
"P47","Ni buena ni mala",0.233,0.281,0.132
"P47","Mala",0.051,0.149,0.221
"P47","Muy mala",0.027,0.301,0.584
"P47","No sabe",0.012,0.007,0.007
"P48","Muy buena",0.07,0.038,0.116
"P48","Buena",0.085,0.097,0.286
"P48","Ni buena ni mala",0.088,0.08,0.298
"P48","Mala",0.152,0.123,0.1
"P48","Muy mala",0.595,0.632,0.188
"P48","No sabe",0.01,0.03,0.012
"P49","Muy buena",0.445,0.31,0.049
"P49","Buena",0.249,0.241,0.068
"P49","Ni buena ni mala",0.113,0.202,0.091
"P49","Mala",0.056,0.064,0.093
"P49","Muy mala",0.118,0.158,0.693
"P49","No sabe",0.019,0.025,0.006
"P50","Muy buena",0.099,0.461,0.004
