"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.45,0.46,0.388,0.4,0.504,0.341,0.47,0.432,0.509,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.114,0.121,0.193,0.232,0.251,0.224,0.164,0.237,0.106,0.171
"P04","No tengo trabajo",0.08,0.202,0.161,0.148,0.141,0.256,0.144,0.219,0.258,0.185
"P04","Soy jubilado o pensionado",0.356,0.217,0.258,0.22,0.104,0.179,0.222,0.112,0.127,0.243
"P05","1",0.392,0.22,0.353,0.203,0.228,0.277,0.18,0.322,0.063,0.231
"P05","2",0.085,0.03,0.046,0.06,0.027,0.068,0.049,0.156,0.009,0.032
"P05","3",0.079,0.126,0.114,0.092,0.011,0.011,0.027,0.093,0.025,0.025
"P05","4",0.065,0.103,0.083,0.201,0.143,0.032,0.04,0.076,0.018,0.041
"P05","5",0.164,0.247,0.238,0.16,0.249,0.152,0.203,0.23,0.064,0.256
"P05","6",0.057,0.026,0.025,0.107,0.109,0.028,0.129,0,0.098,0.039
"P05","7",0.021,0.046,0.032,0.075,0.134,0.128,0.114,0.014,0.136,0.089
"P05","8",0.013,0.027,0.012,0.016,0.047,0.073,0.061,0.031,0.086,0.076
"P05","9",0.124,0.175,0.097,0.086,0.052,0.231,0.197,0.078,0.501,0.211
"P06","1",0.197,0.236,0.128,0.117,0.138,0.535,0.419,0.083,0.323,0.351
"P06","2",0.058,0.015,0.019,0.102,0.101,0.053,0.072,0.017,0.098,0.087
"P06","3",0.011,0.017,0.023,0.026,0.033,0.051,0.071,0.009,0.053,0.077
"P06","4",0.017,0.039,0.021,0.12,0.078,0.038,0.079,0.043,0.003,0.053
"P06","5",0.171,0.213,0.187,0.298,0.303,0.134,0.185,0.216,0.237,0.195
"P06","6",0.025,0.079,0.029,0.055,0.083,0,0.046,0.03,0,0.044
"P06","7",0.113,0.089,0.13,0.075,0.071,0.032,0.025,0.072,0.052,0.032
"P06","8",0.051,0.033,0.111,0.029,0.01,0.013,0.027,0.086,0.009,0.026
"P06","9",0.357,0.279,0.352,0.178,0.183,0.144,0.076,0.444,0.225,0.135
"P07","1",0.235,0.276,0.213,0.371,0.355,0.606,0.581,0.148,0.772,0.488
"P07","2",0.007,0.075,0.038,0.074,0.072,0.018,0.036,0.022,0,0.011
"P07","3",0.018,0.033,0.039,0.019,0.035,0.011,0.052,0.02,0.001,0.033
"P07","4",0.003,0.022,0.031,0,0.074,0.003,0.04,0.029,0.004,0.012
"P07","5",0.155,0.111,0.111,0.099,0.145,0.095,0.078,0.118,0.037,0.103
"P07","6",0.018,0.051,0.036,0.04,0.018,0.005,0.002,0.054,0,0.002
"P07","7",0.07,0.044,0.072,0.026,0.059,0.002,0.019,0.06,0,0.015
"P07","8",0.046,0.039,0.057,0.042,0.038,0.002,0.008,0.065,0.014,0.012
"P07","9",0.448,0.349,0.403,0.329,0.204,0.258,0.184,0.484,0.172,0.324
"P09","Del Frente de Todos y el peronismo",0.024,0.056,0.051,0.048,0.129,0.837,0.839,0.012,0.459,0.434
"P09","De Juntos por el cambio",0.867,0.749,0.644,0.568,0.34,0.033,0.027,0.032,0,0.04
"P09","De los Liberales libertarios",0.072,0.067,0.218,0.119,0.108,0.047,0.026,0.817,0,0.029
"P09","De la Izquierda",0.014,0.009,0.003,0.122,0.114,0.012,0.018,0.038,0.488,0.029
"P09","No sabe",0.023,0.119,0.084,0.143,0.309,0.071,0.09,0.101,0.053,0.468
"P10","A Alberto Fernández",0.187,0.286,0,0,0.075,0.354,0.065,0,0.002,0.094
"P10","A Sergio Massa",0,0.315,0,0.369,0.088,0.133,0.394,0.129,0.026,0.006
"P10","A algún candidato del peronismo",0.813,0.357,0.936,0.273,0.157,0.106,0.099,0.307,0.106,0.157
"P10","A algún candidato del kirchnerismo",0,0.042,0.064,0.358,0.68,0.407,0.442,0.564,0.866,0.743
"P11","A Alberto Fernández",0.187,0.286,0.137,0,0.075,0.267,0.025,0,0,0
"P11","A Sergio Massa",0,0.314,0.183,0.143,0.04,0.064,0.289,0.129,0,0.015
