"var","categoria","Alberto Fernández","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.482,0.399,0.419
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.184,0.198
"P04","No tengo trabajo",0.135,0.161,0.17
"P04","Soy jubilado o pensionado",0.208,0.256,0.213
"P05","1",0.171,0.332,0.249
"P05","2",0.049,0.062,0.08
"P05","3",0.017,0.087,0.072
"P05","4",0.026,0.099,0.05
"P05","5",0.15,0.25,0.269
"P05","6",0.102,0.043,0.043
"P05","7",0.148,0.035,0.057
"P05","8",0.096,0.01,0.034
"P05","9",0.241,0.082,0.146
"P06","1",0.446,0.135,0.22
"P06","2",0.088,0.039,0.039
"P06","3",0.079,0.02,0.027
"P06","4",0.045,0.047,0.032
"P06","5",0.155,0.219,0.191
"P06","6",0.02,0.037,0.037
"P06","7",0.034,0.128,0.07
"P06","8",0.027,0.077,0.07
"P06","9",0.106,0.298,0.314
"P07","1",0.702,0.231,0.237
"P07","2",0.017,0.039,0.021
"P07","3",0.042,0.029,0.021
"P07","4",0.018,0.027,0.017
"P07","5",0.075,0.125,0.147
"P07","6",0.001,0.046,0.027
"P07","7",0.005,0.056,0.081
"P07","8",0.004,0.056,0.049
"P07","9",0.136,0.391,0.4
"P09","Del Frente de Todos y el peronismo",0.854,0.038,0.161
"P09","De Juntos por el cambio",0.023,0.672,0.143
"P09","De los Liberales libertarios",0.008,0.211,0.374
"P09","De la Izquierda",0.053,0.009,0.041
"P09","No sabe",0.062,0.07,0.281
"P10","A Alberto Fernández",0.152,0.039,0.051
"P10","A Sergio Massa",0.228,0.184,0.124
"P10","A algún candidato del peronismo",0.078,0.748,0.267
"P10","A algún candidato del kirchnerismo",0.542,0.029,0.558
"P11","A Alberto Fernández",0.094,0.157,0
"P11","A Sergio Massa",0.147,0.357,0.192
"P11","A algún candidato del peronismo",0.076,0.445,0.119
"P11","A Cristina Fernández de Kirchner",0.683,0.041,0.689
