"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.476,0.553,0.311,0.352,0.609
"P04","Realizo changas o trabajos de vez en cuando",0.235,0.059,0.235,0.276,0.181
"P04","No tengo trabajo",0.124,0.107,0.175,0.111,0.038
"P04","Soy jubilado o pensionado",0.165,0.281,0.279,0.261,0.172
"P05","1",0.322,0.408,0.388,0.195,0.169
"P05","2",0.054,0.089,0.065,0,0
"P05","3",0.081,0.065,0.135,0.105,0.016
"P05","4",0.147,0.085,0.052,0.097,0.165
"P05","5",0.147,0.181,0.198,0.175,0.326
"P05","6",0.016,0.045,0.061,0.085,0.307
"P05","7",0.047,0.016,0.042,0.056,0
"P05","8",0.028,0.007,0.005,0.02,0
"P05","9",0.158,0.104,0.054,0.267,0.017
"P06","1",0.209,0.17,0.101,0.184,0.103
"P06","2",0.067,0.015,0.05,0.169,0.022
"P06","3",0.015,0.035,0.032,0.016,0
"P06","4",0.032,0.011,0.029,0.1,0
"P06","5",0.201,0.201,0.18,0.154,0.355
"P06","6",0.062,0.035,0.024,0.038,0.017
"P06","7",0.11,0.107,0.142,0.058,0.256
"P06","8",0.03,0.037,0.138,0.099,0.051
"P06","9",0.274,0.389,0.304,0.182,0.196
"P07","1",0.224,0.221,0.201,0.308,0.457
"P07","2",0.041,0.06,0.042,0.117,0
"P07","3",0.036,0.009,0.041,0.078,0
"P07","4",0.025,0.002,0.037,0,0
"P07","5",0.081,0.136,0.123,0.195,0.051
"P07","6",0.041,0.024,0.048,0,0.116
"P07","7",0.086,0.056,0.038,0.019,0.021
"P07","8",0.046,0.062,0.043,0.024,0
"P07","9",0.42,0.43,0.427,0.259,0.355
"P13","Seguro lo votaria",0.167,0.104,0.057,0.177,0.089
"P13","Quizás lo votaría",0.392,0.377,0.376,0.116,0.335
"P13","Nunca lo votaría",0.441,0.519,0.567,0.707,0.576
"P14","Lo votaría",0.294,0.809,0.481,0.235,0.243
"P14","Puede que lo vote",0.288,0.105,0.416,0.246,0.24
"P14","Nunca lo votaría",0.352,0.086,0.077,0.383,0.444
"P14","No sabe",0.066,0,0.026,0.136,0.073
"P15","Lo votaría",0.086,0.172,0.052,0.171,0.017
"P15","Puede que lo vote",0.132,0.031,0.023,0.2,0.061
"P15","Nunca lo votaría",0.751,0.793,0.899,0.49,0.872
"P15","No sabe",0.031,0.004,0.026,0.139,0.05
"P16","Lo votaría",0.038,0.003,0.001,0.15,0.149
"P16","Puede que lo vote",0.079,0.014,0.016,0.031,0
"P16","Nunca lo votaría",0.864,0.971,0.983,0.723,0.777
"P16","No sabe",0.019,0.012,0,0.096,0.074
"P17","La votaría",0.065,0.001,0,0.117,0.149
"P17","Puede que la vote",0.047,0,0.004,0.017,0.05
"P17","Nunca la votaría",0.888,0.999,0.996,0.769,0.801
"P17","No sabe",0,0,0,0.097,0
"P18","Lo votaría",0.649,0.206,0.209,0.085,0.37
"P18","Puede que lo vote",0.168,0.549,0.549,0.448,0.418
"P18","Nunca lo votaría",0.157,0.229,0.225,0.343,0.103
"P18","No sabe",0.026,0.016,0.017,0.124,0.109
"P19","Lo votaría",0.221,0.099,0.117,0.629,0.362
"P19","Puede que lo vote",0.343,0.234,0.389,0.05,0.27
"P19","Nunca lo votaría",0.345,0.622,0.446,0.17,0.218
"P19","No sabe",0.091,0.045,0.048,0.151,0.15
"P20","La votaría",0.292,0.602,0.892,0.241,0.022
"P20","Puede que la vote",0.394,0.306,0.051,0.306,0.422
"P20","Nunca la votaría",0.284,0.065,0.035,0.377,0.469
"P20","No sabe",0.03,0.027,0.022,0.076,0.087
"P21","Lo votaría",0.109,0.144,0.128,0.069,0
"P21","Puede que lo vote",0.342,0.247,0.408,0.209,0.134
"P21","Nunca lo votaría",0.514,0.566,0.412,0.664,0.67
"P21","No sabe",0.035,0.043,0.052,0.058,0.196
"P22","La votaría",0.286,0.278,0.271,0.083,0.099
"P22","Puede que la vote",0.352,0.398,0.44,0.349,0.435
"P22","Nunca la votaría",0.315,0.27,0.232,0.472,0.263
"P22","No sabe",0.047,0.054,0.057,0.096,0.203
"P23","Mauricio Macri por Juntos por el Cambio",0.122,0.692,0.046,0.101,0.289
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.554,0.076,0.018,0.13,0.163
"P23","Patricia Bullrich por Juntos por el Cambio",0.165,0.146,0.804,0,0.092
"P23","María Eugenia Vidal por Juntos por el Cambio",0.104,0.037,0.062,0.012,0.019
"P23","Facundo Manes por Juntos por el Cambio",0.019,0.009,0.003,0.597,0.135
"P23","Alberto Fernández por el Frente de Todos",0.011,0.022,0.005,0.038,0.098
"P23","Sergio Massa por el Frente de Todos",0.008,0.011,0.005,0.093,0.061
"P23","Javier Milei por los liberales libertarios",0,0.003,0.045,0.014,0
"P23","Al candidato del Frente de Izquierda",0,0,0,0,0
"P23","No sabe",0.017,0.004,0.012,0.015,0.143
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.621,0.115,0.19,0.395,0.442
"P24","Mauricio Macri por Juntos por el Cambio",0.229,0.775,0.65,0.103,0.276
"P24","Alberto Fernández por el Frente de Todos",0.045,0.005,0.043,0.045,0.163
"P24","Sergio Massa por el Frente de Todos",0.011,0.003,0.01,0.158,0.028
"P24","Javier Milei por los liberales libertarios",0.019,0.016,0.074,0.165,0.015
"P24","Al candidato del Frente de Izquierda",0.021,0.072,0.003,0.01,0
"P24","No sabe",0.054,0.014,0.03,0.124,0.076
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.705,0.205,0.049,0.331,0.581
"P25","Patricia Bullrich por Juntos por el Cambio",0.215,0.659,0.887,0.128,0.09
"P25","Alberto Fernández por el Frente de Todos",0.03,0.002,0.009,0.191,0.17
"P25","Sergio Massa por el Frente de Todos",0.008,0.003,0,0.211,0
"P25","Javier Milei por los liberales libertarios",0.004,0.041,0.042,0.071,0
"P25","Al candidato del Frente de Izquierda",0.024,0.029,0,0.033,0
"P25","No sabe",0.014,0.061,0.013,0.035,0.159
"P26","Sergio Massa por el Frente de Todos",0.081,0,0.016,0.346,0.049
"P26","Mauricio Macri por Juntos por el Cambio",0.562,0.956,0.837,0.381,0.67
"P26","Javier Milei por los liberales libertarios",0.09,0.022,0.097,0.161,0
"P26","Al candidato del Frente de Izquierda",0,0,0,0.015,0
"P26","No sabe",0.267,0.022,0.05,0.097,0.281
"P27","Alberto Fernández por el Frente de Todos",0.052,0.002,0.012,0.174,0
"P27","Mauricio Macri por Juntos por el Cambio",0.669,0.962,0.872,0.316,0.699
"P27","Javier Milei por los liberales libertarios",0.106,0.022,0.071,0.161,0
"P27","Al candidato del Frente de Izquierda",0.018,0,0,0.14,0
"P27","No sabe",0.155,0.014,0.045,0.209,0.301
"P28","Alberto Fernández por el Frente de Todos",0.031,0.005,0.004,0.179,0
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.943,0.702,0.688,0.474,0.873
"P28","Javier Milei por los liberales libertarios",0.016,0.121,0.213,0.115,0
"P28","Al candidato del Frente de Izquierda",0,0.007,0,0.141,0
"P28","No sabe",0.01,0.165,0.095,0.091,0.127
"P29","Sergio Massa por el Frente de Todos",0.031,0.004,0.024,0.31,0.11
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.874,0.765,0.718,0.45,0.852
"P29","Javier Milei por los liberales libertarios",0.04,0.126,0.197,0.1,0
"P29","Al candidato del Frente de Izquierda",0,0.004,0,0,0
"P29","No sabe",0.055,0.101,0.061,0.14,0.038
"P30","Sergio Massa por el Frente de Todos",0.111,0.021,0.015,0.295,0.068
"P30","Patricia Bullrich por Juntos por el Cambio",0.523,0.92,0.926,0.423,0.172
"P30","Javier Milei por los liberales libertarios",0.154,0.024,0.05,0.126,0
"P30","Al candidato del Frente de Izquierda",0.02,0.004,0,0,0
"P30","No sabe",0.192,0.031,0.009,0.156,0.76
"P32","Alberto Fernández por el Frente de Todos",0.094,0.102,0.046,0.126,0
"P32","Patricia Bullrich por Juntos por el Cambio",0.569,0.825,0.906,0.37,0.214
"P32","Javier Milei por los liberales libertarios",0.171,0.042,0.03,0.155,0
"P32","Al candidato del Frente de Izquierda",0.02,0,0,0.191,0
"P32","No sabe",0.146,0.031,0.018,0.158,0.786
"P34","Sergio Massa por el Frente de Todos",0.089,0,0.019,0.357,0.033
"P34","Mauricio Macri por Juntos por el Cambio",0.757,0.997,0.956,0.432,0.967
"P34","No sabe",0.154,0.003,0.025,0.211,0
"P35","Sergio Massa",0.032,0.011,0.028,0.363,0.034
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.934,0.908,0.905,0.541,0.878
"P35","No sabe",0.034,0.081,0.067,0.096,0.088
"P36","Alberto Fernández por el Frente de Todos",0.026,0.002,0.008,0.161,0
"P36","Mauricio Macri por Juntos por el Cambio",0.771,0.991,0.955,0.438,0.895
"P36","No sabe",0.203,0.007,0.037,0.401,0.105
"P37","Alberto Fernández",0.025,0.037,0.003,0.117,0
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.928,0.884,0.898,0.571,0.875
"P37","No sabe",0.047,0.079,0.099,0.312,0.125
"P38","Sergio Massa por el Frente de Todos",0.048,0.033,0.007,0.201,0.034
"P38","Patricia Bullrich por Juntos por el Cambio",0.75,0.931,0.967,0.457,0.855
"P38","No sabe",0.202,0.036,0.026,0.342,0.111
"P39","Alberto Fernández por el Frente de Todos",0.025,0.009,0,0.163,0
"P39","Patricia Bullrich por Juntos por el Cambio",0.767,0.971,1,0.477,0.855
"P39","No sabe",0.208,0.02,0,0.36,0.145
"P40","Mauricio Macri por Juntos por el Cambio",0.614,0.822,0.793,0.382,0.964
"P40","Javier Milei por los liberales libertarios",0.178,0.163,0.164,0.154,0
"P40","No sabe",0.208,0.015,0.043,0.464,0.036
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.895,0.822,0.749,0.586,0.949
"P41","Javier Milei por los liberales libertarios",0.07,0.101,0.164,0.121,0
"P41","No sabe",0.035,0.077,0.087,0.293,0.051
"P42","Patricia Bullrich por Juntos por el Cambio",0.665,0.901,0.93,0.447,0.857
"P42","Javier Milei por los liberales libertarios",0.164,0.08,0.046,0.151,0
