"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.474,0.396,0.342,0.482,0.45,0.509,0.38
"P04","Realizo changas o trabajos de vez en cuando",0.096,0.192,0.221,0.179,0.209,0.106,0.207
"P04","No tengo trabajo",0.149,0.146,0.258,0.109,0.228,0.27,0.176
"P04","Soy jubilado o pensionado",0.281,0.266,0.179,0.23,0.113,0.115,0.237
"P05","1",0.297,0.355,0.245,0.175,0.322,0.153,0.19
"P05","2",0.021,0.074,0.071,0.049,0.147,0.003,0.03
"P05","3",0.078,0.098,0.01,0.033,0.096,0.011,0.024
"P05","4",0.107,0.095,0.041,0.048,0.057,0.01,0.053
"P05","5",0.262,0.21,0.136,0.209,0.236,0.076,0.281
"P05","6",0.061,0.048,0.029,0.114,0.004,0.056,0.063
"P05","7",0.047,0.03,0.119,0.125,0.015,0.18,0.106
"P05","8",0.018,0.01,0.085,0.061,0.045,0.063,0.064
"P05","9",0.109,0.08,0.264,0.186,0.078,0.448,0.189
"P06","1",0.233,0.117,0.526,0.397,0.068,0.289,0.337
"P06","2",0.034,0.042,0.044,0.076,0.022,0.123,0.069
"P06","3",0.017,0.026,0.032,0.087,0.004,0.094,0.047
"P06","4",0.024,0.035,0.042,0.078,0.053,0.003,0.052
"P06","5",0.232,0.2,0.123,0.2,0.222,0.136,0.239
"P06","6",0.065,0.031,0.016,0.037,0.04,0.009,0.034
"P06","7",0.124,0.125,0.028,0.028,0.07,0.051,0.027
"P06","8",0.029,0.093,0.019,0.024,0.072,0.016,0.024
"P06","9",0.242,0.331,0.17,0.073,0.449,0.279,0.171
"P07","1",0.272,0.21,0.638,0.557,0.144,0.731,0.47
"P07","2",0.076,0.034,0.023,0.033,0.021,0.009,0.014
"P07","3",0.029,0.033,0.034,0.059,0.005,0.001,0.008
"P07","4",0.021,0.021,0.005,0.037,0.016,0.003,0.034
"P07","5",0.078,0.141,0.049,0.124,0.12,0.024,0.113
"P07","6",0.047,0.033,0.007,0.008,0.042,0,0.005
"P07","7",0.061,0.068,0.003,0.017,0.068,0,0.029
"P07","8",0.033,0.059,0.003,0.006,0.068,0.021,0.022
"P07","9",0.383,0.401,0.238,0.159,0.516,0.211,0.305
"P09","Del Frente de Todos y el peronismo",0.023,0.055,0.81,0.84,0.014,0.353,0.38
"P09","De Juntos por el cambio",0.819,0.723,0.062,0.022,0.058,0.103,0.101
"P09","De los Liberales libertarios",0.064,0.148,0.047,0.026,0.771,0.017,0.024
"P09","De la Izquierda",0.002,0.012,0.043,0.008,0.041,0.478,0.02
"P09","No sabe",0.092,0.062,0.038,0.104,0.116,0.049,0.475
"P10","A Alberto Fernández",0.194,0.211,0.326,0.071,0,0.018,0.068
"P10","A Sergio Massa",0.268,0.02,0.118,0.384,0.246,0.014,0.017
"P10","A algún candidato del peronismo",0.424,0.759,0.096,0.107,0.754,0.113,0.1
"P10","A algún candidato del kirchnerismo",0.114,0.01,0.46,0.438,0,0.855,0.815
"P11","A Alberto Fernández",0.194,0.316,0.244,0.021,0,0.016,0
"P11","A Sergio Massa",0.268,0.159,0.03,0.275,0.097,0.045,0.017
"P11","A algún candidato del peronismo",0.424,0.484,0.074,0.093,0.661,0.082,0.064
"P11","A Cristina Fernández de Kirchner",0.114,0.041,0.652,0.611,0.242,0.857,0.919
"P12","A Horacio Rodriguez Larreta",0.544,0.074,0.233,0.108,0.022,0.308,0.083
"P12","A Mauricio Macri",0.246,0.355,0.018,0.071,0.389,0.572,0.574
"P12","A Patricia Bullrich",0.068,0.553,0.129,0,0.463,0,0.137
"P12","A Facundo Manes",0.074,0.013,0.423,0.821,0.126,0.12,0.061
"P12","A Gerardo Morales",0.068,0.005,0.197,0,0,0,0.145
"P13","Seguro lo votaria",0.133,0.081,0.22,0,0.196,0,0.208
"P13","Quizás lo votaría",0.307,0.403,0.276,0.043,0.381,0.505,0.301
"P13","Nunca lo votaría",0.56,0.516,0.504,0.957,0.423,0.495,0.491
"P14","Lo votaría",0.354,0.533,0.043,0.013,0.111,0.082,0.071
"P14","Puede que lo vote",0.267,0.314,0.042,0.047,0.324,0.074,0.06
"P14","Nunca lo votaría",0.227,0.11,0.85,0.883,0.433,0.762,0.669
"P14","No sabe",0.152,0.043,0.065,0.057,0.132,0.082,0.2
"P15","Lo votaría",0.046,0.089,0.214,0.477,0.03,0.061,0.006
"P15","Puede que lo vote",0.085,0.026,0.371,0.398,0.063,0.348,0.205
"P15","Nunca lo votaría",0.817,0.858,0.262,0.085,0.889,0.447,0.564
"P15","No sabe",0.052,0.027,0.153,0.04,0.018,0.144,0.225
"P16","Lo votaría",0.007,0.025,0.46,0.154,0.016,0.011,0.006
"P16","Puede que lo vote",0.034,0.01,0.397,0.53,0.011,0.247,0.203
"P16","Nunca lo votaría",0.946,0.96,0.065,0.188,0.948,0.652,0.589
"P16","No sabe",0.013,0.005,0.078,0.128,0.025,0.09,0.202
"P17","La votaría",0.009,0.013,0.854,0.705,0.019,0.417,0.409
"P17","Puede que la vote",0.016,0.002,0.069,0.137,0.005,0.098,0.066
"P17","Nunca la votaría",0.971,0.985,0.076,0.138,0.968,0.423,0.441
"P17","No sabe",0.004,0,0.001,0.02,0.008,0.062,0.084
"P18","Lo votaría",0.626,0.157,0.086,0.085,0.033,0.008,0.029
"P18","Puede que lo vote",0.276,0.544,0.039,0.059,0.227,0.116,0.14
"P18","Nunca lo votaría",0.057,0.265,0.811,0.838,0.669,0.819,0.656
"P18","No sabe",0.041,0.034,0.064,0.018,0.071,0.057,0.175
"P19","Lo votaría",0.353,0.103,0.014,0.063,0.026,0.072,0.054
"P19","Puede que lo vote",0.282,0.323,0.045,0.143,0.218,0.161,0.167
"P19","Nunca lo votaría",0.281,0.499,0.802,0.663,0.682,0.557,0.552
"P19","No sabe",0.084,0.075,0.139,0.131,0.074,0.21,0.227
"P20","La votaría",0.262,0.74,0.026,0.017,0.19,0.064,0.035
"P20","Puede que la vote",0.427,0.186,0.031,0.044,0.435,0.074,0.125
"P20","Nunca la votaría",0.258,0.052,0.896,0.928,0.318,0.794,0.699
"P20","No sabe",0.053,0.022,0.047,0.011,0.057,0.068,0.141
"P21","Lo votaría",0.065,0.187,0.017,0.038,0.761,0.012,0.003
"P21","Puede que lo vote",0.305,0.357,0.063,0.029,0.189,0.058,0.07
