"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.379,0.487,0.465
"P04","Realizo changas o trabajos de vez en cuando",0.16,0.247,0.164
"P04","No tengo trabajo",0.146,0.19,0.147
"P04","Soy jubilado o pensionado",0.315,0.076,0.224
"P05","1",0.325,0.334,0.151
"P05","2",0.054,0.108,0.048
"P05","3",0.092,0.054,0.035
"P05","4",0.105,0.064,0.028
"P05","5",0.239,0.264,0.182
"P05","6",0.061,0.012,0.089
"P05","7",0.034,0.03,0.139
"P05","8",0.009,0.031,0.081
"P05","9",0.081,0.103,0.247
"P06","1",0.141,0.131,0.428
"P06","2",0.039,0.027,0.074
"P06","3",0.017,0.012,0.075
"P06","4",0.042,0.03,0.051
"P06","5",0.229,0.175,0.172
"P06","6",0.045,0.03,0.023
"P06","7",0.137,0.09,0.033
"P06","8",0.088,0.065,0.027
"P06","9",0.262,0.44,0.117
"P07","1",0.239,0.214,0.629
"P07","2",0.032,0.026,0.024
"P07","3",0.027,0.006,0.034
"P07","4",0.026,0.034,0.014
"P07","5",0.129,0.119,0.099
"P07","6",0.04,0.048,0.006
"P07","7",0.069,0.053,0.02
"P07","8",0.058,0.055,0.012
"P07","9",0.38,0.445,0.162
"P09","Del Frente de Todos y el peronismo",0.055,0.099,0.721
"P09","De Juntos por el cambio",0.768,0.112,0.06
"P09","De los Liberales libertarios",0.078,0.652,0.031
"P09","De la Izquierda",0.019,0.032,0.044
"P09","No sabe",0.08,0.105,0.144
"P10","A Alberto Fernández",0.228,0.043,0.127
"P10","A Sergio Massa",0.091,0.345,0.218
"P10","A algún candidato del peronismo",0.592,0.199,0.091
"P10","A algún candidato del kirchnerismo",0.089,0.413,0.564
"P11","A Alberto Fernández",0.335,0.014,0.066
"P11","A Sergio Massa",0.208,0.316,0.149
"P11","A algún candidato del peronismo",0.319,0.15,0.077
"P11","A Cristina Fernández de Kirchner",0.138,0.52,0.708
"P12","A Horacio Rodriguez Larreta",0.171,0.414,0.494
"P12","A Mauricio Macri",0.34,0.295,0.082
"P12","A Patricia Bullrich",0.436,0.212,0.129
"P12","A Facundo Manes",0.023,0.079,0.239
"P12","A Gerardo Morales",0.03,0,0.056
"P13","Seguro lo votaria",0.062,0.411,0.018
"P13","Quizás lo votaría",0.396,0.281,0.137
"P13","Nunca lo votaría",0.542,0.308,0.845
"P14","Lo votaría",0.5,0.123,0.016
"P14","Puede que lo vote",0.287,0.267,0.058
"P14","Nunca lo votaría",0.158,0.495,0.817
"P14","No sabe",0.055,0.115,0.109
"P15","Lo votaría",0.094,0.092,0.224
"P15","Puede que lo vote",0.059,0.096,0.359
"P15","Nunca lo votaría",0.831,0.801,0.293
"P15","No sabe",0.016,0.011,0.124
"P16","Lo votaría",0.015,0.029,0.156
"P16","Puede que lo vote",0.026,0.081,0.426
"P16","Nunca lo votaría",0.948,0.854,0.276
"P16","No sabe",0.011,0.036,0.142
"P17","La votaría",0.014,0.093,0.684
"P17","Puede que la vote",0.01,0.016,0.097
"P17","Nunca la votaría",0.967,0.879,0.194
"P17","No sabe",0.009,0.012,0.025
"P18","Lo votaría",0.244,0.09,0.084
"P18","Puede que lo vote",0.461,0.249,0.044
"P18","Nunca lo votaría",0.252,0.634,0.819
"P18","No sabe",0.043,0.027,0.053
"P19","Lo votaría",0.154,0.05,0.046
"P19","Puede que lo vote",0.34,0.273,0.115
"P19","Nunca lo votaría",0.436,0.63,0.699
"P19","No sabe",0.07,0.047,0.14
"P20","La votaría",0.636,0.205,0.032
"P20","Puede que la vote",0.256,0.376,0.054
"P20","Nunca la votaría",0.086,0.404,0.88
"P20","No sabe",0.022,0.015,0.034
"P21","Lo votaría",0.131,0.627,0.019
"P21","Puede que lo vote",0.329,0.218,0.028
"P21","Nunca lo votaría",0.485,0.12,0.912
"P21","No sabe",0.055,0.035,0.041
"P22","La votaría",0.249,0.148,0.03
"P22","Puede que la vote",0.4,0.224,0.049
"P22","Nunca la votaría",0.258,0.575,0.865
"P22","No sabe",0.093,0.053,0.056
"P23","Mauricio Macri por Juntos por el Cambio",0.261,0.035,0.006
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.063,0.028
"P23","Patricia Bullrich por Juntos por el Cambio",0.48,0.11,0.02
"P23","María Eugenia Vidal por Juntos por el Cambio",0.066,0.008,0.013
"P23","Facundo Manes por Juntos por el Cambio",0.032,0.047,0.043
"P23","Alberto Fernández por el Frente de Todos",0.016,0.02,0.261
"P23","Sergio Massa por el Frente de Todos",0.018,0.111,0.343
"P23","Javier Milei por los liberales libertarios",0.01,0.573,0.015
"P23","Al candidato del Frente de Izquierda",0.014,0.005,0.092
"P23","No sabe",0.018,0.028,0.179
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.194,0.078,0.026
"P24","Mauricio Macri por Juntos por el Cambio",0.572,0.064,0.012
"P24","Alberto Fernández por el Frente de Todos",0.04,0.026,0.239
"P24","Sergio Massa por el Frente de Todos",0.028,0.105,0.363
"P24","Javier Milei por los liberales libertarios",0.062,0.661,0.029
"P24","Al candidato del Frente de Izquierda",0.017,0.021,0.099
"P24","No sabe",0.087,0.045,0.232
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.179,0.078,0.027
"P25","Patricia Bullrich por Juntos por el Cambio",0.726,0.084,0.017
"P25","Alberto Fernández por el Frente de Todos",0.008,0.03,0.241
"P25","Sergio Massa por el Frente de Todos",0.02,0.098,0.415
"P25","Javier Milei por los liberales libertarios",0.017,0.662,0.019
"P25","Al candidato del Frente de Izquierda",0.014,0.007,0.093
"P25","No sabe",0.036,0.041,0.188
"P26","Sergio Massa por el Frente de Todos",0.032,0.105,0.593
"P26","Mauricio Macri por Juntos por el Cambio",0.772,0.071,0.028
"P26","Javier Milei por los liberales libertarios",0.077,0.725,0.034
"P26","Al candidato del Frente de Izquierda",0.019,0.021,0.087
"P26","No sabe",0.1,0.078,0.258
"P27","Alberto Fernández por el Frente de Todos",0.029,0.101,0.585
"P27","Mauricio Macri por Juntos por el Cambio",0.809,0.086,0.027
"P27","Javier Milei por los liberales libertarios",0.063,0.735,0.032
"P27","Al candidato del Frente de Izquierda",0.022,0.003,0.101
"P27","No sabe",0.077,0.075,0.255
"P28","Alberto Fernández por el Frente de Todos",0.027,0.081,0.574
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.679,0.085,0.053
"P28","Javier Milei por los liberales libertarios",0.162,0.75,0.031
"P28","Al candidato del Frente de Izquierda",0.022,0.009,0.095
"P28","No sabe",0.11,0.075,0.247
"P29","Sergio Massa por el Frente de Todos",0.028,0.086,0.589
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.718,0.088,0.032
"P29","Javier Milei por los liberales libertarios",0.15,0.738,0.033
"P29","Al candidato del Frente de Izquierda",0.015,0.037,0.092
