"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.492,0.394,0.387
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.184,0.214
"P04","No tengo trabajo",0.131,0.15,0.236
"P04","Soy jubilado o pensionado",0.212,0.272,0.163
"P05","1",0.155,0.338,0.261
"P05","2",0.068,0.071,0.031
"P05","3",0.022,0.093,0.066
"P05","4",0.028,0.094,0.054
"P05","5",0.165,0.236,0.268
"P05","6",0.107,0.041,0.035
"P05","7",0.143,0.027,0.084
"P05","8",0.099,0.017,0.014
"P05","9",0.213,0.083,0.187
"P06","1",0.43,0.131,0.26
"P06","2",0.078,0.036,0.053
"P06","3",0.084,0.019,0.019
"P06","4",0.05,0.038,0.038
"P06","5",0.177,0.204,0.212
"P06","6",0.028,0.038,0.016
"P06","7",0.034,0.126,0.065
"P06","8",0.025,0.081,0.065
"P06","9",0.094,0.327,0.272
"P07","1",0.654,0.214,0.321
"P07","2",0.031,0.034,0.009
"P07","3",0.049,0.025,0.011
"P07","4",0.017,0.027,0.017
"P07","5",0.082,0.122,0.129
"P07","6",0.003,0.035,0.046
"P07","7",0.019,0.067,0.049
"P07","8",0.006,0.059,0.036
"P07","9",0.139,0.417,0.382
"P09","Del Frente de Todos y el peronismo",0.811,0.036,0.211
"P09","De Juntos por el cambio",0.037,0.683,0.081
"P09","De los Liberales libertarios",0.027,0.234,0.325
"P09","De la Izquierda",0.039,0.006,0.082
"P09","No sabe",0.086,0.041,0.301
"P10","A Alberto Fernández",0.117,0.248,0.237
"P10","A Sergio Massa",0.256,0.02,0.009
"P10","A algún candidato del peronismo",0.096,0.704,0.16
"P10","A algún candidato del kirchnerismo",0.531,0.028,0.594
"P11","A Alberto Fernández",0.068,0.35,0.091
"P11","A Sergio Massa",0.183,0.213,0.005
"P11","A algún candidato del peronismo",0.073,0.39,0.125
"P11","A Cristina Fernández de Kirchner",0.676,0.047,0.779
"P12","A Horacio Rodriguez Larreta",0.421,0.185,0.611
"P12","A Mauricio Macri",0,0.34,0.015
"P12","A Patricia Bullrich",0.165,0.421,0.18
"P12","A Facundo Manes",0.394,0.024,0.194
"P12","A Gerardo Morales",0.02,0.03,0
"P13","Seguro lo votaria",0.057,0.082,0.127
"P13","Quizás lo votaría",0.121,0.395,0.284
"P13","Nunca lo votaría",0.822,0.523,0.589
"P14","Lo votaría",0.021,0.47,0.037
"P14","Puede que lo vote",0.047,0.341,0.089
"P14","Nunca lo votaría",0.876,0.135,0.666
"P14","No sabe",0.056,0.054,0.208
"P15","Lo votaría",0.32,0.073,0.006
"P15","Puede que lo vote",0.448,0.036,0.122
"P15","Nunca lo votaría",0.147,0.869,0.752
"P15","No sabe",0.085,0.022,0.12
"P16","Lo votaría",0.184,0.018,0.057
"P16","Puede que lo vote",0.503,0.008,0.141
"P16","Nunca lo votaría",0.167,0.963,0.742
"P16","No sabe",0.146,0.011,0.06
"P17","La votaría",0.753,0.014,0.232
"P17","Puede que la vote",0.118,0.005,0.029
"P17","Nunca la votaría",0.114,0.98,0.684
"P17","No sabe",0.015,0.001,0.055
"P18","Lo votaría",0.09,0.232,0.061
"P18","Puede que lo vote",0.044,0.431,0.162
"P18","Nunca lo votaría",0.848,0.3,0.649
"P18","No sabe",0.018,0.037,0.128
"P19","Lo votaría",0.039,0.128,0.091
"P19","Puede que lo vote",0.132,0.324,0.18
"P19","Nunca lo votaría",0.69,0.489,0.605
"P19","No sabe",0.139,0.059,0.124
"P20","La votaría",0.011,0.613,0.082
"P20","Puede que la vote",0.052,0.263,0.27
"P20","Nunca la votaría",0.922,0.104,0.568
"P20","No sabe",0.015,0.02,0.08
"P21","Lo votaría",0.037,0.271,0.266
"P21","Puede que lo vote",0.031,0.312,0.16
"P21","Nunca lo votaría",0.92,0.373,0.452
"P21","No sabe",0.012,0.044,0.122
"P22","La votaría",0.033,0.242,0.091
"P22","Puede que la vote",0.03,0.416,0.098
"P22","Nunca la votaría",0.902,0.273,0.656
"P22","No sabe",0.035,0.069,0.155
"P23","Mauricio Macri por Juntos por el Cambio",0.001,0.237,0.007
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.089,0.059
