"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.449,0.414,0.44,0.521,0.369
"P04","Realizo changas o trabajos de vez en cuando",0.187,0.159,0.225,0.12,0.182
"P04","No tengo trabajo",0.145,0.121,0.2,0.238,0.224
"P04","Soy jubilado o pensionado",0.219,0.306,0.135,0.121,0.225
"P05","1",0.194,0.374,0.344,0.201,0.187
"P05","2",0.052,0.063,0.121,0.067,0.036
"P05","3",0.026,0.1,0.076,0.007,0.036
"P05","4",0.035,0.099,0.064,0.011,0.05
"P05","5",0.162,0.206,0.266,0.085,0.266
"P05","6",0.08,0.036,0.007,0.12,0.087
"P05","7",0.128,0.029,0.02,0.089,0.129
"P05","8",0.083,0.017,0.025,0.073,0.042
"P05","9",0.24,0.076,0.077,0.347,0.167
"P06","1",0.49,0.145,0.1,0.294,0.344
"P06","2",0.067,0.036,0.036,0.107,0.072
"P06","3",0.061,0.025,0.005,0.111,0.051
"P06","4",0.048,0.037,0.037,0.056,0.041
"P06","5",0.169,0.199,0.229,0.175,0.192
"P06","6",0.024,0.038,0.031,0,0.03
"P06","7",0.023,0.133,0.069,0.061,0.049
"P06","8",0.027,0.082,0.074,0.019,0.033
"P06","9",0.091,0.305,0.419,0.177,0.188
"P07","1",0.626,0.23,0.19,0.712,0.398
"P07","2",0.02,0.036,0.02,0.05,0.025
"P07","3",0.03,0.032,0.009,0.052,0.043
"P07","4",0.027,0.026,0.016,0.004,0.027
"P07","5",0.088,0.127,0.137,0.032,0.097
"P07","6",0.003,0.039,0.048,0.001,0.011
"P07","7",0.007,0.06,0.07,0.018,0.046
"P07","8",0.003,0.06,0.055,0,0.041
"P07","9",0.196,0.39,0.455,0.131,0.312
"P09","Del Frente de Todos y el peronismo",0.87,0.056,0.025,0.377,0.354
"P09","De Juntos por el cambio",0.03,0.844,0.099,0.048,0.131
"P09","De los Liberales libertarios",0.024,0.057,0.769,0.009,0.089
"P09","De la Izquierda",0.021,0.003,0.026,0.445,0.056
"P09","No sabe",0.055,0.04,0.081,0.121,0.37
"P10","A Alberto Fernández",0.179,0.071,0,0.001,0.077
"P10","A Sergio Massa",0.257,0.07,0.726,0.039,0.158
"P10","A algún candidato del peronismo",0.088,0.815,0.221,0.157,0.139
"P10","A algún candidato del kirchnerismo",0.476,0.044,0.053,0.803,0.626
"P11","A Alberto Fernández",0.129,0.127,0,0,0.016
"P11","A Sergio Massa",0.157,0.227,0.28,0.127,0.144
"P11","A algún candidato del peronismo",0.082,0.562,0.134,0.049,0.1
"P11","A Cristina Fernández de Kirchner",0.632,0.084,0.586,0.824,0.74
"P12","A Horacio Rodriguez Larreta",0.421,0.164,0.334,0.325,0.425
"P12","A Mauricio Macri",0.024,0.389,0.113,0,0.066
"P12","A Patricia Bullrich",0.178,0.401,0.417,0,0.234
"P12","A Facundo Manes",0.377,0.021,0.136,0.675,0.153
"P12","A Gerardo Morales",0,0.025,0,0,0.122
"P13","Seguro lo votaria",0.092,0.08,0.426,0,0
"P13","Quizás lo votaría",0.259,0.396,0.29,0,0.325
"P13","Nunca lo votaría",0.649,0.524,0.284,1,0.675
"P14","Lo votaría",0.021,0.61,0.093,0,0.055
"P14","Puede que lo vote",0.035,0.273,0.327,0.012,0.137
"P14","Nunca lo votaría",0.878,0.08,0.457,0.923,0.645
"P14","No sabe",0.066,0.037,0.123,0.065,0.163
"P15","Lo votaría",0.326,0.103,0.054,0.064,0.105
"P15","Puede que lo vote",0.372,0.03,0.065,0.399,0.244
"P15","Nunca lo votaría",0.214,0.845,0.861,0.451,0.474
"P15","No sabe",0.088,0.022,0.02,0.086,0.177
"P16","Lo votaría",0.3,0.008,0.017,0.007,0.031
"P16","Puede que lo vote",0.513,0.013,0.037,0.331,0.157
"P16","Nunca lo votaría",0.094,0.963,0.933,0.569,0.635
"P16","No sabe",0.093,0.016,0.013,0.093,0.177
"P17","La votaría",0.809,0.01,0.038,0.481,0.333
"P17","Puede que la vote",0.11,0.008,0,0.159,0.067
"P17","Nunca la votaría",0.077,0.981,0.949,0.308,0.536
"P17","No sabe",0.004,0.001,0.013,0.052,0.064
"P18","Lo votaría",0.077,0.267,0.074,0.012,0.1
"P18","Puede que lo vote",0.04,0.493,0.27,0.047,0.125
"P18","Nunca lo votaría",0.838,0.211,0.625,0.907,0.627
"P18","No sabe",0.045,0.029,0.031,0.034,0.148
"P19","Lo votaría",0.034,0.14,0.037,0.086,0.159
"P19","Puede que lo vote",0.097,0.321,0.245,0.16,0.191
"P19","Nunca lo votaría",0.729,0.478,0.653,0.598,0.476
"P19","No sabe",0.14,0.061,0.065,0.156,0.174
"P20","La votaría",0.029,0.635,0.262,0.065,0.102
"P20","Puede que la vote",0.04,0.251,0.39,0.071,0.172
"P20","Nunca la votaría",0.908,0.097,0.316,0.864,0.624
"P20","No sabe",0.023,0.017,0.032,0,0.102
"P21","Lo votaría",0.02,0.115,0.731,0,0.059
"P21","Puede que lo vote",0.046,0.359,0.195,0.008,0.111
"P21","Nunca lo votaría",0.911,0.473,0.051,0.958,0.699
"P21","No sabe",0.023,0.053,0.023,0.034,0.131
"P22","La votaría",0.028,0.271,0.129,0,0.069
"P22","Puede que la vote",0.025,0.436,0.255,0.01,0.129
"P22","Nunca la votaría",0.89,0.221,0.573,0.951,0.647
"P22","No sabe",0.057,0.072,0.043,0.039,0.155
"P23","Mauricio Macri por Juntos por el Cambio",0.002,0.307,0.021,0,0.031
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.107,0.027,0.005,0.07
"P23","Patricia Bullrich por Juntos por el Cambio",0.003,0.455,0.178,0.018,0.116
"P23","María Eugenia Vidal por Juntos por el Cambio",0.008,0.067,0.01,0,0.042
"P23","Facundo Manes por Juntos por el Cambio",0.008,0.028,0.037,0.131,0.096
"P23","Alberto Fernández por el Frente de Todos",0.392,0.009,0,0.01,0.055
"P23","Sergio Massa por el Frente de Todos",0.452,0.011,0.047,0.122,0.145
"P23","Javier Milei por los liberales libertarios",0.005,0.004,0.677,0.008,0.037
"P23","Al candidato del Frente de Izquierda",0.024,0.001,0,0.638,0.03
"P23","No sabe",0.085,0.011,0.003,0.068,0.378
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.22,0.049,0.005,0.103
"P24","Mauricio Macri por Juntos por el Cambio",0.006,0.637,0.056,0,0.038
"P24","Alberto Fernández por el Frente de Todos",0.38,0.033,0.01,0.057,0.025
"P24","Sergio Massa por el Frente de Todos",0.449,0.014,0.047,0.151,0.185
"P24","Javier Milei por los liberales libertarios",0.015,0.022,0.817,0.069,0.058
"P24","Al candidato del Frente de Izquierda",0.031,0.029,0.013,0.634,0.033
"P24","No sabe",0.102,0.045,0.008,0.084,0.558
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.2,0.052,0.003,0.117
"P25","Patricia Bullrich por Juntos por el Cambio",0.018,0.703,0.144,0.06,0.101
"P25","Alberto Fernández por el Frente de Todos",0.404,0.008,0.005,0.03,0.018
"P25","Sergio Massa por el Frente de Todos",0.493,0.01,0.033,0.181,0.211
"P25","Javier Milei por los liberales libertarios",0.002,0.022,0.757,0.008,0.052
"P25","Al candidato del Frente de Izquierda",0.011,0.014,0.009,0.657,0.051
"P25","No sabe",0.063,0.043,0,0.061,0.45
"P26","Sergio Massa por el Frente de Todos",0.808,0.02,0.028,0.164,0.179
"P26","Mauricio Macri por Juntos por el Cambio",0.026,0.92,0.01,0,0.038
"P26","Javier Milei por los liberales libertarios",0.023,0.027,0.943,0.008,0.016
"P26","Al candidato del Frente de Izquierda",0.027,0,0,0.781,0.006
"P26","No sabe",0.116,0.033,0.019,0.047,0.761
"P28","Alberto Fernández por el Frente de Todos",0.893,0.011,0.005,0.051,0.087
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.734,0.051,0.05,0.151
"P28","Javier Milei por los liberales libertarios",0.008,0.141,0.93,0.009,0.006
"P28","Al candidato del Frente de Izquierda",0.016,0.007,0,0.827,0.015
"P28","No sabe",0.057,0.107,0.014,0.063,0.741
"P29","Sergio Massa por el Frente de Todos",0.813,0.021,0.003,0.222,0.207
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.754,0.081,0.049,0.144
"P29","Javier Milei por los liberales libertarios",0.011,0.151,0.895,0.009,0.02
"P29","Al candidato del Frente de Izquierda",0.037,0.001,0.016,0.709,0.013
"P29","No sabe",0.107,0.073,0.005,0.011,0.616
"P30","Sergio Massa por el Frente de Todos",0.749,0.034,0.001,0.206,0.205
"P30","Patricia Bullrich por Juntos por el Cambio",0.075,0.885,0.188,0.021,0.157
"P30","Javier Milei por los liberales libertarios",0.021,0.035,0.789,0.01,0.034
"P30","Al candidato del Frente de Izquierda",0.028,0.003,0,0.73,0.009
"P30","No sabe",0.127,0.043,0.022,0.033,0.595
"P32","Alberto Fernández por el Frente de Todos",0.836,0.07,0.01,0.012,0.101
"P32","Patricia Bullrich por Juntos por el Cambio",0.084,0.839,0.171,0.083,0.125
"P32","Javier Milei por los liberales libertarios",0.002,0.042,0.805,0,0.057
"P32","Al candidato del Frente de Izquierda",0.025,0.003,0,0.873,0.04
"P32","No sabe",0.053,0.046,0.014,0.032,0.677
"P34","Sergio Massa por el Frente de Todos",0.873,0.019,0.076,0.649,0.356
"P34","Mauricio Macri por Juntos por el Cambio",0.034,0.962,0.521,0.015,0.126
"P34","No sabe",0.093,0.019,0.403,0.336,0.518
"P35","Sergio Massa",0.876,0.025,0.068,0.634,0.359
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.903,0.417,0.056,0.203
"P35","No sabe",0.095,0.072,0.515,0.31,0.438
"P36","Alberto Fernández por el Frente de Todos",0.946,0.012,0.049,0.564,0.242
"P36","Mauricio Macri por Juntos por el Cambio",0.012,0.963,0.632,0.026,0.163
"P36","No sabe",0.042,0.025,0.319,0.41,0.595
"P37","Alberto Fernández",0.936,0.025,0.032,0.577,0.236
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.901,0.517,0.087,0.201
"P37","No sabe",0.049,0.074,0.451,0.336,0.563
"P38","Sergio Massa por el Frente de Todos",0.883,0.027,0.058,0.682,0.353
"P38","Patricia Bullrich por Juntos por el Cambio",0.042,0.939,0.677,0.049,0.205
"P38","No sabe",0.075,0.034,0.265,0.269,0.442
"P39","Alberto Fernández por el Frente de Todos",0.943,0.015,0.04,0.629,0.273
"P39","Patricia Bullrich por Juntos por el Cambio",0.028,0.957,0.736,0.027,0.211
"P39","No sabe",0.029,0.028,0.224,0.344,0.516
"P40","Mauricio Macri por Juntos por el Cambio",0.124,0.828,0.069,0.075,0.131
"P40","Javier Milei por los liberales libertarios",0.076,0.143,0.81,0.011,0.102
"P40","No sabe",0.8,0.029,0.121,0.914,0.767
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.092,0.803,0.102,0.215,0.177
"P41","Javier Milei por los liberales libertarios",0.067,0.127,0.853,0,0.087
"P41","No sabe",0.841,0.07,0.045,0.785,0.736
"P42","Patricia Bullrich por Juntos por el Cambio",0.038,0.91,0.121,0.156,0.185
"P42","Javier Milei por los liberales libertarios",0.075,0.055,0.808,0.011,0.103
"P42","No sabe",0.887,0.035,0.071,0.833,0.712
"P43","Muy buena",0.145,0.106,0.021,0.119,0.011
"P43","Buena",0.415,0.019,0.097,0.076,0.121
"P43","Ni buena ni mala",0.339,0.008,0.009,0.5,0.347
"P43","Mala",0.066,0.055,0.075,0.2,0.164
"P43","Muy mala",0.035,0.808,0.796,0.105,0.35
"P43","No sabe",0,0.004,0.002,0,0.007
"P44","Muy buena",0.155,0.015,0.007,0,0.009
"P44","Buena",0.427,0.013,0.003,0.056,0.074
"P44","Ni buena ni mala",0.312,0.006,0.031,0.468,0.304
"P44","Mala",0.079,0.086,0.112,0.38,0.212
"P44","Muy mala",0.022,0.873,0.847,0.096,0.39
"P44","No sabe",0.005,0.007,0,0,0.011
"P45","Muy buena",0.682,0.009,0.024,0.407,0.335
"P45","Buena",0.176,0.004,0.009,0.103,0.075
"P45","Ni buena ni mala",0.057,0.009,0.021,0.253,0.074
"P45","Mala",0.036,0.03,0.033,0.116,0.075
"P45","Muy mala",0.048,0.933,0.913,0.121,0.409
"P45","No sabe",0.001,0.015,0,0,0.032
"P46","Muy buena",0.042,0.357,0.057,0.083,0.05
"P46","Buena",0.023,0.34,0.236,0.015,0.04
"P46","Ni buena ni mala",0.058,0.138,0.256,0.07,0.199
"P46","Mala",0.158,0.023,0.156,0.117,0.111
"P46","Muy mala",0.718,0.131,0.288,0.715,0.585
"P46","No sabe",0.001,0.011,0.007,0,0.015
"P47","Muy buena",0.013,0.258,0.074,0.067,0.036
"P47","Buena",0.013,0.428,0.215,0.041,0.164
"P47","Ni buena ni mala",0.098,0.242,0.257,0.085,0.233
"P47","Mala",0.266,0.034,0.152,0.297,0.099
"P47","Muy mala",0.606,0.032,0.296,0.473,0.451
"P47","No sabe",0.004,0.006,0.006,0.037,0.017
"P48","Muy buena",0.177,0.045,0.039,0.055,0.055
"P48","Buena",0.354,0.068,0.082,0.201,0.191
"P48","Ni buena ni mala",0.312,0.069,0.059,0.271,0.243
"P48","Mala",0.044,0.152,0.139,0.255,0.141
"P48","Muy mala",0.098,0.659,0.666,0.206,0.355
"P48","No sabe",0.015,0.007,0.015,0.012,0.015
"P49","Muy buena",0.027,0.551,0.267,0,0.079
"P49","Buena",0.071,0.255,0.302,0.004,0.077
"P49","Ni buena ni mala",0.071,0.08,0.236,0.083,0.188
"P49","Mala",0.093,0.035,0.061,0.161,0.098
"P49","Muy mala",0.732,0.074,0.131,0.752,0.529
"P49","No sabe",0.006,0.005,0.003,0,0.029
"P50","Muy buena",0.017,0.111,0.554,0,0
"P50","Buena",0.02,0.187,0.329,0,0.056
"P50","Ni buena ni mala",0.076,0.416,0.092,0,0.22
"P50","Mala",0.142,0.156,0.003,0.091,0.156
"P50","Muy mala",0.725,0.105,0.022,0.909,0.528
"P50","No sabe",0.02,0.025,0,0,0.04
"P51","Muy buena",0.018,0.291,0.106,0,0.034
"P51","Buena",0.008,0.407,0.232,0.072,0.101
"P51","Ni buena ni mala",0.041,0.218,0.235,0.049,0.219
"P51","Mala",0.119,0.052,0.144,0.188,0.117
"P51","Muy mala",0.798,0.032,0.281,0.681,0.504
"P51","No sabe",0.016,0,0.002,0.01,0.025
"P52","Muy buena",0.029,0.106,0.07,0.049,0.087
"P52","Buena",0.082,0.232,0.14,0.073,0.092
"P52","Ni buena ni mala",0.419,0.342,0.346,0.369,0.387
"P52","Mala",0.129,0.196,0.16,0.195,0.156
