"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.086,0.082,0.089,0.118,0.059,0.096,0.103,0.08,0.089,0.087,0.085,0.088,0.104,0.074,0.074,6
"Buena",0.162,0.132,0.188,0.159,0.137,0.166,0.208,0.151,0.146,0.196,0.163,0.162,0.316,0.048,0.01,6
"Ni buena ni mala",0.18,0.182,0.179,0.108,0.242,0.151,0.147,0.192,0.191,0.154,0.162,0.217,0.335,0.028,0.242,6
"Mala",0.086,0.094,0.08,0.066,0.102,0.08,0.079,0.075,0.079,0.107,0.079,0.102,0.089,0.058,0.053,6
"Muy mala",0.479,0.502,0.459,0.524,0.46,0.501,0.455,0.485,0.492,0.453,0.507,0.419,0.155,0.782,0.597,6
"No sabe",0.007,0.008,0.005,0.025,0,0.006,0.008,0.017,0.003,0.003,0.004,0.012,0.001,0.01,0.024,6
"Positiva",0.248,0.214,0.277,0.277,0.196,0.262,0.311,0.231,0.235,0.283,0.248,0.25,0.42,0.122,0.084,4
"Neutra",0.18,0.182,0.179,0.108,0.242,0.151,0.147,0.192,0.191,0.154,0.162,0.217,0.335,0.028,0.242,4
"Negativa",0.565,0.596,0.539,0.59,0.562,0.581,0.534,0.56,0.571,0.56,0.586,0.521,0.244,0.84,0.65,4
"No sabe",0.007,0.008,0.005,0.025,0,0.006,0.008,0.017,0.003,0.003,0.004,0.012,0.001,0.01,0.024,4
