"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.188,0.132,0.249,0.11,0.191,0.27,0.152,0.187,0.095,0.289,0.249,0.023,0.52,0.48,0.022,0,0,0,6
"Buena",0.099,0.102,0.096,0.111,0.126,0.073,0.06,0.13,0.116,0.068,0.194,0,0.162,0.178,0.009,0,0,0,6
"Ni buena ni mala",0.102,0.132,0.07,0.111,0.083,0.072,0.191,0.114,0.089,0.111,0.088,0.081,0,0.109,0.125,0,0,0,6
"Mala",0.216,0.229,0.202,0.223,0.184,0.241,0.245,0.37,0.228,0.131,0.158,0.261,0.21,0.045,0.265,0,0,0,6
"Muy mala",0.352,0.355,0.348,0.334,0.391,0.323,0.327,0.199,0.374,0.398,0.22,0.6,0.108,0.101,0.561,0,0,0,6
"No sabe",0.043,0.05,0.035,0.111,0.025,0.021,0.025,0,0.098,0.003,0.091,0.035,0,0.087,0.018,0,0,0,6
"Positiva",0.287,0.234,0.345,0.221,0.317,0.343,0.212,0.317,0.211,0.357,0.443,0.023,0.682,0.658,0.031,0,0,0,4
"Neutra",0.102,0.132,0.07,0.111,0.083,0.072,0.191,0.114,0.089,0.111,0.088,0.081,0,0.109,0.125,0,0,0,4
"Negativa",0.568,0.584,0.55,0.557,0.575,0.564,0.572,0.569,0.602,0.529,0.378,0.861,0.318,0.146,0.826,0,0,0,4
"No sabe",0.043,0.05,0.035,0.111,0.025,0.021,0.025,0,0.098,0.003,0.091,0.035,0,0.087,0.018,0,0,0,4
