"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Muy de acuerdo",0.173,0.129,0.206,0.226,0.156,0.189,0.132,0.307,0.119,0.174,0.19,0.205,0.32,0.243,0.077,0,0,0
"De acuerdo",0.225,0.238,0.215,0.202,0.205,0.258,0.254,0.35,0.194,0.205,0.285,0.21,0.137,0.164,0.31,0,0,0
"Ni de acuerdo ni en desacuerdo",0.348,0.377,0.327,0.395,0.327,0.333,0.389,0.157,0.434,0.336,0.344,0.313,0.214,0.28,0.399,0,0,0
"En desacuerdo",0.131,0.159,0.11,0.021,0.152,0.154,0.152,0.12,0.115,0.156,0.112,0.154,0.257,0.182,0.121,0,0,0
"Muy en desacuerdo",0.097,0.087,0.104,0.114,0.137,0.042,0.056,0.066,0.123,0.08,0.047,0.103,0.051,0.098,0.081,0,0,0
"No sabe",0.026,0.01,0.038,0.042,0.023,0.024,0.017,0,0.015,0.049,0.022,0.015,0.021,0.033,0.012,0,0,0
