"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.038,0.044,0.031,0,0.042,0.065,0.038,0.04,0.031,0.045,0.055,0,0.05,0.103,0.003,0,0,0,6
"Buena",0.202,0.214,0.19,0.444,0.138,0.143,0.124,0.171,0.178,0.244,0.342,0.025,0.287,0.373,0.038,0,0,0,6
"Ni buena ni mala",0.143,0.132,0.154,0,0.193,0.159,0.188,0.226,0.114,0.135,0.196,0.042,0.302,0.303,0.052,0,0,0,6
"Mala",0.24,0.227,0.255,0.222,0.208,0.289,0.261,0.321,0.272,0.167,0.163,0.279,0.252,0.103,0.327,0,0,0,6
"Muy mala",0.366,0.383,0.347,0.334,0.408,0.323,0.378,0.242,0.379,0.409,0.229,0.629,0.109,0.113,0.567,0,0,0,6
"No sabe",0.011,0,0.023,0,0.011,0.021,0.011,0,0.026,0,0.015,0.025,0,0.005,0.013,0,0,0,6
"Positiva",0.24,0.258,0.221,0.444,0.18,0.208,0.162,0.211,0.209,0.289,0.397,0.025,0.337,0.476,0.041,0,0,0,4
"Neutra",0.143,0.132,0.154,0,0.193,0.159,0.188,0.226,0.114,0.135,0.196,0.042,0.302,0.303,0.052,0,0,0,4
"Negativa",0.606,0.61,0.602,0.556,0.616,0.612,0.639,0.563,0.651,0.576,0.392,0.908,0.361,0.216,0.894,0,0,0,4
"No sabe",0.011,0,0.023,0,0.011,0.021,0.011,0,0.026,0,0.015,0.025,0,0.005,0.013,0,0,0,4
