"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.052,0.054,0.049,0,0.042,0.115,0.042,0.049,0.062,0.042,0.113,0.021,0.02,0.029,0.083,0,0,0,6
"Buena",0.081,0.046,0.118,0,0.098,0.054,0.196,0.174,0.055,0.065,0.131,0.09,0.037,0.056,0.057,0,0,0,6
"Ni buena ni mala",0.192,0.207,0.175,0.334,0.122,0.147,0.242,0.05,0.235,0.21,0.246,0.121,0.141,0.252,0.162,0,0,0,6
"Mala",0.352,0.339,0.367,0.332,0.344,0.361,0.387,0.42,0.357,0.317,0.282,0.356,0.556,0.306,0.382,0,0,0,6
"Muy mala",0.321,0.352,0.287,0.334,0.392,0.323,0.122,0.307,0.287,0.364,0.224,0.412,0.246,0.35,0.316,0,0,0,6
"No sabe",0.002,0.002,0.004,0,0.002,0,0.011,0,0.004,0.002,0.004,0,0,0.007,0,0,0,0,6
"Positiva",0.133,0.1,0.167,0,0.14,0.169,0.238,0.223,0.117,0.107,0.244,0.111,0.057,0.085,0.14,0,0,0,4
"Neutra",0.192,0.207,0.175,0.334,0.122,0.147,0.242,0.05,0.235,0.21,0.246,0.121,0.141,0.252,0.162,0,0,0,4
"Negativa",0.673,0.691,0.654,0.666,0.736,0.684,0.509,0.727,0.644,0.681,0.506,0.768,0.802,0.656,0.698,0,0,0,4
"No sabe",0.002,0.002,0.004,0,0.002,0,0.011,0,0.004,0.002,0.004,0,0,0.007,0,0,0,0,4
