"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.057,0.048,0.063,0,0.05,0.091,0.077,0.082,0.073,0.026,0.099,0.042,0,0.079,0.055,0,0,0,6
"Buena",0.129,0.079,0.167,0.159,0.074,0.188,0.154,0.118,0.116,0.15,0.224,0.071,0.072,0.114,0.118,0,0,0,6
"Ni buena ni mala",0.285,0.289,0.281,0.211,0.283,0.273,0.39,0.424,0.227,0.283,0.358,0.185,0.444,0.365,0.204,0,0,0,6
"Mala",0.329,0.356,0.309,0.3,0.377,0.296,0.276,0.26,0.366,0.319,0.243,0.425,0.385,0.289,0.417,0,0,0,6
"Muy mala",0.16,0.172,0.151,0.17,0.205,0.149,0.04,0.079,0.166,0.193,0.033,0.277,0.099,0.111,0.201,0,0,0,6
"No sabe",0.04,0.056,0.029,0.16,0.011,0.003,0.063,0.037,0.052,0.029,0.043,0,0,0.042,0.005,0,0,0,6
"Positiva",0.186,0.127,0.23,0.159,0.124,0.279,0.231,0.2,0.189,0.176,0.323,0.113,0.072,0.193,0.173,0,0,0,4
"Neutra",0.285,0.289,0.281,0.211,0.283,0.273,0.39,0.424,0.227,0.283,0.358,0.185,0.444,0.365,0.204,0,0,0,4
"Negativa",0.489,0.528,0.46,0.47,0.582,0.445,0.316,0.339,0.532,0.512,0.276,0.702,0.484,0.4,0.618,0,0,0,4
"No sabe",0.04,0.056,0.029,0.16,0.011,0.003,0.063,0.037,0.052,0.029,0.043,0,0,0.042,0.005,0,0,0,4
