"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.25,0.224,0.279,0.111,0.335,0.313,0.125,0.282,0.266,0.219,0.133,0.483,0.081,0.02,0.455,0,0,0,6
"Buena",0.175,0.188,0.16,0.222,0.127,0.149,0.273,0.269,0.088,0.225,0.119,0.395,0,0.002,0.293,0,0,0,6
"Ni buena ni mala",0.114,0.098,0.132,0.223,0.064,0.103,0.106,0,0.173,0.103,0.163,0.046,0,0.1,0.162,0,0,0,6
"Mala",0.098,0.089,0.106,0.03,0.099,0.103,0.18,0.151,0.077,0.094,0.134,0.004,0.423,0.171,0.054,0,0,0,6
"Muy mala",0.357,0.398,0.312,0.414,0.361,0.332,0.311,0.298,0.386,0.354,0.44,0.066,0.496,0.705,0.033,0,0,0,6
"No sabe",0.006,0.003,0.011,0,0.014,0,0.005,0,0.01,0.005,0.011,0.006,0,0.002,0.003,0,0,0,6
"Positiva",0.425,0.412,0.439,0.333,0.462,0.462,0.398,0.551,0.354,0.444,0.252,0.878,0.081,0.022,0.748,0,0,0,4
"Neutra",0.114,0.098,0.132,0.223,0.064,0.103,0.106,0,0.173,0.103,0.163,0.046,0,0.1,0.162,0,0,0,4
"Negativa",0.455,0.487,0.418,0.444,0.46,0.435,0.491,0.449,0.463,0.448,0.574,0.07,0.919,0.876,0.087,0,0,0,4
"No sabe",0.006,0.003,0.011,0,0.014,0,0.005,0,0.01,0.005,0.011,0.006,0,0.002,0.003,0,0,0,4
