"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Victoria Villarruel","Positiva",0.484,0.445,0.525,0.445,0.491,0.495,0.499,0.551,0.475,0.462,0.386,0.892,0.21,0.104,0.808,0,0,0
"Victoria Villarruel","Neutra",0.101,0.114,0.086,0.111,0.063,0.059,0.252,0.103,0.146,0.051,0.179,0.034,0.148,0.169,0.077,0,0,0
"Victoria Villarruel","Negativa",0.406,0.438,0.373,0.444,0.422,0.446,0.249,0.346,0.369,0.475,0.424,0.068,0.642,0.717,0.112,0,0,0
"Victoria Villarruel","No sabe",0.009,0.003,0.016,0,0.024,0,0,0,0.01,0.012,0.011,0.006,0,0.01,0.003,0,0,0
"Patricia Bullrich","Positiva",0.428,0.319,0.546,0.334,0.406,0.504,0.486,0.421,0.475,0.38,0.342,0.925,0.21,0.108,0.682,0,0,0
"Patricia Bullrich","Neutra",0.104,0.138,0.067,0.111,0.119,0.077,0.102,0.13,0.07,0.128,0.067,0.027,0.13,0.048,0.187,0,0,0
"Patricia Bullrich","Negativa",0.463,0.541,0.378,0.555,0.46,0.419,0.412,0.449,0.445,0.489,0.58,0.042,0.66,0.844,0.128,0,0,0
"Patricia Bullrich","No sabe",0.005,0.002,0.009,0,0.015,0,0,0,0.01,0.003,0.011,0.006,0,0,0.003,0,0,0
"Javier Milei","Positiva",0.425,0.412,0.439,0.333,0.462,0.462,0.398,0.551,0.354,0.444,0.252,0.878,0.081,0.022,0.748,0,0,0
"Javier Milei","Neutra",0.114,0.098,0.132,0.223,0.064,0.103,0.106,0,0.173,0.103,0.163,0.046,0,0.1,0.162,0,0,0
"Javier Milei","Negativa",0.455,0.487,0.418,0.444,0.46,0.435,0.491,0.449,0.463,0.448,0.574,0.07,0.919,0.876,0.087,0,0,0
"Javier Milei","No sabe",0.006,0.003,0.011,0,0.014,0,0.005,0,0.01,0.005,0.011,0.006,0,0.002,0.003,0,0,0
"CFK","Positiva",0.308,0.279,0.34,0.221,0.34,0.305,0.353,0.453,0.251,0.302,0.494,0.03,0.627,0.654,0.067,0,0,0
"CFK","Neutra",0.115,0.157,0.07,0.223,0.107,0.093,0.024,0,0.2,0.077,0.146,0.035,0.018,0.172,0.035,0,0,0
"CFK","Negativa",0.572,0.564,0.579,0.556,0.553,0.581,0.623,0.547,0.536,0.621,0.36,0.91,0.355,0.174,0.885,0,0,0
"CFK","No sabe",0.005,0,0.011,0,0,0.021,0,0,0.013,0,0,0.025,0,0,0.013,0,0,0
"Axel Kicillof","Positiva",0.287,0.234,0.345,0.221,0.317,0.343,0.212,0.317,0.211,0.357,0.443,0.023,0.682,0.658,0.031,0,0,0
"Axel Kicillof","Neutra",0.102,0.132,0.07,0.111,0.083,0.072,0.191,0.114,0.089,0.111,0.088,0.081,0,0.109,0.125,0,0,0
"Axel Kicillof","Negativa",0.568,0.584,0.55,0.557,0.575,0.564,0.572,0.569,0.602,0.529,0.378,0.861,0.318,0.146,0.826,0,0,0
"Axel Kicillof","No sabe",0.043,0.05,0.035,0.111,0.025,0.021,0.025,0,0.098,0.003,0.091,0.035,0,0.087,0.018,0,0,0
"Mauricio Macri","Positiva",0.261,0.233,0.291,0.223,0.216,0.347,0.285,0.377,0.209,0.264,0.19,0.672,0,0.027,0.411,0,0,0
"Mauricio Macri","Neutra",0.154,0.124,0.188,0.111,0.185,0.129,0.181,0.044,0.184,0.173,0.095,0.189,0.126,0.021,0.271,0,0,0
"Mauricio Macri","Negativa",0.582,0.643,0.515,0.666,0.599,0.515,0.529,0.579,0.602,0.561,0.715,0.129,0.874,0.944,0.318,0,0,0
"Mauricio Macri","No sabe",0.003,0,0.006,0,0,0.009,0.005,0,0.005,0.002,0,0.01,0,0.008,0,0,0,0
"Juan Schiaretti","Positiva",0.255,0.186,0.331,0,0.365,0.266,0.318,0.502,0.219,0.179,0.253,0.338,0.189,0.126,0.326,0,0,0
"Juan Schiaretti","Neutra",0.382,0.412,0.349,0.586,0.292,0.397,0.292,0.194,0.348,0.505,0.327,0.477,0.322,0.301,0.508,0,0,0
"Juan Schiaretti","Negativa",0.294,0.298,0.29,0.191,0.317,0.327,0.329,0.304,0.287,0.298,0.335,0.156,0.489,0.481,0.151,0,0,0
"Juan Schiaretti","No sabe",0.069,0.104,0.03,0.223,0.026,0.01,0.061,0,0.146,0.018,0.085,0.029,0,0.092,0.015,0,0,0
"Sergio Massa","Positiva",0.24,0.258,0.221,0.444,0.18,0.208,0.162,0.211,0.209,0.289,0.397,0.025,0.337,0.476,0.041,0,0,0
"Sergio Massa","Neutra",0.143,0.132,0.154,0,0.193,0.159,0.188,0.226,0.114,0.135,0.196,0.042,0.302,0.303,0.052,0,0,0
"Sergio Massa","Negativa",0.606,0.61,0.602,0.556,0.616,0.612,0.639,0.563,0.651,0.576,0.392,0.908,0.361,0.216,0.894,0,0,0
"Sergio Massa","No sabe",0.011,0,0.023,0,0.011,0.021,0.011,0,0.026,0,0.015,0.025,0,0.005,0.013,0,0,0
"Aníbal Tortoriello","Positiva",0.234,0.159,0.317,0.111,0.226,0.356,0.225,0.354,0.231,0.183,0.19,0.559,0.131,0.063,0.305,0,0,0
"Aníbal Tortoriello","Neutra",0.311,0.283,0.343,0.222,0.325,0.319,0.391,0.205,0.408,0.257,0.428,0.248,0.475,0.411,0.333,0,0,0
"Aníbal Tortoriello","Negativa",0.385,0.453,0.309,0.444,0.418,0.306,0.348,0.441,0.281,0.469,0.356,0.083,0.377,0.494,0.298,0,0,0
"Aníbal Tortoriello","No sabe",0.07,0.105,0.031,0.223,0.031,0.019,0.036,0,0.08,0.091,0.026,0.11,0.017,0.032,0.064,0,0,0
"María Emilia Soria","Positiva",0.232,0.181,0.288,0.03,0.332,0.219,0.285,0.353,0.222,0.187,0.295,0.106,0.493,0.36,0.119,0,0,0
"María Emilia Soria","Neutra",0.254,0.309,0.193,0.414,0.148,0.273,0.263,0.144,0.341,0.21,0.377,0.081,0.403,0.419,0.155,0,0,0
"María Emilia Soria","Negativa",0.498,0.502,0.493,0.556,0.509,0.502,0.383,0.503,0.406,0.595,0.311,0.787,0.104,0.21,0.713,0,0,0
"María Emilia Soria","No sabe",0.016,0.008,0.026,0,0.011,0.006,0.069,0,0.031,0.008,0.017,0.026,0,0.011,0.013,0,0,0
"Alberto Weretilneck","Positiva",0.206,0.144,0.272,0.079,0.187,0.258,0.341,0.203,0.195,0.218,0.431,0.07,0.134,0.276,0.168,0,0,0
"Alberto Weretilneck","Neutra",0.261,0.279,0.241,0.253,0.226,0.245,0.39,0.265,0.23,0.293,0.296,0.184,0.409,0.356,0.194,0,0,0
"Alberto Weretilneck","Negativa",0.533,0.577,0.487,0.668,0.587,0.497,0.269,0.532,0.575,0.489,0.273,0.746,0.457,0.368,0.638,0,0,0
"Alberto Weretilneck","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gustavo Gennuso","Positiva",0.133,0.1,0.167,0,0.14,0.169,0.238,0.223,0.117,0.107,0.244,0.111,0.057,0.085,0.14,0,0,0
"Gustavo Gennuso","Neutra",0.192,0.207,0.175,0.334,0.122,0.147,0.242,0.05,0.235,0.21,0.246,0.121,0.141,0.252,0.162,0,0,0
"Gustavo Gennuso","Negativa",0.673,0.691,0.654,0.666,0.736,0.684,0.509,0.727,0.644,0.681,0.506,0.768,0.802,0.656,0.698,0,0,0
"Gustavo Gennuso","No sabe",0.002,0.002,0.004,0,0.002,0,0.011,0,0.004,0.002,0.004,0,0,0.007,0,0,0,0
