"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Empleado sector publico",0.141,0.132,0.148,0.044,0.143,0.2,0.131,0.077,0.11,0.205,0.182,0.118,0.232,0.19,0.136,0,0,0
"Empleado sector privado",0.251,0.28,0.23,0.225,0.342,0.176,0.152,0.174,0.268,0.266,0.242,0.195,0.219,0.2,0.312,0,0,0
"Changas o trabajos eventuales",0.204,0.202,0.206,0.28,0.182,0.239,0.125,0.356,0.245,0.09,0.161,0.237,0.404,0.203,0.154,0,0,0
"Estudiante",0.045,0.053,0.038,0.234,0.017,0.003,0,0,0.04,0.07,0.064,0.025,0,0.045,0.047,0,0,0
"Amas de casa",0.08,0.034,0.114,0.067,0.045,0.097,0.162,0.135,0.094,0.039,0.093,0.106,0.031,0.097,0.049,0,0,0
"Profesional o independiente",0.126,0.153,0.105,0.15,0.123,0.122,0.114,0.063,0.103,0.179,0.108,0.196,0.044,0.105,0.155,0,0,0
"Comerciante, emprendedor o empresario",0.033,0.031,0.035,0,0.035,0.041,0.049,0,0.012,0.072,0.03,0.056,0.039,0.026,0.053,0,0,0
"Trabajador informal",0.019,0.012,0.025,0,0.023,0.018,0.032,0,0.024,0.023,0.032,0.003,0,0.023,0.008,0,0,0
"No tengo trabajo",0.101,0.103,0.099,0,0.09,0.104,0.235,0.195,0.104,0.056,0.088,0.064,0.031,0.111,0.086,0,0,0
