"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P12","Gran excedente habitual",0.004,0.031,0,0.117,0,0,0.038,0,0
"P12","Gran excedente excepcional",0,0,0,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.103,0.056,0.024,0.237,0.068,0.079,0.123,0,0.011
"P12","Pequeño excedente excepcional",0.014,0.042,0.052,0.016,0.009,0.097,0.093,0,0.013
"P12","Alcanza gastos familia",0.152,0.183,0.095,0.159,0.093,0.444,0.334,0.033,0.046
"P12","No alcanza gastos familia",0.079,0.109,0.141,0.155,0.07,0.056,0.069,0,0.104
"P12","Solo NBFamiliares",0.388,0.315,0.178,0.316,0.306,0.243,0.2,0.349,0.353
"P12","No alcanza NBFamiliares",0.26,0.257,0.498,0,0.454,0.081,0.143,0.618,0.473
"P12","No sabe",0,0.007,0.012,0,0,0,0,0,0
"P13","Muy buena",0.127,0.044,0.078,0,0.062,0.037,0.038,0,0.038
"P13","Buena",0.136,0.175,0.093,0,0.123,0.132,0.163,0.253,0.146
"P13","Ni buena ni mala",0.205,0.268,0.385,0.155,0.421,0.174,0.264,0.542,0.249
"P13","Mala",0.455,0.306,0.356,0.573,0.183,0.45,0.248,0.064,0.152
"P13","Muy mala",0.07,0.189,0.088,0.117,0.148,0.123,0.287,0.141,0.4
"P13","No sabe",0.007,0.018,0,0.155,0.063,0.084,0,0,0.015
"P14","Muy buena",0.206,0.251,0.294,0.32,0.07,0.38,0.237,0.087,0.151
"P14","Buena",0.158,0.135,0.104,0.133,0.27,0.139,0.241,0.033,0.124
"P14","Ni buena ni mala",0.143,0.15,0.225,0,0.23,0.087,0.019,0.187,0.155
"P14","Mala",0.089,0.166,0.045,0.237,0.11,0.049,0.205,0.21,0.066
"P14","Muy mala",0.404,0.287,0.332,0.31,0.257,0.345,0.298,0.209,0.498
"P14","No sabe",0,0.011,0,0,0.063,0,0,0.274,0.006
"P15","Muy buena",0.056,0.076,0.112,0,0.054,0,0.016,0,0.019
"P15","Buena",0.028,0.153,0.123,0,0.093,0.121,0.064,0.406,0.169
"P15","Ni buena ni mala",0.354,0.366,0.464,0.434,0.502,0.224,0.246,0.09,0.287
"P15","Mala",0.255,0.199,0.162,0.016,0.26,0.354,0.388,0.409,0.071
"P15","Muy mala",0.258,0.185,0.127,0.55,0.083,0.184,0.27,0.095,0.445
"P15","No sabe",0.049,0.021,0.012,0,0.008,0.117,0.016,0,0.009
"P19","Muy buena",0.131,0.07,0.042,0,0.062,0.082,0,0,0.18
"P19","Buena",0.185,0.087,0.069,0.155,0.188,0.055,0.365,0.161,0.06
"P19","Ni buena ni mala",0.33,0.317,0.439,0.253,0.542,0.376,0.272,0.364,0.226
"P19","Mala",0.264,0.236,0.327,0.161,0.192,0.393,0.136,0.125,0.131
"P19","Muy mala",0.081,0.234,0.109,0.276,0.016,0.085,0.201,0.076,0.39
"P19","No sabe",0.009,0.056,0.014,0.155,0,0.009,0.026,0.274,0.013
"P20","Gobierno nacional",0.404,0.338,0.251,0.155,0.448,0.174,0.235,0.264,0.391
"P20","Gobierno provincial",0.489,0.452,0.548,0.69,0.325,0.695,0.611,0.22,0.248
"P20","No sabe",0.107,0.21,0.201,0.155,0.227,0.131,0.154,0.516,0.361
"P21","El anterior gobierno de Arabela Carreras",0.678,0.287,0.398,0.408,0.063,0.162,0.441,0.726,0.47
"P21","El actual gobierno de Alberto Weretilneck",0.253,0.628,0.399,0.202,0.832,0.526,0.229,0.274,0.46
"P21","No sabe",0.069,0.085,0.203,0.39,0.105,0.312,0.33,0,0.07
"P22","El anterior gobierno de Alberto Fernández",0.219,0.489,0.011,0,0.198,0.327,0,0.705,0.207
"P22","El actual gobierno de Javier Milei",0.496,0.502,0.749,1,0.783,0.673,1,0.295,0.793
"P22","No sabe",0.285,0.009,0.24,0,0.019,0,0,0,0
"P24","Muy de acuerdo",0.19,0.117,0.313,0.151,0.293,0.057,0.093,0.14,0.088
"P24","De acuerdo",0.357,0.269,0.135,0.11,0.05,0.323,0.275,0.083,0.196
"P24","Ni de acuerdo ni en desacuerdo",0.243,0.374,0.418,0.434,0.279,0.347,0.394,0.581,0.244
"P24","En desacuerdo",0.165,0.171,0.07,0,0.19,0.093,0.155,0.149,0.167
"P24","Muy en desacuerdo",0.026,0.056,0.064,0.154,0.088,0.158,0.051,0.047,0.29
