"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.24,0.166,0.307,0.153,0.263,0.194,0.398,0.343,0.166,0.24,0.161,0.414,0.221,0.256,0.207,0.533
"A Sergio Massa",0.285,0.34,0.235,0.146,0.361,0.271,0.349,0.367,0.276,0.202,0.469,0.073,0.252,0.225,0.478,0
"A algún candidato del peronismo",0.114,0.132,0.098,0.194,0.079,0.13,0.045,0.046,0.107,0.208,0.047,0.076,0.172,0.107,0.108,0
"A algún candidato del kirchnerismo",0.361,0.362,0.36,0.507,0.297,0.405,0.208,0.244,0.451,0.35,0.323,0.437,0.355,0.412,0.207,0.467
