"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Al candidato del Frente de Todos",0.356,0.326,0.385,0.287,0.407,0.342,0.349,0.367,0.391,0.278,0.344,0.447,0.331,0.623,0.204,0.264
"Al candidato de Juntos por el Cambio",0.295,0.275,0.314,0.194,0.273,0.41,0.364,0.279,0.297,0.311,0.311,0.209,0.314,0.089,0.529,0.149
"Al candidato de los liberales - libertarios",0.133,0.178,0.09,0.261,0.085,0.073,0.142,0.145,0.088,0.2,0.16,0.117,0.114,0.083,0.127,0.182
"Al candidato de la Izquierda",0.037,0.036,0.038,0.053,0.035,0.035,0.019,0.034,0.037,0.042,0.015,0.048,0.053,0.042,0.016,0.024
"A otro candidato",0.089,0.104,0.075,0.144,0.093,0.052,0.034,0.101,0.086,0.079,0.093,0.106,0.08,0.064,0.071,0.146
"No sabe",0.09,0.081,0.098,0.061,0.107,0.088,0.092,0.074,0.101,0.09,0.077,0.073,0.108,0.099,0.053,0.235
